ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	25/507	61/12465	2.15107969579362e-19	3.08464828376805e-16	2.87112532028033e-16	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/4065/6382/6403/4088/6375	25
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	27/507	87/12465	3.43109295195739e-17	2.46009364655345e-14	2.28980308583262e-14	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/2147/2175/2177/2213/6382/6403/6375	27
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	24/507	71/12465	2.19690659249053e-16	9.86047762769144e-14	9.17792382875486e-14	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/4210/6382/6403/6375	24
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	26/507	86/12465	2.75048190451644e-16	9.86047762769144e-14	9.17792382875486e-14	623/6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/4065/6382/6403/4088/6375	26
REACTOME_FCGR_ACTIVATION	REACTOME_FCGR_ACTIVATION	23/507	69/12465	1.33112999607996e-15	3.1814006906311e-13	2.96118041233226e-13	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/6382/6403/6375	23
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	23/507	69/12465	1.33112999607996e-15	3.1814006906311e-13	2.96118041233226e-13	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/6382/6403/6375	23
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	23/507	71/12465	2.71788403244795e-15	5.21674790717205e-13	4.85563851302515e-13	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/6382/6403/6375	23
REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION	25/507	86/12465	2.91031961348511e-15	5.21674790717205e-13	4.85563851302515e-13	623/6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/2161/6382/6403/6375	25
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	24/507	79/12465	3.47327127333846e-15	5.53407889551928e-13	5.15100347905634e-13	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/4210/6382/6403/6375	24
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	24/507	82/12465	8.89452472543921e-15	1.27547484562798e-12	1.18718498440599e-12	623/6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/6382/6403/6375	24
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	35/507	186/12465	1.92472130151451e-14	2.50913667851982e-12	2.33545130174201e-12	4363/6346/6356/6357/6358/6359/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6354/6355/4064/6376/6373/6374/6372/4049/4065/6335/6382/6401/6403/6375	35
REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	27/507	114/12465	5.86094862051543e-14	7.00383360151594e-12	6.51902004457331e-12	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/2920/6374/6372/4192/4210/4225/6382/6403/6375	27
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	23/507	98/12465	5.40335850693215e-12	5.96032007610823e-10	5.54773974638863e-10	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/6382/6403/6375	23
REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	REACTOME_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	24/507	118/12465	4.8237660172012e-11	4.94091462047608e-09	4.59889872918129e-09	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/5473/6382/6403/6375	24
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	30/507	186/12465	8.56794344216789e-11	8.1909539307125e-09	7.62396651555711e-09	623/6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/1893/2161/2147/2175/2177/2213/6382/6403/6375	30
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	28/507	166/12465	1.25701331833873e-10	1.12659818656109e-08	1.04861374187731e-08	623/6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/1893/2161/4065/6382/6403/4088/6375	28
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	25/507	143/12465	5.74900566172019e-10	4.8494553640628e-08	4.51377038951158e-08	623/6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/5473/6382/6403/6375	25
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	24/507	136/12465	1.04702660231014e-09	8.34131193173747e-08	7.76391655982024e-08	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/1893/6382/6403/6375	24
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	28/507	194/12465	4.91789169420231e-09	3.71171404709795e-07	3.45478485775542e-07	6346/6360/6361/6362/6363/6347/6364/6366/6367/6368/6369/6370/6348/6349/6351/6352/6376/6373/6374/6372/6382/6403/4088/7128/7130/7132/7133/6375	28
REACTOME_SIGNALING_BY_WNT	REACTOME_SIGNALING_BY_WNT	34/507	327/12465	4.75873290577281e-07	3.4120114934391e-05	3.1758280655368e-05	472/3576/1893/5169/2161/2167/2697/3162/3620/3586/3593/3596/3600/3606/3656/3661/5138/5187/5196/5197/5682/5687/5692/5724/5729/5731/5732/5733/5734/5737/5739/5740/5742/5176	34
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	18/507	115/12465	8.37217992060359e-07	5.71700286006931e-05	5.32126523274454e-05	3576/3579/2167/2335/2350/2353/3556/3557/3558/3559/3565/3566/3567/3568/3569/3570/3572/3578	18
REACTOME_CGMP_EFFECTS	REACTOME_CGMP_EFFECTS	7/507	16/12465	1.46846276419432e-06	9.57170729024845e-05	8.90914251195407e-05	3576/3556/3565/3566/3567/3568/462	7
REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	REACTOME_CA2PLUS_ACTIVATED_KPLUS_CHANNELS	5/507	9/12465	1.20078234933904e-05	0.000748661690848777	0.000696838452614145	3556/3565/3566/3567/3568	5
REACTOME_SPHINGOLIPID_METABOLISM	REACTOME_SPHINGOLIPID_METABOLISM	14/507	89/12465	1.30771564271336e-05	0.000781360096521235	0.000727273436386205	1238/1230/1232/1233/1234/1235/1236/1240/1269/1241/6774/6850/6845/6846	14
REACTOME_SMOOTH_MUSCLE_CONTRACTION	REACTOME_SMOOTH_MUSCLE_CONTRACTION	9/507	38/12465	1.61028808181692e-05	0.000923661243730187	0.000859724331681625	3579/2147/3552/3553/3554/3569/3570/3578/3929	9
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	7/507	22/12465	1.7688621332301e-05	0.000975595499635372	0.000908063637625818	3576/3556/3565/3566/3567/3568/462	7
KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM	9/507	39/12465	2.01878622930664e-05	0.00107219979734286	0.000997980872811234	1238/1230/1232/1233/1234/1235/1236/1240/1241	9
Wnt Signaling%WikiPathways_20190910%WP428%Homo sapiens	Wnt Signaling%WikiPathways_20190910%WP428%Homo sapiens	16/507	118/12465	2.22675707203877e-05	0.001140417729037	0.00106147667945307	3627/2161/2167/2175/2177/3620/3586/3588/3593/3596/3600/3605/3606/3661/5692/5731	16
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	24/507	232/12465	2.54883913289563e-05	0.0012603570057146	0.00117311361906049	1893/5169/3162/3620/3586/3593/3600/3606/3656/3661/5138/5187/5196/5197/5687/5724/5729/5731/5732/5733/5734/5739/5742/5176	24
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	REACTOME_GLYCOSPHINGOLIPID_METABOLISM	9/507	45/12465	6.7925306979098e-05	0.00324682967360088	0.00302208032454373	1230/1233/1234/1235/1236/1269/6850/6845/6846	9
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	11/507	67/12465	7.3605865161235e-05	0.0034048648593939	0.00316917612986234	683/720/3868/5879/6863/6869/7036/7040/7076/7097/7098	11
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	7/507	27/12465	7.71577366826287e-05	0.0034576310750903	0.00321828980636754	6356/6357/6358/6359/6354/2687/4088	7
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	27/507	301/12465	9.99848620902177e-05	0.00434479673446582	0.00404404482074628	683/720/4261/2150/2167/2896/3082/3694/3735/3868/3952/4049/4067/5023/5879/6863/6869/6915/7036/7040/7052/7057/7076/7096/7097/7098/7099	27
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	6/507	21/12465	0.00014147227734675	0.00596680134456588	0.00555377237386004	107/948/958/959/960/961	6
Sphingolipid pathway%WikiPathways_20190910%WP1422%Homo sapiens	Sphingolipid pathway%WikiPathways_20190910%WP1422%Homo sapiens	7/507	30/12465	0.000159093933736086	0.00651830574221564	0.00606710099180022	1232/1233/1236/1240/1241/6774/6850	7
REACTOME_COLLAGEN_FORMATION	REACTOME_COLLAGEN_FORMATION	12/507	90/12465	0.000273891820202236	0.0109100241713891	0.0101548195326443	683/720/3868/5879/6863/6869/7036/7040/7057/7076/7097/7098	12
Metabolism of Spingolipids in ER and Golgi apparatus%WikiPathways_20190910%WP4142%Homo sapiens	Metabolism of Spingolipids in ER and Golgi apparatus%WikiPathways_20190910%WP4142%Homo sapiens	4/507	9/12465	0.000289470436692604	0.0111132780122559	0.0103440039048231	1232/1240/1268/1269	4
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	9/507	54/12465	0.000294494117479585	0.0111132780122559	0.0103440039048231	23/604/712/718/719/720/721/727/728	9
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	8/507	44/12465	0.000344643847864696	0.0126722891753327	0.0117950984910239	23/183/185/186/650/654/658/12	8
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	16/507	150/12465	0.000396144125543267	0.0138905424516794	0.0129290228501281	3627/2161/2167/2175/2177/3620/3586/3588/3593/3596/3600/3605/3606/3630/3656/3661	16
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	17/507	165/12465	0.000397149400640765	0.0138905424516794	0.0129290228501281	29/325/335/336/347/348/351/329/330/2161/2353/2357/2358/3694/5023/5027/331	17
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	6/507	26/12465	0.000504778315906769	0.0172345739288168	0.0160415765556337	6356/6357/6358/6359/6354/2687	6
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	REACTOME_SYNTHESIS_OF_GDP_MANNOSE	3/507	5/12465	0.000629145279006296	0.0209812634905821	0.0195289158820069	133/135/140	3
Oxidative phosphorylation%WikiPathways_20190910%WP623%Homo sapiens	Oxidative phosphorylation%WikiPathways_20190910%WP623%Homo sapiens	9/507	62/12465	0.000842371997770032	0.0274536692000506	0.0255532940950335	301/325/335/336/348/351/329/330/331	9
LncRNA involvement in canonical Wnt signaling and colorectal cancer%WikiPathways_20190910%WP4258%Homo sapiens	LncRNA involvement in canonical Wnt signaling and colorectal cancer%WikiPathways_20190910%WP4258%Homo sapiens	12/507	104/12465	0.00103392794173481	0.0329478370766159	0.030667149242567	3627/3620/3586/3588/3593/3596/3600/3606/3656/3661/5692/5731	12
ncRNAs involved in Wnt signaling in hepatocellular carcinoma%WikiPathways_20190910%WP4336%Homo sapiens	ncRNAs involved in Wnt signaling in hepatocellular carcinoma%WikiPathways_20190910%WP4336%Homo sapiens	11/507	91/12465	0.00112715292046015	0.0351377671291271	0.03270548977445	3627/3620/3586/3588/3593/3596/3600/3606/3661/5692/5731	11
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	5/507	21/12465	0.00129214245820617	0.0386027559389092	0.0359306280045048	3661/5687/5732/5733/5734	5
Urea cycle and metabolism of amino groups%WikiPathways_20190910%WP497%Homo sapiens	Urea cycle and metabolism of amino groups%WikiPathways_20190910%WP497%Homo sapiens	5/507	21/12465	0.00129214245820617	0.0386027559389092	0.0359306280045048	604/712/718/719/728	5
REACTOME_HS_GAG_DEGRADATION	REACTOME_HS_GAG_DEGRADATION	5/507	22/12465	0.00161692225522205	0.0473197247752738	0.0440441980584652	107/948/958/959/3952	5
