UNIPROTKB	SYMBOL	GO TERM	GO NAME	TAXON ID
UniProtKB:Q32MK0	MYLK3	GO:0006954	inflammatory response	9606
UniProtKB:Q9P0M4	IL17C	GO:0006954	inflammatory response	9606
UniProtKB:P20393	NR1D1	GO:0006954	inflammatory response	9606
UniProtKB:Q96MN2	NLRP4	GO:0006954	inflammatory response	9606
UniProtKB:P62328	TMSB4X	GO:0006954	inflammatory response	9606
UniProtKB:Q6P4R8	NFRKB	GO:0006954	inflammatory response	9606
UniProtKB:Q04206	RELA	GO:0006954	inflammatory response	9606
UniProtKB:P25786	PSMA1	GO:0006954	inflammatory response	9606
UniProtKB:O95267	RASGRP1	GO:0006954	inflammatory response	9606
UniProtKB:O60507	TPST1	GO:0006954	inflammatory response	9606
UniProtKB:O95256	IL18RAP	GO:0006954	inflammatory response	9606
UniProtKB:P30411	BDKRB2	GO:0006954	inflammatory response	9606
UniProtKB:Q14494	NFE2L1	GO:0006954	inflammatory response	9606
UniProtKB:Q9Y2G9	SBNO2	GO:0006954	inflammatory response	9606
UniProtKB:O95219	SNX4	GO:0006954	inflammatory response	9606
UniProtKB:P05231	IL6	GO:0006954	inflammatory response	9606
UniProtKB:P20160	AZU1	GO:0006954	inflammatory response	9606
UniProtKB:Q9ULZ3	PYCARD	GO:0006954	inflammatory response	9606
UniProtKB:Q16878	CDO1	GO:0006954	inflammatory response	9606
UniProtKB:O60602	TLR5	GO:0006954	inflammatory response	9606
UniProtKB:O60603	TLR2	GO:0006954	inflammatory response	9606
UniProtKB:Q9NPA2	MMP25	GO:0006954	inflammatory response	9606
UniProtKB:Q96EE3	SEH1L	GO:0006954	inflammatory response	9606
UniProtKB:P0C0L5	C4B	GO:0006954	inflammatory response	9606
UniProtKB:P0C0L4	C4A	GO:0006954	inflammatory response	9606
UniProtKB:Q8NEV9	IL27	GO:0006954	inflammatory response	9606
UniProtKB:Q8NEU8	APPL2	GO:0006954	inflammatory response	9606
UniProtKB:O75159	SOCS5	GO:0006954	inflammatory response	9606
UniProtKB:Q9Y4H4	GPSM3	GO:0006954	inflammatory response	9606
UniProtKB:Q8NET5	NFAM1	GO:0006954	inflammatory response	9606
UniProtKB:O75676	RPS6KA4	GO:0006954	inflammatory response	9606
UniProtKB:Q96GV9	C5orf30	GO:0006954	inflammatory response	9606
UniProtKB:O43766	LIAS	GO:0006954	inflammatory response	9606
UniProtKB:A1A4Y4	IRGM	GO:0006954	inflammatory response	9606
UniProtKB:P00533	EGFR	GO:0006954	inflammatory response	9606
UniProtKB:Q9UJ41	RABGEF1	GO:0006954	inflammatory response	9606
UniProtKB:P07203	GPX1	GO:0006954	inflammatory response	9606
UniProtKB:Q9Y6Y9	LY96	GO:0006954	inflammatory response	9606
UniProtKB:O95497	VNN1	GO:0006954	inflammatory response	9606
UniProtKB:Q16581	C3AR1	GO:0006954	inflammatory response	9606
UniProtKB:P25963	NFKBIA	GO:0006954	inflammatory response	9606
UniProtKB:Q8ND90	PNMA1	GO:0006954	inflammatory response	9606
UniProtKB:P10147	CCL3	GO:0006954	inflammatory response	9606
UniProtKB:P10145	CXCL8	GO:0006954	inflammatory response	9606
UniProtKB:P25942	CD40	GO:0006954	inflammatory response	9606
UniProtKB:Q8NCU7	C2CD4A	GO:0006954	inflammatory response	9606
UniProtKB:Q5D1E8	ZC3H12A	GO:0006954	inflammatory response	9606
UniProtKB:Q14653	IRF3	GO:0006954	inflammatory response	9606
UniProtKB:Q14624	ITIH4	GO:0006954	inflammatory response	9606
UniProtKB:Q96A08	HIST1H2BA	GO:0006954	inflammatory response	9606
UniProtKB:P20366	TAC1	GO:0006954	inflammatory response	9606
UniProtKB:Q9UK33	ZNF580	GO:0006954	inflammatory response	9606
UniProtKB:P49768	PSEN1	GO:0006954	inflammatory response	9606
UniProtKB:Q8NCG5	CHST4	GO:0006954	inflammatory response	9606
UniProtKB:Q6R327	RICTOR	GO:0006954	inflammatory response	9606
UniProtKB:P32248	CCR7	GO:0006954	inflammatory response	9606
UniProtKB:P32246	CCR1	GO:0006954	inflammatory response	9606
UniProtKB:Q9UEW8	STK39	GO:0006954	inflammatory response	9606
UniProtKB:Q04864	REL	GO:0006954	inflammatory response	9606
UniProtKB:P49137	MAPKAPK2	GO:0006954	inflammatory response	9606
UniProtKB:Q9UBU3	GHRL	GO:0006954	inflammatory response	9606
UniProtKB:Q9Y271	CYSLTR1	GO:0006954	inflammatory response	9606
UniProtKB:Q8NER1	TRPV1	GO:0006954	inflammatory response	9606
