ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	4	-0.882377883310719	-1.6281945441572	0.0130597014925373	0.33955223880597	0.31618224666143	1392	tags=100%, list=12%, signal=88%	25979/55711/8540
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	29	-0.45955819786056	-1.48506714423274	0.0362976406533575	0.382352941176471	0.356037151702786	1892	tags=34%, list=16%, signal=29%	1646/1645/10005/9885/3295/8644/5007/10998/8648
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	20	-0.495063418244517	-1.48105202562591	0.0441176470588235	0.382352941176471	0.356037151702786	1441	tags=60%, list=12%, signal=53%	31/5095/5091/27249/4594/5096/64087/25974/4552/55788/51293
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	146	-0.258259335312186	-1.13582430047416	0.177189409368635	1	0.931174089068826	1441	tags=21%, list=12%, signal=18%	55191/441024/5805/10229/60490/64087/32/25974/4552/27231/1645/55739/55034/2644/79646/316/6383/8644/5947/6382/55788/54956/4023/80025/51293/27010/57016/2643/10243
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	84	-0.273473826787482	-1.11899082517087	0.227722772277228	1	0.931174089068826	3202	tags=38%, list=27%, signal=28%	11004/9793/5501/220134/5048/55839/11130/54908/332/5525/7514/991/23122/22919/4928/81565/3619/81929/79902/55055/55143/80152/57122/6396/8379/55746/1778/2491/81930/1060/9183
GO:0006915	GO:0006915	1492	0.189284593788731	1.02246098977833	0.336673346693387	1	0.931174089068826	2386	tags=21%, list=20%, signal=19%	7704/1545/2309/10438/23678/56260/100533105/3570/5036/2771/3304/23429/7516/80013/10370/5469/5885/23085/80155/55294/1676/28996/5771/259230/2308/51428/353500/3791/580/7409/6928/70/4318/3678/6878/2152/11214/5325/64065/1894/9928/10210/3092/5518/84033/10945/56159/9826/579/10787/658/5047/25778/2316/3575/90993/7184/3623/1236/23239/6347/10795/1960/2999/5027/60560/390999/112399/939/440560/7153/4040/166/26012/2120/57124/83737/199/7531/79845/83941/9447/3303/1776/5641/2149/5309/247/7494/2907/2950/5170/6197/27141/89/8692/9531/9214/54867/3433/5916/4085/2033/8022/27302/54739/2537/943/9573/5626/2243/51378/55626/8193/51569/2931/2662/10266/367/1493/4609/64393/3553/7101/9966/57551/257/3003/4494/9113/40/4035/84951/665/81858/23321/51283/27237/51616/79679/85477/1271/6491/27159/309/4908/10913/1843/1630/54476/1508/10955/694/100133941/929/54532/5133/7040/29949/1027/2923/840/9021/126393/8326/11009/10280/116986/55074/7320/1234/9693/728/811/2324/9210/60529/3071/2896/1524/7498/8633/23405/6195/3480/213/6387/10595/22985/8200/54209/2914/1285/6733/2249/3745/9212/7157/1149/3099/1436/2124/351/838/4049/90865/4057/9538/9844/29124/355/1822/3397/1111/3482/11126/921/9971/301/80204/9423/79156/79915/60401/3004/57680/56979/7010/2322/10769/3663/1814/10542/54541/2253/9774/7849/1178/6753/7374/4055/57556/5081/5625/3956/358/55081/4780/2792/7804/63893/551/23601/1917/1268/55179/474/9255/79625/3661/8087/1800/2736/4297/26355/9705/7052/9370/10395/4192/4118/2272/7023/5077/8535/3685/6363/5329/79366/5978/3620/6663/2658/4968/54507/5524/26084/25803/6659/846/5134/50515/6352/5925/2782/23705/3625/10298/8444/5875/4294/6285/7291/221472/2619/4353/4824/23213/8829/7043
REACTOME_RHO_GTPASE_EFFECTORS	REACTOME_RHO_GTPASE_EFFECTORS	243	0.221486205112446	1.03553433352627	0.362525458248472	1	0.931174089068826	2339	tags=21%, list=20%, signal=18%	1783/8364/347733/5216/55166/23433/8355/8342/9928/4627/5518/10787/10398/2316/79980/8936/8341/8343/7531/5170/4085/64837/367/57551/3798/84790/3895/8348/286205/1027/3071/79861/51143/9212/25909/8968/7277/1729/51466/752/10383/23332/8349/8335/54820/8353/8976/4689/8347/79172/3017/1535
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	39	-0.293721532006445	-1.01814564390135	0.434362934362934	1	0.931174089068826	2816	tags=31%, list=24%, signal=24%	27034/1892/38/36/3033/64087/18/223/594/316/1962
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	81	-0.242541652744728	-0.989074762786723	0.470941883767535	1	0.931174089068826	1836	tags=17%, list=16%, signal=15%	4711/10312/515/1327/533/4702/9296/495/51606/23545/374291/4705/526
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	78	-0.24463953330252	-0.98945175397605	0.471544715447154	1	0.931174089068826	3113	tags=32%, list=26%, signal=24%	4700/4706/9167/518/1340/1537/54539/79133/55471/4720/4711/80219/10131/2110/7351/515/1327/9016/4702/51241/374291/55863/51103/4705
