ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
KEGG NON SMALL CELL LUNG CANCER	KEGG NON SMALL CELL LUNG CANCER	52	-0.555710368615054	-1.94401695052475	0.00184842883548983	0.120220682576341	0.110611401482922	918	tags=15%, list=8%, signal=14%	1021/1871/6789/11186/2885/5170/2309
Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	58	-0.46952910811532	-1.68087805523953	0.00185528756957328	0.120220682576341	0.110611401482922	2789	tags=38%, list=24%, signal=29%	4313/57105/3596/2006/4318/6696/796/5154/3082/6351/5806/3565/3553/3593/4092/3576/1906/4502/2252/2920/3567
Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	25	-0.656524435344066	-1.98593425882579	0.00189035916824197	0.120220682576341	0.110611401482922	433	tags=20%, list=4%, signal=19%	2308/639/1236/2309
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST	REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST	17	0.708857610233748	1.95267235377448	0.00194931773879142	0.120220682576341	0.110611401482922	1613	tags=47%, list=14%, signal=41%	5933/891/7027/581/995/6790/983/5111
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	14	0.71148683406553	1.82821577684847	0.00196463654223969	0.120220682576341	0.110611401482922	351	tags=29%, list=3%, signal=28%	5933/1875/4609/7027
KEGG MISMATCH REPAIR	KEGG MISMATCH REPAIR	19	0.679919682643155	1.91450555353622	0.00203665987780041	0.120220682576341	0.110611401482922	3046	tags=68%, list=26%, signal=51%	5984/3978/2956/9156/4436/5111/27030/6117/10714/5981/5985/5425/5983
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	34	0.5597941610235	1.84400629696068	0.00204081632653061	0.120220682576341	0.110611401482922	2133	tags=44%, list=18%, signal=36%	8317/55388/23595/5984/4172/4171/4174/995/4176/23594/1111/3364/6117/4175/5883
Gastric Cancer Network 1 WikiPathways 20190910 WP2361 Homo sapiens	Gastric Cancer Network 1 WikiPathways 20190910 WP2361 Homo sapiens	21	0.628471499206406	1.83588818540008	0.00206185567010309	0.120220682576341	0.110611401482922	1846	tags=43%, list=16%, signal=36%	9585/22974/1894/57122/56992/6790/11065/4605/86
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	28	0.60280818193295	1.89144212914753	0.00206185567010309	0.120220682576341	0.110611401482922	2025	tags=36%, list=17%, signal=30%	8317/55388/23595/4172/4171/4174/4176/23594/6117/4175
DNA Replication WikiPathways 20190910 WP466 Homo sapiens	DNA Replication WikiPathways 20190910 WP466 Homo sapiens	36	0.574057921081075	1.90669776110572	0.00209643605870021	0.120220682576341	0.110611401482922	3046	tags=50%, list=26%, signal=37%	8317/55388/23595/5984/4172/4171/4174/4176/23594/5111/6117/4175/10714/5981/5985/5425/990/5983
KEGG DNA REPLICATION	KEGG DNA REPLICATION	26	0.616574738594476	1.90212832868954	0.00210084033613445	0.120220682576341	0.110611401482922	3046	tags=58%, list=26%, signal=43%	1763/5984/4172/4171/3978/4174/4176/5111/6117/4175/10714/5981/5985/5425/5983
