ID	GOterm
REACTOME DEATH RECEPTOR SIGNALLING	GO0006915
KEGG PATHWAYS IN CANCER	GO0006915
Apoptosis Modulation and Signaling WikiPathways 20190910 WP1772 Homo sapiens	GO0006915
REACTOME P75 NTR RECEPTOR MEDIATED SIGNALLING	GO0006915
Apoptosis WikiPathways 20190910 WP254 Homo sapiens	GO0006915
REACTOME PROGRAMMED CELL DEATH	GO0006915
REACTOME CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE	GO0006915
Hepatitis B infection WikiPathways 20190910 WP4666 Homo sapiens	GO0006915
REACTOME INTRINSIC PATHWAY FOR APOPTOSIS	GO0006915
VEGFA VEGFR2 Signaling Pathway WikiPathways 20190910 WP3888 Homo sapiens	GO0006915
REACTOME TRANSCRIPTIONAL REGULATION BY TP53	GO0006915
REACTOME TP53 REGULATES TRANSCRIPTION OF CELL DEATH GENES	GO0006915
Brain Derived Neurotrophic Factor  BDNF  signaling pathway WikiPathways 20190910 WP2380 Homo sapiens	GO0006915
REACTOME SIGNALING BY RECEPTOR TYROSINE KINASES	GO0006915
PI3K Akt Signaling Pathway WikiPathways 20190910 WP4172 Homo sapiens	GO0006915
KEGG NEUROTROPHIN SIGNALING PATHWAY	GO0006915
REACTOME NRAGE SIGNALS DEATH THROUGH JNK	GO0006915
Pancreatic adenocarcinoma pathway WikiPathways 20190910 WP4263 Homo sapiens	GO0006915
Apoptosis related network due to altered Notch3 in ovarian cancer WikiPathways 20190910 WP2864 Homo sapiens	GO0006915
Signaling Pathways in Glioblastoma WikiPathways 20190910 WP2261 Homo sapiens	GO0006915
KEGG APOPTOSIS	GO0006915
KEGG T CELL RECEPTOR SIGNALING PATHWAY	GO0006915
ErbB Signaling Pathway WikiPathways 20190910 WP673 Homo sapiens	GO0006915
KEGG PROSTATE CANCER	GO0006915
KEGG MAPK SIGNALING PATHWAY	GO0006915
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	GO0006915
MAPK Signaling Pathway WikiPathways 20190910 WP382 Homo sapiens	GO0006915
REACTOME TOLL LIKE RECEPTOR CASCADES	GO0006915
REACTOME TRIF TICAM1 MEDIATED TLR4 SIGNALING	GO0006915
Breast cancer pathway WikiPathways 20190910 WP4262 Homo sapiens	GO0006915
Viral Acute Myocarditis WikiPathways 20190910 WP4298 Homo sapiens	GO0006915
REACTOME DISEASES OF SIGNAL TRANSDUCTION	GO0006915
Non small cell lung cancer WikiPathways 20190910 WP4255 Homo sapiens	GO0006915
Senescence and Autophagy in Cancer WikiPathways 20190910 WP615 Homo sapiens	GO0006915
KEGG ERBB SIGNALING PATHWAY	GO0006915
KEGG CHRONIC MYELOID LEUKEMIA	GO0006915
TNF alpha Signaling Pathway WikiPathways 20190910 WP231 Homo sapiens	GO0006915
REACTOME TOLL LIKE RECEPTOR 4 TLR4 CASCADE	GO0006915
Chromosomal and microsatellite instability in colorectal cancer  WikiPathways 20190910 WP4216 Homo sapiens	GO0006915
DNA Damage Response  only ATM dependent  WikiPathways 20190910 WP710 Homo sapiens	GO0006915
Integrated Breast Cancer Pathway WikiPathways 20190910 WP1984 Homo sapiens	GO0006915
Prolactin Signaling Pathway WikiPathways 20190910 WP2037 Homo sapiens	GO0006915
EGF EGFR Signaling Pathway WikiPathways 20190910 WP437 Homo sapiens	GO0006915
B Cell Receptor Signaling Pathway WikiPathways 20190910 WP23 Homo sapiens	GO0006915
TNF related weak inducer of apoptosis  TWEAK  Signaling Pathway WikiPathways 20190910 WP2036 Homo sapiens	GO0006915
KEGG COLORECTAL CANCER	GO0006915
REACTOME G ALPHA 12 13 SIGNALLING EVENTS	GO0006915
Oncostatin M Signaling Pathway WikiPathways 20190910 WP2374 Homo sapiens	GO0006915
REACTOME CASPASE ACTIVATION VIA EXTRINSIC APOPTOTIC SIGNALLING PATHWAY	GO0006915
T Cell antigen Receptor  TCR   Signaling Pathway WikiPathways 20190910 WP69 Homo sapiens	GO0006915
Leptin signaling pathway WikiPathways 20190910 WP2034 Homo sapiens	GO0006915
REACTOME ACTIVATION OF BH3 ONLY PROTEINS	GO0006915
KEGG TGF BETA SIGNALING PATHWAY	GO0006915
Small cell lung cancer WikiPathways 20190910 WP4658 Homo sapiens	GO0006915
REACTOME SIGNALING BY VEGF	GO0006915
Regulation of toll like receptor signaling pathway WikiPathways 20190910 WP1449 Homo sapiens	GO0006915
REACTOME NUCLEOTIDE BINDING DOMAIN LEUCINE RICH REPEAT CONTAINING RECEPTOR NLR SIGNALING PATHWAYS	GO0006915
KEGG P53 SIGNALING PATHWAY	GO0006915
Focal Adhesion PI3K Akt mTOR signaling pathway WikiPathways 20190910 WP3932 Homo sapiens	GO0006915
AGE RAGE pathway WikiPathways 20190910 WP2324 Homo sapiens	GO0006915
KEGG PANCREATIC CANCER	GO0006915
Spinal Cord Injury WikiPathways 20190910 WP2431 Homo sapiens	GO0006915
REACTOME REGULATION OF TP53 ACTIVITY	GO0006915
Chemokine signaling pathway WikiPathways 20190910 WP3929 Homo sapiens	GO0006915
Endometrial cancer WikiPathways 20190910 WP4155 Homo sapiens	GO0006915
REACTOME TOLL LIKE RECEPTOR 9 TLR9 CASCADE	GO0006915
KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY	GO0006915
Toll like Receptor Signaling Pathway WikiPathways 20190910 WP75 Homo sapiens	GO0006915
KEGG FOCAL ADHESION	GO0006915
KEGG SMALL CELL LUNG CANCER	GO0006915
Photodynamic therapy induced AP 1 survival signaling  WikiPathways 20190910 WP3611 Homo sapiens	GO0006915
KEGG NON SMALL CELL LUNG CANCER	GO0006915
Adipogenesis WikiPathways 20190910 WP236 Homo sapiens	GO0006915
Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	GO0006915
KEGG CHEMOKINE SIGNALING PATHWAY	GO0006915
RANKL RANK  Receptor activator of NFKB  ligand   Signaling Pathway WikiPathways 20190910 WP2018 Homo sapiens	GO0006915
Fibrin Complement Receptor 3 Signaling Pathway WikiPathways 20190910 WP4136 Homo sapiens	GO0006915
REACTOME TOLL LIKE RECEPTOR TLR1 TLR2 CASCADE	GO0006915
REACTOME INTRACELLULAR SIGNALING BY SECOND MESSENGERS	GO0006915
MET in type 1 papillary renal cell carcinoma WikiPathways 20190910 WP4205 Homo sapiens	GO0006915
KEGG GLIOMA	GO0006915
KEGG NOD LIKE RECEPTOR SIGNALING PATHWAY	GO0006915
T Cell antigen Receptor  TCR  pathway during Staphylococcus aureus infection WikiPathways 20190910 WP3863 Homo sapiens	GO0006915
DNA Damage Response WikiPathways 20190910 WP707 Homo sapiens	GO0006915
RAC1 PAK1 p38 MMP2 Pathway WikiPathways 20190910 WP3303 Homo sapiens	GO0006915
Insulin Signaling WikiPathways 20190910 WP481 Homo sapiens	GO0006915
TGF beta Signaling Pathway WikiPathways 20190910 WP366 Homo sapiens	GO0006915
KEGG ACUTE MYELOID LEUKEMIA	GO0006915
Nanomaterial induced apoptosis WikiPathways 20190910 WP2507 Homo sapiens	GO0006915
Fas Ligand  FasL  pathway and Stress induction of Heat Shock Proteins  HSP  regulation WikiPathways 20190910 WP314 Homo sapiens	GO0006915
REACTOME MYD88 CASCADE INITIATED ON PLASMA MEMBRANE	GO0006915
Hepatitis C and Hepatocellular Carcinoma WikiPathways 20190910 WP3646 Homo sapiens	GO0006915
IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	GO0006915
REACTOME SIGNALING BY NTRKS	GO0006915
REACTOME INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING	GO0006915
KEGG RENAL CELL CARCINOMA	GO0006915
KEGG REGULATION OF ACTIN CYTOSKELETON	GO0006915
Androgen receptor signaling pathway WikiPathways 20190910 WP138 Homo sapiens	GO0006915
KEGG ENDOMETRIAL CANCER	GO0006915
Focal Adhesion WikiPathways 20190910 WP306 Homo sapiens	GO0006915
Corticotropin releasing hormone signaling pathway WikiPathways 20190910 WP2355 Homo sapiens	GO0006915
Ras Signaling WikiPathways 20190910 WP4223 Homo sapiens	GO0006915
REACTOME FOXO MEDIATED TRANSCRIPTION	GO0006915
IL 6 signaling pathway WikiPathways 20190910 WP364 Homo sapiens	GO0006915
REACTOME TNF SIGNALING	GO0006915
Integrated Cancer Pathway WikiPathways 20190910 WP1971 Homo sapiens	GO0006915
REACTOME INTERLEUKIN 17 SIGNALING	GO0006915
Wnt Signaling Pathway and Pluripotency WikiPathways 20190910 WP399 Homo sapiens	GO0006915
REACTOME REGULATED NECROSIS	GO0006915
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN CYTOCHROME C RELEASE	GO0006915
Regulation of Apoptosis by Parathyroid Hormone related Protein WikiPathways 20190910 WP3872 Homo sapiens	GO0006915
REACTOME MAPK FAMILY SIGNALING CASCADES	GO0006915
KEGG FC EPSILON RI SIGNALING PATHWAY	GO0006915
Differentiation Pathway WikiPathways 20190910 WP2848 Homo sapiens	GO0006915
Non genomic actions of 1 25 dihydroxyvitamin D3 WikiPathways 20190910 WP4341 Homo sapiens	GO0006915
REACTOME SIGNALING BY NTRK1 TRKA	GO0006915
IL 5 Signaling Pathway WikiPathways 20190910 WP127 Homo sapiens	GO0006915
Ebola Virus Pathway on Host WikiPathways 20190910 WP4217 Homo sapiens	GO0006915
Human Thyroid Stimulating Hormone  TSH  signaling pathway WikiPathways 20190910 WP2032 Homo sapiens	GO0006915
IL 4 Signaling Pathway WikiPathways 20190910 WP395 Homo sapiens	GO0006915
IL 3 Signaling Pathway WikiPathways 20190910 WP286 Homo sapiens	GO0006915
REACTOME NOD1 2 SIGNALING PATHWAY	GO0006915
Epithelial to mesenchymal transition in colorectal cancer WikiPathways 20190910 WP4239 Homo sapiens	GO0006915
MicroRNAs in cardiomyocyte hypertrophy WikiPathways 20190910 WP1544 Homo sapiens	GO0006915
REACTOME REGULATION OF TNFR1 SIGNALING	GO0006915
REACTOME OTHER INTERLEUKIN SIGNALING	GO0006915
Notch Signaling Pathway WikiPathways 20190910 WP61 Homo sapiens	GO0006915
ESC Pluripotency Pathways WikiPathways 20190910 WP3931 Homo sapiens	GO0006915
REACTOME APOPTOTIC FACTOR MEDIATED RESPONSE	GO0006915
REACTOME CASPASE ACTIVATION VIA DEATH RECEPTORS IN THE PRESENCE OF LIGAND	GO0006915
REACTOME NRIF SIGNALS CELL DEATH FROM THE NUCLEUS	GO0006915
REACTOME P75NTR SIGNALS VIA NF KB	GO0006915
KEGG NATURAL KILLER CELL MEDIATED CYTOTOXICITY	GO0006915
KEGG MELANOMA	GO0006915
Regulation of Actin Cytoskeleton WikiPathways 20190910 WP51 Homo sapiens	GO0006915
ATM Signaling Pathway WikiPathways 20190910 WP2516 Homo sapiens	GO0006915
REACTOME PLATELET ACTIVATION SIGNALING AND AGGREGATION	GO0006915
KEGG CELL CYCLE	GO0006915
KEGG WNT SIGNALING PATHWAY	GO0006915
Nucleotide binding Oligomerization Domain  NOD  pathway WikiPathways 20190910 WP1433 Homo sapiens	GO0006915
REACTOME G1 PHASE	GO0006915
KEGG AXON GUIDANCE	GO0006915
Cardiac Hypertrophic Response WikiPathways 20190910 WP2795 Homo sapiens	GO0006915
Circadian rhythm related genes WikiPathways 20190910 WP3594 Homo sapiens	GO0006915
KEGG B CELL RECEPTOR SIGNALING PATHWAY	GO0006915
Apoptosis Modulation by HSP70 WikiPathways 20190910 WP384 Homo sapiens	GO0006915
REACTOME PI3K AKT SIGNALING IN CANCER	GO0006915
REACTOME DEUBIQUITINATION	GO0006915
REACTOME SIGNALING BY ERBB4	GO0006915
p38 MAPK Signaling Pathway WikiPathways 20190910 WP400 Homo sapiens	GO0006915
REACTOME SIGNALING BY FGFR3	GO0006915
miRNA Regulation of DNA Damage Response WikiPathways 20190910 WP1530 Homo sapiens	GO0006915
REACTOME TP53 REGULATES TRANSCRIPTION OF SEVERAL ADDITIONAL CELL DEATH GENES WHOSE SPECIFIC ROLES IN P53 DEPENDENT APOPTOSIS REMAIN UNCERTAIN	GO0006915
Thymic Stromal LymphoPoietin  TSLP  Signaling Pathway WikiPathways 20190910 WP2203 Homo sapiens	GO0006915
Photodynamic therapy induced NF kB survival signaling WikiPathways 20190910 WP3617 Homo sapiens	GO0006915
REACTOME NEGATIVE REGULATION OF THE PI3K AKT NETWORK	GO0006915
Interleukin 11 Signaling Pathway WikiPathways 20190910 WP2332 Homo sapiens	GO0006915
Hippo Merlin Signaling Dysregulation WikiPathways 20190910 WP4541 Homo sapiens	GO0006915
TP53 Network WikiPathways 20190910 WP1742 Homo sapiens	GO0006915
Association Between Physico Chemical Features and Toxicity Associated Pathways WikiPathways 20190910 WP3680 Homo sapiens	GO0006915
Sudden Infant Death Syndrome  SIDS  Susceptibility Pathways WikiPathways 20190910 WP706 Homo sapiens	GO0006915
REACTOME TNFR1 INDUCED NFKAPPAB SIGNALING PATHWAY	GO0006915
KEGG JAK STAT SIGNALING PATHWAY	GO0006915
KEGG LEISHMANIA INFECTION	GO0006915
Nonalcoholic fatty liver disease WikiPathways 20190910 WP4396 Homo sapiens	GO0006915
Aryl Hydrocarbon Receptor WikiPathways 20190910 WP2586 Homo sapiens	GO0006915
REACTOME INTERLEUKIN 3 INTERLEUKIN 5 AND GM CSF SIGNALING	GO0006915
Translation inhibitors in chronically activated PDGFRA cells WikiPathways 20190910 WP4566 Homo sapiens	GO0006915
REACTOME CELLULAR RESPONSES TO STRESS	GO0006915
Integrin mediated Cell Adhesion WikiPathways 20190910 WP185 Homo sapiens	GO0006915
KEGG BLADDER CANCER	GO0006915
DNA IR Double Strand Breaks  DSBs  and cellular response via ATM WikiPathways 20190910 WP3959 Homo sapiens	GO0006915
REACTOME RHO GTPASE CYCLE	GO0006915
REACTOME APOPTOTIC EXECUTION PHASE	GO0006915
REACTOME IKK COMPLEX RECRUITMENT MEDIATED BY RIP1	GO0006915
Cell Cycle WikiPathways 20190910 WP179 Homo sapiens	GO0006915
REACTOME SIGNALING BY RHO GTPASES	GO0006915
REACTOME DDX58 IFIH1 MEDIATED INDUCTION OF INTERFERON ALPHA BETA	GO0006915
Angiopoietin Like Protein 8 Regulatory Pathway WikiPathways 20190910 WP3915 Homo sapiens	GO0006915
PDGF Pathway WikiPathways 20190910 WP2526 Homo sapiens	GO0006915
REACTOME REGULATION OF TP53 EXPRESSION AND DEGRADATION	GO0006915
REACTOME CYTOCHROME C MEDIATED APOPTOTIC RESPONSE	GO0006915
REACTOME NF KB IS ACTIVATED AND SIGNALS SURVIVAL	GO0006915
REACTOME P75NTR RECRUITS SIGNALLING COMPLEXES	GO0006915
PDGFR beta pathway WikiPathways 20190910 WP3972 Homo sapiens	GO0006915
REACTOME ACTIVATION OF BAD AND TRANSLOCATION TO MITOCHONDRIA	GO0006915
Neural Crest Cell Migration in Cancer WikiPathways 20190910 WP4565 Homo sapiens	GO0006915
Novel intracellular components of RIG I like receptor  RLR  pathway WikiPathways 20190910 WP3865 Homo sapiens	GO0006915
Bladder Cancer WikiPathways 20190910 WP2828 Homo sapiens	GO0006915
REACTOME SIGNALING BY FGFR4	GO0006915
REACTOME REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION	GO0006915
Neural Crest Differentiation WikiPathways 20190910 WP2064 Homo sapiens	GO0006915
IL 7 Signaling Pathway WikiPathways 20190910 WP205 Homo sapiens	GO0006915
Pathways Regulating Hippo Signaling WikiPathways 20190910 WP4540 Homo sapiens	GO0006915
REACTOME TP53 REGULATES TRANSCRIPTION OF CASPASE ACTIVATORS AND CASPASES	GO0006915
REACTOME TP53 REGULATES TRANSCRIPTION OF DEATH RECEPTORS AND LIGANDS	GO0006915
REACTOME SIGNALING BY FGFR1	GO0006915
KEGG FC GAMMA R MEDIATED PHAGOCYTOSIS	GO0006915
miRNA regulation of p53 pathway in prostate cancer WikiPathways 20190910 WP3982 Homo sapiens	GO0006915
KEGG VEGF SIGNALING PATHWAY	GO0006915
REACTOME SIGNALING BY NON RECEPTOR TYROSINE KINASES	GO0006915
REACTOME SIGNALING BY NOTCH1	GO0006915
Neural Crest Cell Migration during Development WikiPathways 20190910 WP4564 Homo sapiens	GO0006915
Amyotrophic lateral sclerosis  ALS  WikiPathways 20190910 WP2447 Homo sapiens	GO0006915
REACTOME TRANSCRIPTIONAL REGULATION BY RUNX2	GO0006915
KEGG MTOR SIGNALING PATHWAY	GO0006915
Angiogenesis WikiPathways 20190910 WP1539 Homo sapiens	GO0006915
REACTOME SIGNALING BY ERBB2	GO0006915
Wnt Signaling WikiPathways 20190910 WP428 Homo sapiens	GO0006915
TLR4 Signaling and Tolerance WikiPathways 20190910 WP3851 Homo sapiens	GO0006915
Resistin as a regulator of inflammation WikiPathways 20190910 WP4481 Homo sapiens	GO0006915
KEGG AMYOTROPHIC LATERAL SCLEROSIS ALS	GO0006915
Hair Follicle Development  Cytodifferentiation  Part 3 of 3  WikiPathways 20190910 WP2840 Homo sapiens	GO0006915
REACTOME ACTIVATION OF IRF3 IRF7 MEDIATED BY TBK1 IKK EPSILON	GO0006915
KEGG INSULIN SIGNALING PATHWAY	GO0006915
IL 1 signaling pathway WikiPathways 20190910 WP195 Homo sapiens	GO0006915
REACTOME REGULATED PROTEOLYSIS OF P75NTR	GO0006915
REACTOME REGULATION BY C FLIP	GO0006915
REACTOME UB SPECIFIC PROCESSING PROTEASES	GO0006915
REACTOME NOTCH2 ACTIVATION AND TRANSMISSION OF SIGNAL TO THE NUCLEUS	GO0006915
REACTOME ACTIVATION OF RAC1	GO0006915
REACTOME SUMOYLATION	GO0006915
REACTOME SIGNALING BY ERYTHROPOIETIN	GO0006915
REACTOME SIGNALING BY NTRK2 TRKB	GO0006915
Photodynamic therapy induced HIF 1 survival signaling WikiPathways 20190910 WP3614 Homo sapiens	GO0006915
REACTOME SIGNALING BY NOTCH1 IN CANCER	GO0006915
TGF beta Receptor Signaling WikiPathways 20190910 WP560 Homo sapiens	GO0006915
Signaling of Hepatocyte Growth Factor Receptor WikiPathways 20190910 WP313 Homo sapiens	GO0006915
Allograft Rejection WikiPathways 20190910 WP2328 Homo sapiens	GO0006915
REACTOME ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS	GO0006915
REACTOME MAPK TARGETS NUCLEAR EVENTS MEDIATED BY MAP KINASES	GO0006915
Oxidative Damage WikiPathways 20190910 WP3941 Homo sapiens	GO0006915
KEGG RIG I LIKE RECEPTOR SIGNALING PATHWAY	GO0006915
Estrogen signaling pathway WikiPathways 20190910 WP712 Homo sapiens	GO0006915
REACTOME ONCOGENE INDUCED SENESCENCE	GO0006915
Signal transduction through IL1R WikiPathways 20190910 WP4496 Homo sapiens	GO0006915
EPO Receptor Signaling WikiPathways 20190910 WP581 Homo sapiens	GO0006915
REACTOME NEGATIVE REGULATION OF FGFR3 SIGNALING	GO0006915
T Cell Receptor and Co stimulatory Signaling WikiPathways 20190910 WP2583 Homo sapiens	GO0006915
REACTOME SPRY REGULATION OF FGF SIGNALING	GO0006915
ATM Signaling Network in Development and Disease  WikiPathways 20190910 WP3878 Homo sapiens	GO0006915
Heart Development WikiPathways 20190910 WP1591 Homo sapiens	GO0006915
REACTOME NETRIN 1 SIGNALING	GO0006915
REACTOME NEGATIVE REGULATION OF FGFR1 SIGNALING	GO0006915
REACTOME SIGNALING BY NOTCH2	GO0006915
REACTOME CASPASE ACTIVATION VIA DEPENDENCE RECEPTORS IN THE ABSENCE OF LIGAND	GO0006915
REACTOME INSULIN RECEPTOR SIGNALLING CASCADE	GO0006915
Extracellular vesicle mediated signaling in recipient cells WikiPathways 20190910 WP2870 Homo sapiens	GO0006915
PI3K AKT mTOR signaling pathway and therapeutic opportunities WikiPathways 20190910 WP3844 Homo sapiens	GO0006915
REACTOME TICAM1 RIP1 MEDIATED IKK COMPLEX RECRUITMENT	GO0006915
REACTOME VEGFR2 MEDIATED CELL PROLIFERATION	GO0006915
KEGG BASAL CELL CARCINOMA	GO0006915
REACTOME INTERLEUKIN 2 FAMILY SIGNALING	GO0006915
REACTOME EXTRA NUCLEAR ESTROGEN SIGNALING	GO0006915
REACTOME NEGATIVE REGULATION OF FGFR2 SIGNALING	GO0006915
REACTOME JNK C JUN KINASES PHOSPHORYLATION AND ACTIVATION MEDIATED BY ACTIVATED HUMAN TAK1	GO0006915
REACTOME REGULATION OF SIGNALING BY CBL	GO0006915
REACTOME TNFS BIND THEIR PHYSIOLOGICAL RECEPTORS	GO0006915
KEGG LEUKOCYTE TRANSENDOTHELIAL MIGRATION	GO0006915
REACTOME APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS	GO0006915
REACTOME OVARIAN TUMOR DOMAIN PROTEASES	GO0006915
Alzheimers Disease WikiPathways 20190910 WP2059 Homo sapiens	GO0006915
REACTOME GPVI MEDIATED ACTIVATION CASCADE	GO0006915
Wnt Signaling Pathway WikiPathways 20190910 WP363 Homo sapiens	GO0006915
KEGG ADHERENS JUNCTION	GO0006915
REACTOME SIGNALING BY FGFR2	GO0006915
LTF danger signal response pathway WikiPathways 20190910 WP4478 Homo sapiens	GO0006915
REACTOME INFLAMMASOMES	GO0006915
REACTOME TAK1 ACTIVATES NFKB BY PHOSPHORYLATION AND ACTIVATION OF IKKS COMPLEX	GO0006915
Photodynamic therapy induced unfolded protein response WikiPathways 20190910 WP3613 Homo sapiens	GO0006915
REACTOME DOWNSTREAM SIGNAL TRANSDUCTION	GO0006915
NRF2 ARE regulation WikiPathways 20190910 WP4357 Homo sapiens	GO0006915
Fragile X Syndrome  WikiPathways 20190910 WP4549 Homo sapiens	GO0006915
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WikiPathways 20190910 WP4336 Homo sapiens	GO0006915
REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	GO0006915
REACTOME TNFR2 NON CANONICAL NF KB PATHWAY	GO0006915
Copper homeostasis WikiPathways 20190910 WP3286 Homo sapiens	GO0006915
REACTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R	GO0006915
REACTOME EPH EPHRIN SIGNALING	GO0006915
KEGG MELANOGENESIS	GO0006915
KEGG TYPE II DIABETES MELLITUS	GO0006915
REACTOME SIGNALING BY LIGAND RESPONSIVE EGFR VARIANTS IN CANCER	GO0006915
REACTOME CD28 CO STIMULATION	GO0006915
Synaptic signaling pathways associated with autism spectrum disorder WikiPathways 20190910 WP4539 Homo sapiens	GO0006915
REACTOME SIGNALING BY TGF BETA FAMILY MEMBERS	GO0006915
Follicle Stimulating Hormone  FSH  signaling pathway WikiPathways 20190910 WP2035 Homo sapiens	GO0006915
REACTOME VEGFR2 MEDIATED VASCULAR PERMEABILITY	GO0006915
EBV LMP1 signaling WikiPathways 20190910 WP262 Homo sapiens	GO0006915
Prion disease pathway WikiPathways 20190910 WP3995 Homo sapiens	GO0006915
Energy Metabolism WikiPathways 20190910 WP1541 Homo sapiens	GO0006915
Mechanoregulation and pathology of YAP TAZ via Hippo and non Hippo mechanisms WikiPathways 20190910 WP4534 Homo sapiens	GO0006915
NO cGMP PKG mediated Neuroprotection WikiPathways 20190910 WP4008 Homo sapiens	GO0006915
KEGG HEDGEHOG SIGNALING PATHWAY	GO0006915
BDNF TrkB Signaling WikiPathways 20190910 WP3676 Homo sapiens	GO0006915
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL DEATH GENES	GO0006915
REACTOME TRAF6 MEDIATED INDUCTION OF TAK1 COMPLEX WITHIN TLR4 COMPLEX	GO0006915
REACTOME COSTIMULATION BY THE CD28 FAMILY	GO0006915
Myometrial Relaxation and Contraction Pathways WikiPathways 20190910 WP289 Homo sapiens	GO0006915
Factors and pathways affecting insulin like growth factor  IGF1  Akt signaling WikiPathways 20190910 WP3850 Homo sapiens	GO0006915
REACTOME NEGATIVE REGULATION OF FGFR4 SIGNALING	GO0006915
REACTOME SIGNALING BY NOTCH3	GO0006915
Endochondral Ossification WikiPathways 20190910 WP474 Homo sapiens	GO0006915
REACTOME SIGNALING BY FGFR	GO0006915
REACTOME NOTCH3 ACTIVATION AND TRANSMISSION OF SIGNAL TO THE NUCLEUS	GO0006915
REACTOME NUCLEAR EVENTS KINASE AND TRANSCRIPTION FACTOR ACTIVATION	GO0006915
Vitamin D in inflammatory diseases WikiPathways 20190910 WP4482 Homo sapiens	GO0006915
REACTOME SIGNALING BY NUCLEAR RECEPTORS	GO0006915
REACTOME AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL	GO0006915
REACTOME REGULATION OF TP53 ACTIVITY THROUGH ASSOCIATION WITH CO FACTORS	GO0006915
REACTOME C TYPE LECTIN RECEPTORS CLRS	GO0006915
IL17 signaling pathway WikiPathways 20190910 WP2112 Homo sapiens	GO0006915
Toll like Receptor Signaling WikiPathways 20190910 WP3858 Homo sapiens	GO0006915
REACTOME SIGNALING BY SCF KIT	GO0006915
KEGG ADIPOCYTOKINE SIGNALING PATHWAY	GO0006915
REACTOME DAP12 SIGNALING	GO0006915
Selective expression of chemokine receptors during T cell polarization WikiPathways 20190910 WP4494 Homo sapiens	GO0006915
Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	GO0006915
REACTOME TRANSCRIPTIONAL REGULATION BY MECP2	GO0006915
KEGG TIGHT JUNCTION	GO0006915
Nanoparticle triggered regulated necrosis WikiPathways 20190910 WP2513 Homo sapiens	GO0006915
REACTOME TICAM1 DEPENDENT ACTIVATION OF IRF3 IRF7	GO0006915
Platelet mediated interactions with vascular and circulating cells WikiPathways 20190910 WP4462 Homo sapiens	GO0006915
KEGG PROGESTERONE MEDIATED OOCYTE MATURATION	GO0006915
