pathway	entrezgene	hgnc_symbol
REACTOME_SIGNALING_BY_RHO_GTPASES	8379	MAD1L1
REACTOME_SIGNALING_BY_RHO_GTPASES	23028	KDM1A
REACTOME_SIGNALING_BY_RHO_GTPASES	115703	ARHGAP33
REACTOME_SIGNALING_BY_RHO_GTPASES	1856	DVL2
REACTOME_SIGNALING_BY_RHO_GTPASES	9912	ARHGAP44
REACTOME_SIGNALING_BY_RHO_GTPASES	5048	PAFAH1B1
REACTOME_SIGNALING_BY_RHO_GTPASES	27035	NOX1
REACTOME_SIGNALING_BY_RHO_GTPASES	23221	RHOBTB2
REACTOME_SIGNALING_BY_RHO_GTPASES	695	BTK
REACTOME_SIGNALING_BY_RHO_GTPASES	7454	WAS
REACTOME_SIGNALING_BY_RHO_GTPASES	10928	RALBP1
REACTOME_SIGNALING_BY_RHO_GTPASES	23279	NUP160
REACTOME_SIGNALING_BY_RHO_GTPASES	51306	FAM13B
REACTOME_SIGNALING_BY_RHO_GTPASES	57514	ARHGAP31
REACTOME_SIGNALING_BY_RHO_GTPASES	55166	CENPQ
REACTOME_SIGNALING_BY_RHO_GTPASES	55789	DEPDC1B
REACTOME_SIGNALING_BY_RHO_GTPASES	7204	TRIO
REACTOME_SIGNALING_BY_RHO_GTPASES	999	CDH1
REACTOME_SIGNALING_BY_RHO_GTPASES	54908	SPDL1
REACTOME_SIGNALING_BY_RHO_GTPASES	1495	CTNNA1
REACTOME_SIGNALING_BY_RHO_GTPASES	116984	ARAP2
REACTOME_SIGNALING_BY_RHO_GTPASES	395	ARHGAP6
REACTOME_SIGNALING_BY_RHO_GTPASES	57120	GOPC
REACTOME_SIGNALING_BY_RHO_GTPASES	7984	ARHGEF5
REACTOME_SIGNALING_BY_RHO_GTPASES	1535	CYBA
REACTOME_SIGNALING_BY_RHO_GTPASES	26999	CYFIP2
REACTOME_SIGNALING_BY_RHO_GTPASES	2665	GDI2
REACTOME_SIGNALING_BY_RHO_GTPASES	4659	PPP1R12A
REACTOME_SIGNALING_BY_RHO_GTPASES	10787	NCKAP1
REACTOME_SIGNALING_BY_RHO_GTPASES	5586	PKN2
REACTOME_SIGNALING_BY_RHO_GTPASES	54763	ROPN1
REACTOME_SIGNALING_BY_RHO_GTPASES	4638	MYLK
REACTOME_SIGNALING_BY_RHO_GTPASES	5525	PPP2R5A
REACTOME_SIGNALING_BY_RHO_GTPASES	25791	NGEF
REACTOME_SIGNALING_BY_RHO_GTPASES	4649	MYO9A
REACTOME_SIGNALING_BY_RHO_GTPASES	387	RHOA
REACTOME_SIGNALING_BY_RHO_GTPASES	5590	PRKCZ
REACTOME_SIGNALING_BY_RHO_GTPASES	6093	ROCK1
REACTOME_SIGNALING_BY_RHO_GTPASES	3796	KIF2A
REACTOME_SIGNALING_BY_RHO_GTPASES	5526	PPP2R5B
REACTOME_SIGNALING_BY_RHO_GTPASES	55746	NUP133
REACTOME_SIGNALING_BY_RHO_GTPASES	5217	PFN2
REACTOME_SIGNALING_BY_RHO_GTPASES	998	CDC42
REACTOME_SIGNALING_BY_RHO_GTPASES	79658	ARHGAP10
REACTOME_SIGNALING_BY_RHO_GTPASES	9886	RHOBTB1
REACTOME_SIGNALING_BY_RHO_GTPASES	54820	NDE1
REACTOME_SIGNALING_BY_RHO_GTPASES	23332	CLASP1
REACTOME_SIGNALING_BY_RHO_GTPASES	50508	NOX3
REACTOME_SIGNALING_BY_RHO_GTPASES	55160	ARHGEF10L
REACTOME_SIGNALING_BY_RHO_GTPASES	79023	NUP37
REACTOME_SIGNALING_BY_RHO_GTPASES	60	ACTB
REACTOME_SIGNALING_BY_RHO_GTPASES	55843	ARHGAP15
REACTOME_SIGNALING_BY_RHO_GTPASES	113457	TUBA3D
REACTOME_SIGNALING_BY_RHO_GTPASES	9138	ARHGEF1
REACTOME_SIGNALING_BY_RHO_GTPASES	4660	PPP1R12B
REACTOME_SIGNALING_BY_RHO_GTPASES	5063	PAK3
REACTOME_SIGNALING_BY_RHO_GTPASES	1781	DYNC1I2
REACTOME_SIGNALING_BY_RHO_GTPASES	5289	PIK3C3
REACTOME_SIGNALING_BY_RHO_GTPASES	5527	PPP2R5C
REACTOME_SIGNALING_BY_RHO_GTPASES	4983	OPHN1
REACTOME_SIGNALING_BY_RHO_GTPASES	10403	NDC80
REACTOME_SIGNALING_BY_RHO_GTPASES	7514	XPO1
REACTOME_SIGNALING_BY_RHO_GTPASES	81929	SEH1L
