pathway	entrezgene	hgnc_symbol
KEGG PURINE METABOLISM	22978	NT5C2
KEGG PURINE METABOLISM	5437	POLR2H
KEGG PURINE METABOLISM	5169	ENPP3
KEGG PURINE METABOLISM	5434	POLR2E
KEGG PURINE METABOLISM	5435	POLR2F
KEGG PURINE METABOLISM	5167	ENPP1
KEGG PURINE METABOLISM	7498	XDH
KEGG PURINE METABOLISM	5438	POLR2I
KEGG PURINE METABOLISM	5439	POLR2J
KEGG PURINE METABOLISM	54107	POLE3
KEGG PURINE METABOLISM	159	ADSS2
KEGG PURINE METABOLISM	5634	PRPS2
KEGG PURINE METABOLISM	158	ADSL
KEGG PURINE METABOLISM	10201	NME6
KEGG PURINE METABOLISM	51082	POLR1D
KEGG PURINE METABOLISM	87178	PNPT1
KEGG PURINE METABOLISM	5440	POLR2K
KEGG PURINE METABOLISM	50940	
KEGG PURINE METABOLISM	10714	POLD3
KEGG PURINE METABOLISM	5441	POLR2L
KEGG PURINE METABOLISM	203	AK1
KEGG PURINE METABOLISM	654364	NME1-NME2
KEGG PURINE METABOLISM	204	AK2
KEGG PURINE METABOLISM	205	AK4
KEGG PURINE METABOLISM	23649	POLA2
KEGG PURINE METABOLISM	124583	CANT1
KEGG PURINE METABOLISM	270	AMPD1
KEGG PURINE METABOLISM	272	AMPD3
KEGG PURINE METABOLISM	271	AMPD2
KEGG PURINE METABOLISM	4833	NME4
KEGG PURINE METABOLISM	3000	GUCY2D
KEGG PURINE METABOLISM	4830	NME1
KEGG PURINE METABOLISM	471	ATIC
KEGG PURINE METABOLISM	4831	NME2
KEGG PURINE METABOLISM	1716	DGUOK
KEGG PURINE METABOLISM	10623	POLR3C
KEGG PURINE METABOLISM	4832	NME3
KEGG PURINE METABOLISM	10622	POLR3G
KEGG PURINE METABOLISM	10621	POLR3F
KEGG PURINE METABOLISM	58497	PRUNE1
KEGG PURINE METABOLISM	56985	ADPRM
KEGG PURINE METABOLISM	5142	PDE4B
KEGG PURINE METABOLISM	5143	PDE4C
KEGG PURINE METABOLISM	5140	PDE3B
KEGG PURINE METABOLISM	5141	PDE4A
KEGG PURINE METABOLISM	318	NUDT2
KEGG PURINE METABOLISM	51292	GMPR2
KEGG PURINE METABOLISM	5146	PDE6C
KEGG PURINE METABOLISM	5147	PDE6D
KEGG PURINE METABOLISM	5144	PDE4D
KEGG PURINE METABOLISM	5145	PDE6A
KEGG PURINE METABOLISM	5557	PRIM1
KEGG PURINE METABOLISM	5558	PRIM2
KEGG PURINE METABOLISM	26289	AK5
KEGG PURINE METABOLISM	2766	GMPR
KEGG PURINE METABOLISM	8382	NME5
KEGG PURINE METABOLISM	27115	PDE7B
KEGG PURINE METABOLISM	8654	PDE5A
KEGG PURINE METABOLISM	57804	POLD4
KEGG PURINE METABOLISM	2977	GUCY1A2
KEGG PURINE METABOLISM	2272	FHIT
KEGG PURINE METABOLISM	109	ADCY3
KEGG PURINE METABOLISM	108	ADCY2
KEGG PURINE METABOLISM	107	ADCY1
KEGG PURINE METABOLISM	5422	POLA1
KEGG PURINE METABOLISM	5139	PDE3A
KEGG PURINE METABOLISM	5138	PDE2A
KEGG PURINE METABOLISM	5137	PDE1C
KEGG PURINE METABOLISM	122622	ADSS1
KEGG PURINE METABOLISM	100	ADA
KEGG PURINE METABOLISM	377841	ENTPD8
KEGG PURINE METABOLISM	5427	POLE2
KEGG PURINE METABOLISM	5151	PDE8A
KEGG PURINE METABOLISM	5152	PDE9A
KEGG PURINE METABOLISM	5153	PDE1B
KEGG PURINE METABOLISM	53343	NUDT9
KEGG PURINE METABOLISM	5424	POLD1
KEGG PURINE METABOLISM	9615	GDA
KEGG PURINE METABOLISM	5425	POLD2
KEGG PURINE METABOLISM	5426	POLE
KEGG PURINE METABOLISM	5158	PDE6B
KEGG PURINE METABOLISM	5150	PDE7A
KEGG PURINE METABOLISM	5631	PRPS1
KEGG PURINE METABOLISM	64425	POLR1E
KEGG PURINE METABOLISM	10606	PAICS
KEGG PURINE METABOLISM	84618	NT5C1A
KEGG PURINE METABOLISM	5431	POLR2B
KEGG PURINE METABOLISM	11128	POLR3A
KEGG PURINE METABOLISM	5149	PDE6H
KEGG PURINE METABOLISM	5430	POLR2A
KEGG PURINE METABOLISM	5148	PDE6G
KEGG PURINE METABOLISM	5433	POLR2D
KEGG PURINE METABOLISM	1633	DCK
KEGG PURINE METABOLISM	5432	POLR2C
KEGG PURINE METABOLISM	114	ADCY8
KEGG PURINE METABOLISM	115	ADCY9
KEGG PURINE METABOLISM	112	ADCY6
KEGG PURINE METABOLISM	122481	AK7
KEGG PURINE METABOLISM	113	ADCY7
KEGG PURINE METABOLISM	111	ADCY5
KEGG PURINE METABOLISM	8833	GMPS
KEGG PURINE METABOLISM	55811	ADCY10
KEGG PURINE METABOLISM	51728	POLR3K
KEGG PURINE METABOLISM	84172	POLR1B
KEGG PURINE METABOLISM	4860	PNP
KEGG PURINE METABOLISM	50484	RRM2B
KEGG PURINE METABOLISM	5136	PDE1A
KEGG PURINE METABOLISM	246721	POLR2J2
KEGG PURINE METABOLISM	3251	HPRT1
KEGG PURINE METABOLISM	2618	GART
KEGG PURINE METABOLISM	9061	PAPSS1
KEGG PURINE METABOLISM	9060	PAPSS2
KEGG PURINE METABOLISM	56953	NT5M
KEGG PURINE METABOLISM	196883	ADCY4
KEGG PURINE METABOLISM	3614	IMPDH1
KEGG PURINE METABOLISM	3615	IMPDH2
KEGG PURINE METABOLISM	171568	POLR3H
KEGG PURINE METABOLISM	548644	POLR2J3
KEGG PURINE METABOLISM	25885	POLR1A
KEGG PURINE METABOLISM	55703	POLR3B
KEGG PURINE METABOLISM	2983	GUCY1B1
KEGG PURINE METABOLISM	5313	PKLR
KEGG PURINE METABOLISM	2984	GUCY2C
KEGG PURINE METABOLISM	9583	ENTPD4
KEGG PURINE METABOLISM	5315	PKM
KEGG PURINE METABOLISM	2982	GUCY1A1
KEGG PURINE METABOLISM	2987	GUK1
KEGG PURINE METABOLISM	2986	GUCY2F
KEGG PURINE METABOLISM	132	ADK
KEGG PURINE METABOLISM	3704	ITPA
KEGG PURINE METABOLISM	9533	POLR1C
KEGG PURINE METABOLISM	646625	URAD
KEGG PURINE METABOLISM	56655	POLE4
KEGG PURINE METABOLISM	6240	RRM1
KEGG PURINE METABOLISM	661	POLR3D
KEGG PURINE METABOLISM	6241	RRM2
KEGG PURINE METABOLISM	51251	NT5C3A
KEGG PURINE METABOLISM	8622	PDE8B
KEGG PURINE METABOLISM	84265	POLR3GL
KEGG PURINE METABOLISM	4907	NT5E
KEGG PURINE METABOLISM	4882	NPR2
KEGG PURINE METABOLISM	4881	NPR1
KEGG PURINE METABOLISM	10846	PDE10A
KEGG PURINE METABOLISM	955	ENTPD6
KEGG PURINE METABOLISM	954	ENTPD2
KEGG PURINE METABOLISM	957	ENTPD5
KEGG PURINE METABOLISM	956	ENTPD3
KEGG PURINE METABOLISM	11164	NUDT5
KEGG PURINE METABOLISM	953	ENTPD1
KEGG PURINE METABOLISM	5198	PFAS
KEGG PURINE METABOLISM	93034	NT5C1B
KEGG PURINE METABOLISM	353	APRT
KEGG PURINE METABOLISM	221823	PRPS1L1
KEGG PURINE METABOLISM	5471	PPAT
KEGG PURINE METABOLISM	29922	NME7
KEGG PURINE METABOLISM	30833	NT5C
KEGG PURINE METABOLISM	55821	ALLC
KEGG PURINE METABOLISM	30834	ZNRD1
KEGG PYRIMIDINE METABOLISM	22978	NT5C2
KEGG PYRIMIDINE METABOLISM	5436	POLR2G
KEGG PYRIMIDINE METABOLISM	5437	POLR2H
KEGG PYRIMIDINE METABOLISM	5434	POLR2E
KEGG PYRIMIDINE METABOLISM	5435	POLR2F
KEGG PYRIMIDINE METABOLISM	5438	POLR2I
