source	target
KEGG_OXIDATIVE_PHOSPHORYLATION	29796
KEGG_OXIDATIVE_PHOSPHORYLATION	4698
KEGG_OXIDATIVE_PHOSPHORYLATION	4697
KEGG_OXIDATIVE_PHOSPHORYLATION	27068
KEGG_OXIDATIVE_PHOSPHORYLATION	9551
KEGG_OXIDATIVE_PHOSPHORYLATION	374291
KEGG_OXIDATIVE_PHOSPHORYLATION	4519
KEGG_OXIDATIVE_PHOSPHORYLATION	535
KEGG_OXIDATIVE_PHOSPHORYLATION	534
KEGG_OXIDATIVE_PHOSPHORYLATION	533
KEGG_OXIDATIVE_PHOSPHORYLATION	539
KEGG_OXIDATIVE_PHOSPHORYLATION	4513
KEGG_OXIDATIVE_PHOSPHORYLATION	4512
KEGG_OXIDATIVE_PHOSPHORYLATION	537
KEGG_OXIDATIVE_PHOSPHORYLATION	341947
KEGG_OXIDATIVE_PHOSPHORYLATION	4514
KEGG_OXIDATIVE_PHOSPHORYLATION	1329
KEGG_OXIDATIVE_PHOSPHORYLATION	1327
KEGG_OXIDATIVE_PHOSPHORYLATION	50617
KEGG_OXIDATIVE_PHOSPHORYLATION	479
KEGG_OXIDATIVE_PHOSPHORYLATION	4508
KEGG_OXIDATIVE_PHOSPHORYLATION	4509
KEGG_OXIDATIVE_PHOSPHORYLATION	10476
KEGG_OXIDATIVE_PHOSPHORYLATION	4695
KEGG_OXIDATIVE_PHOSPHORYLATION	4696
KEGG_OXIDATIVE_PHOSPHORYLATION	4694
KEGG_OXIDATIVE_PHOSPHORYLATION	27089
KEGG_OXIDATIVE_PHOSPHORYLATION	51606
KEGG_OXIDATIVE_PHOSPHORYLATION	513
KEGG_OXIDATIVE_PHOSPHORYLATION	64077
KEGG_OXIDATIVE_PHOSPHORYLATION	245972
KEGG_OXIDATIVE_PHOSPHORYLATION	9167
KEGG_OXIDATIVE_PHOSPHORYLATION	518
KEGG_OXIDATIVE_PHOSPHORYLATION	245973
KEGG_OXIDATIVE_PHOSPHORYLATION	517
KEGG_OXIDATIVE_PHOSPHORYLATION	516
KEGG_OXIDATIVE_PHOSPHORYLATION	515
KEGG_OXIDATIVE_PHOSPHORYLATION	514
KEGG_OXIDATIVE_PHOSPHORYLATION	9377
KEGG_OXIDATIVE_PHOSPHORYLATION	10312
KEGG_OXIDATIVE_PHOSPHORYLATION	440567
KEGG_OXIDATIVE_PHOSPHORYLATION	496
KEGG_OXIDATIVE_PHOSPHORYLATION	51382
KEGG_OXIDATIVE_PHOSPHORYLATION	495
KEGG_OXIDATIVE_PHOSPHORYLATION	498
KEGG_OXIDATIVE_PHOSPHORYLATION	522
KEGG_OXIDATIVE_PHOSPHORYLATION	521
KEGG_OXIDATIVE_PHOSPHORYLATION	6389
KEGG_OXIDATIVE_PHOSPHORYLATION	523
KEGG_OXIDATIVE_PHOSPHORYLATION	529
KEGG_OXIDATIVE_PHOSPHORYLATION	56901
KEGG_OXIDATIVE_PHOSPHORYLATION	526
KEGG_OXIDATIVE_PHOSPHORYLATION	525
KEGG_OXIDATIVE_PHOSPHORYLATION	528
KEGG_OXIDATIVE_PHOSPHORYLATION	527
KEGG_OXIDATIVE_PHOSPHORYLATION	1352
KEGG_OXIDATIVE_PHOSPHORYLATION	1351
KEGG_OXIDATIVE_PHOSPHORYLATION	1350
KEGG_OXIDATIVE_PHOSPHORYLATION	6392
KEGG_OXIDATIVE_PHOSPHORYLATION	6390
KEGG_OXIDATIVE_PHOSPHORYLATION	6391
KEGG_OXIDATIVE_PHOSPHORYLATION	127124
KEGG_OXIDATIVE_PHOSPHORYLATION	1349
KEGG_OXIDATIVE_PHOSPHORYLATION	1346
KEGG_OXIDATIVE_PHOSPHORYLATION	1347
KEGG_OXIDATIVE_PHOSPHORYLATION	1345
KEGG_OXIDATIVE_PHOSPHORYLATION	10063
KEGG_OXIDATIVE_PHOSPHORYLATION	506
KEGG_OXIDATIVE_PHOSPHORYLATION	1340
