source	target
KEGG_OXIDATIVE_PHOSPHORYLATION	UQCR10
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA5
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA4
KEGG_OXIDATIVE_PHOSPHORYLATION	PPA2
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5MF
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFS7
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-CYB
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V0A1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1G2
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V0B
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5PO
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-CO2
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-CO1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6AP1
KEGG_OXIDATIVE_PHOSPHORYLATION	COX8C
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-CO3
KEGG_OXIDATIVE_PHOSPHORYLATION	COX5B
KEGG_OXIDATIVE_PHOSPHORYLATION	COX4I1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V0A4
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP12A
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ATP6
KEGG_OXIDATIVE_PHOSPHORYLATION	MT-ATP8
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5PD
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA2
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA3
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA1
KEGG_OXIDATIVE_PHOSPHORYLATION	UQCRQ
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1H
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5F1D
KEGG_OXIDATIVE_PHOSPHORYLATION	LHPP
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V0D2
KEGG_OXIDATIVE_PHOSPHORYLATION	COX7A2L
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5MC3
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1C2
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5MC2
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5MC1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5PB
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5F1E
KEGG_OXIDATIVE_PHOSPHORYLATION	COX5A
KEGG_OXIDATIVE_PHOSPHORYLATION	TCIRG1
KEGG_OXIDATIVE_PHOSPHORYLATION	UQCRHL
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP4B
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1D
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP4A
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5F1A
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5PF
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP5ME
KEGG_OXIDATIVE_PHOSPHORYLATION	SDHA
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1A
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1E1
KEGG_OXIDATIVE_PHOSPHORYLATION	NDUFA4L2
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1B2
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1B1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1C1
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V0C
KEGG_OXIDATIVE_PHOSPHORYLATION	COX10
KEGG_OXIDATIVE_PHOSPHORYLATION	COX8A
KEGG_OXIDATIVE_PHOSPHORYLATION	COX7C
KEGG_OXIDATIVE_PHOSPHORYLATION	SDHD
KEGG_OXIDATIVE_PHOSPHORYLATION	SDHB
KEGG_OXIDATIVE_PHOSPHORYLATION	SDHC
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP6V1G3
KEGG_OXIDATIVE_PHOSPHORYLATION	COX7B
KEGG_OXIDATIVE_PHOSPHORYLATION	COX7A1
KEGG_OXIDATIVE_PHOSPHORYLATION	COX7A2
KEGG_OXIDATIVE_PHOSPHORYLATION	COX6C
