ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GOterm
REACTOME_DEATH_RECEPTOR_SIGNALLING	REACTOME_DEATH_RECEPTOR_SIGNALLING	113/1559	141/12465	2.17262210186605e-76	3.60438006699578e-73	1.80441982986559e-73	26574/29/6868/11214/51107/83464/396/9138/9826/23365/27237/9828/23370/128272/9181/26084/50650/50649/7984/9459/8874/23229/572/9530/10018/27018/329/330/843/835/836/841/8837/25999/1540/1894/8772/355/356/2245/221472/89846/121512/10672/3065/3066/8841/3551/8517/3654/23421/6453/8997/8567/4099/9500/6885/5599/4168/23263/4615/23385/10276/4790/4792/25791/4803/4804/8439/84033/64857/57449/57580/5584/5663/5664/55851/10399/5924/10616/5970/387/8737/8767/6233/57142/81858/6654/6655/8878/8887/7074/26230/7124/7128/8797/8795/8793/7132/8743/8717/7185/7186/7189/7204/7311/7314/7316/7409/7410/10451/331/7531	113	ann_GO0006915.txt.txt
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	170/1559	325/12465	1.33137442559892e-69	1.1043750860343e-66	5.52870748314499e-67	25/207/208/324/26060/367/369/9915/8312/572/581/596/598/637/329/330/332/650/652/673/675/836/841/842/867/998/1019/1026/1027/1029/1387/1399/1436/1495/1499/8453/54205/1612/23604/1613/1630/1869/1870/1871/1956/112398/112399/2033/8772/355/356/2255/26281/26291/2249/2253/2260/2263/2261/2322/2323/2308/7976/7855/8326/2736/2737/2932/2950/3065/3066/3082/64399/3091/3265/3326/7184/3479/3480/3551/8517/3569/3655/3685/3688/3725/4254/3845/51176/5594/5595/5599/5601/4149/4193/2122/4292/4318/4436/2956/2475/4609/4790/4792/4824/4914/7849/5159/8554/51588/5290/5291/5293/5294/5295/5335/5371/5467/5468/5578/5579/5582/5728/5743/5747/5894/5899/5914/5915/83593/5925/5970/5979/387/6469/6502/4088/6608/6654/6655/6688/6772/6774/6777/6789/6934/7040/7042/7043/7046/7048/7157/7185/7186/7187/9618/7188/7189/7422/7428/7471/7480/7481/89780/54361/7474/7476/7483/331/7704	170	ann_GO0006915.txt.txt
Apoptosis Modulation and Signaling%WikiPathways_20190910%WP1772%Homo sapiens	Apoptosis Modulation and Signaling%WikiPathways_20190910%WP1772%Homo sapiens	82/1559	94/12465	1.4663358766343e-61	8.10883739778769e-59	4.05943511110338e-59	9131/84883/317/572/9531/578/581/27113/596/597/598/10017/10018/599/637/638/329/330/332/57448/79444/90427/664/666/834/843/835/836/837/839/840/841/842/1029/8837/8738/54205/1616/1676/1677/56616/2021/8772/355/356/8739/3303/27429/3551/3654/3725/8567/4217/5595/5599/4170/4615/4671/4790/4792/8682/55367/5366/5587/51651/8737/5414/8797/8795/8794/8793/4982/7132/7133/8718/8771/8743/7157/8717/7187/7189/331	82	ann_GO0006915.txt.txt
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	82/1559	97/12465	3.26095515803112e-59	1.35248115179341e-56	6.77077268338567e-57	26574/29/6868/11214/51107/83464/396/9138/9826/23365/27237/9828/23370/128272/9181/26084/50650/50649/7984/9459/8874/23229/572/10018/27018/835/836/1894/2245/221472/89846/121512/10672/3065/3066/8841/3551/3654/23421/6453/8997/4099/9500/5599/4168/23263/4615/23385/10276/4790/4792/25791/4803/4804/84033/64857/57449/57580/5584/5663/5664/55851/5924/5970/387/8767/6233/57142/6654/6655/8878/7074/26230/7189/7204/7311/7314/7316/7409/7410/10451/7531	82	ann_GO0006915.txt.txt
Apoptosis%WikiPathways_20190910%WP254%Homo sapiens	Apoptosis%WikiPathways_20190910%WP254%Homo sapiens	73/1559	86/12465	4.66568048127916e-53	1.54807278368843e-50	7.74994084153528e-51	207/317/572/578/581/27113/596/598/10018/599/637/329/330/332/665/666/834/843/835/836/837/839/840/841/842/1029/8837/8738/54205/1676/1677/56616/8772/355/356/3002/8739/3479/3480/3551/8517/3659/3661/3663/3665/3725/4049/6416/4170/4193/4609/4790/4792/5295/5366/5551/5970/8737/7124/8795/7132/7133/27242/8718/8743/7157/8626/7161/8717/7185/7186/7187/331	73	ann_GO0006915.txt.txt
REACTOME_PROGRAMMED_CELL_DEATH	REACTOME_PROGRAMMED_CELL_DEATH	108/1559	178/12465	7.43395312052132e-53	2.05548803782414e-50	1.02901561615637e-50	22985/207/208/317/324/51074/26060/79658/57099/572/578/581/27113/10134/596/598/10018/637/329/330/90427/660/22900/836/839/840/841/842/929/8837/1499/54205/1612/23604/1613/1630/1676/1677/56616/10059/8655/1869/8772/355/356/2620/2934/3002/3146/3148/3836/3837/4000/23643/9500/5594/5595/5599/4137/4836/115209/4976/5062/5366/23368/5533/5534/5580/5588/5716/10197/5747/8737/11035/6093/6233/5414/2810/6774/8428/51765/7027/7029/148022/353376/7099/8797/8795/8743/7157/7159/8626/7161/8717/7186/55075/7311/7314/7316/90249/219699/331/7529/7531/7532/7533/10971/7534	108	ann_GO0006915.txt.txt
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	66/1559	76/12465	2.05231442706848e-49	4.86398519215229e-47	2.43500162850681e-47	26574/29/11214/51107/83464/9138/9826/23365/27237/9828/23370/128272/9181/26084/50650/50649/7984/9459/8874/23229/572/10018/27018/835/836/1894/2245/221472/89846/121512/10672/23421/6453/8997/9500/5599/4168/23263/23385/10276/25791/4803/4804/84033/64857/57449/57580/5663/5664/55851/5924/6233/6654/6655/8878/7074/26230/7189/7204/7311/7314/7316/7409/7410/10451/7531	66	ann_GO0006915.txt.txt
Hepatitis B infection%WikiPathways_20190910%WP4666%Homo sapiens	Hepatitis B infection%WikiPathways_20190910%WP4666%Homo sapiens	91/1559	154/12465	2.88334675508425e-43	5.97934033335596e-41	2.99336919705457e-41	207/208/317/369/1386/468/572/581/596/637/332/673/843/100506742/836/841/842/1026/1385/10488/90993/1387/54205/1642/1654/1960/2033/8772/355/356/3265/3440/3456/3551/9641/8517/3569/3654/3661/3665/3717/3718/3725/3845/6416/5608/5609/6885/5594/1432/5595/5599/5601/4318/4609/4615/4776/4790/5290/5291/5293/5295/5578/5579/5582/2185/5894/5970/4088/6654/6655/6714/6772/6774/6777/7040/7042/7043/7046/7048/148022/353376/7097/7098/7099/7124/7187/7189/7529/10971/7534	91	ann_GO0006915.txt.txt
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	49/1559	51/12465	2.92273969519359e-42	5.38758350480685e-40	2.69712470117864e-40	207/208/317/51074/57099/572/578/581/27113/596/598/10018/637/90427/22900/836/840/841/842/54205/56616/8655/1869/3002/5594/5595/5599/4836/5366/23368/5533/5534/5414/2810/6774/7027/7029/7157/7159/8626/7161/55075/331/7529/7531/7532/7533/10971/7534	49	ann_GO0006915.txt.txt
VEGFA-VEGFR2 Signaling Pathway%WikiPathways_20190910%WP3888%Homo sapiens	VEGFA-VEGFR2 Signaling Pathway%WikiPathways_20190910%WP3888%Homo sapiens	114/1559	238/12465	1.14772270666654e-41	1.90407197035979e-39	9.53213911115686e-40	57007/207/84335/301/382/409/1386/468/22926/9564/596/598/274/27302/824/857/867/6347/1490/998/1072/1385/1495/1499/22943/1958/1960/9451/2081/2152/8772/11124/355/2243/2244/2266/2274/2308/2309/10818/2534/2697/2932/3065/9759/9709/3265/3303/3315/3383/83737/3685/3688/3725/3791/6416/5608/5609/4217/5594/1432/5595/5599/5601/4208/2475/653361/4690/10397/4790/4792/4846/4929/8013/5058/5062/5170/5290/5295/5329/5335/5562/5563/5578/5579/5580/5581/5584/5590/5587/5743/5747/2185/5770/5777/5803/10399/5894/5970/387/6093/6194/6198/6461/6464/6648/6714/6772/6774/8794/10628/7410/7422/7531	114	ann_GO0006915.txt.txt
