source	target
GO:0006954	4363
GO:0006954	215
GO:0006954	225
GO:0006954	23
GO:0006954	26090
GO:0006954	29
GO:0006954	59272
GO:0006954	55331
GO:0006954	2532
GO:0006954	1238
GO:0006954	730249
GO:0006954	54
GO:0006954	90
GO:0006954	100
GO:0006954	101
GO:0006954	81792
GO:0006954	107
GO:0006954	113
GO:0006954	114
GO:0006954	116
GO:0006954	30817
GO:0006954	9370
GO:0006954	133
GO:0006954	134
GO:0006954	135
GO:0006954	136
GO:0006954	140
GO:0006954	84632
GO:0006954	177
GO:0006954	183
GO:0006954	185
GO:0006954	186
GO:0006954	191
GO:0006954	197
GO:0006954	199
GO:0006954	9447
GO:0006954	9255
GO:0006954	80709
GO:0006954	207
GO:0006954	246
GO:0006954	240
GO:0006954	196527
GO:0006954	301
GO:0006954	8639
GO:0006954	325
GO:0006954	335
GO:0006954	336
GO:0006954	347
GO:0006954	348
GO:0006954	23780
GO:0006954	80833
GO:0006954	351
GO:0006954	26060
GO:0006954	55198
GO:0006954	55870
GO:0006954	445
GO:0006954	472
GO:0006954	8455
GO:0006954	558
GO:0006954	566
GO:0006954	2683
GO:0006954	25825
GO:0006954	8314
GO:0006954	604
GO:0006954	613
GO:0006954	623
GO:0006954	624
GO:0006954	329
GO:0006954	330
GO:0006954	29760
GO:0006954	650
GO:0006954	654
GO:0006954	658
GO:0006954	23476
GO:0006954	683
GO:0006954	695
GO:0006954	712
GO:0006954	388581
GO:0006954	114899
GO:0006954	145741
GO:0006954	388125
GO:0006954	718
GO:0006954	719
GO:0006954	720
GO:0006954	110384692
GO:0006954	721
GO:0006954	727
GO:0006954	728
GO:0006954	27202
GO:0006954	90355
GO:0006954	10203
GO:0006954	57118
GO:0006954	814
GO:0006954	59082
GO:0006954	837
GO:0006954	6346
GO:0006954	6356
GO:0006954	6357
GO:0006954	6358
GO:0006954	6359
GO:0006954	NA
GO:0006954	6360
GO:0006954	6361
GO:0006954	6362
GO:0006954	6363
GO:0006954	6347
GO:0006954	6364
GO:0006954	6366
GO:0006954	6367
GO:0006954	6368
GO:0006954	6369
GO:0006954	6370
GO:0006954	10344
GO:0006954	6348
GO:0006954	414062
GO:0006954	6349
GO:0006954	6351
GO:0006954	6352
GO:0006954	6354
GO:0006954	6355
GO:0006954	4856
GO:0006954	1230
GO:0006954	729230
GO:0006954	1232
GO:0006954	1233
GO:0006954	1234
GO:0006954	1235
GO:0006954	1236
GO:0006954	9034
GO:0006954	929
GO:0006954	9332
GO:0006954	4064
GO:0006954	4345
GO:0006954	131450
GO:0006954	344807
GO:0006954	940
GO:0006954	948
GO:0006954	958
GO:0006954	959
GO:0006954	960
GO:0006954	961
GO:0006954	922
GO:0006954	923
GO:0006954	968
GO:0006954	975
GO:0006954	10225
GO:0006954	1003
GO:0006954	23097
GO:0006954	1036
GO:0006954	1050
GO:0006954	1051
GO:0006954	1990
GO:0006954	1116
GO:0006954	27159
GO:0006954	66005
GO:0006954	8534
GO:0006954	9435
GO:0006954	10164
GO:0006954	1147
GO:0006954	4261
GO:0006954	64581
GO:0006954	9575
GO:0006954	1191
GO:0006954	1215
GO:0006954	1240
GO:0006954	1268
GO:0006954	1269
GO:0006954	1270
GO:0006954	84699
GO:0006954	1392
GO:0006954	1393
GO:0006954	1401
GO:0006954	1435
GO:0006954	1436
GO:0006954	8048
GO:0006954	8530
GO:0006954	56998
GO:0006954	1075
GO:0006954	79004
GO:0006954	6376
GO:0006954	2919
GO:0006954	3627
GO:0006954	6373
GO:0006954	10563
GO:0006954	284340
GO:0006954	2920
GO:0006954	2921
GO:0006954	6374
GO:0006954	6372
GO:0006954	3576
GO:0006954	4283
GO:0006954	3579
GO:0006954	2833
GO:0006954	7852
GO:0006954	10663
GO:0006954	1535
GO:0006954	1536
GO:0006954	1540
GO:0006954	1588
GO:0006954	56603
GO:0006954	57834
GO:0006954	10800
GO:0006954	153090
GO:0006954	100037417
GO:0006954	1652
GO:0006954	245928
GO:0006954	1660
GO:0006954	1773
GO:0006954	1776
GO:0006954	29102
GO:0006954	90527
GO:0006954	405753
GO:0006954	11221
GO:0006954	1893
GO:0006954	1910
GO:0006954	1956
GO:0006954	27102
GO:0006954	1991
GO:0006954	1999
GO:0006954	5169
GO:0006954	1969
GO:0006954	2053
GO:0006954	2056
GO:0006954	2099
GO:0006954	2113
GO:0006954	50848
GO:0006954	2161
GO:0006954	2147
GO:0006954	2149
GO:0006954	2150
GO:0006954	2152
GO:0006954	2157
GO:0006954	2167
GO:0006954	2175
GO:0006954	2177
GO:0006954	2207
GO:0006954	2213
GO:0006954	55527
GO:0006954	2867
GO:0006954	2865
GO:0006954	338557
GO:0006954	2335
GO:0006954	64838
GO:0006954	2350
GO:0006954	2353
GO:0006954	2294
GO:0006954	27086
GO:0006954	50943
GO:0006954	2357
GO:0006954	2358
GO:0006954	2359
GO:0006954	51083
GO:0006954	2625
GO:0006954	2629
GO:0006954	115362
GO:0006954	2678
GO:0006954	728441
GO:0006954	NA
GO:0006954	2687
GO:0006954	51738
GO:0006954	2693
GO:0006954	2697
GO:0006954	2852
GO:0006954	2840
GO:0006954	2854
GO:0006954	NA
