source	target
GO:0034599	PRKCD
GO:0034599	BMP7
GO:0034599	TNFAIP3
GO:0034599	CDK1
GO:0034599	MGAT3
GO:0034599	MAPKAP1
GO:0034599	ZNF622
GO:0034599	ROMO1
GO:0034599	FOXO1
GO:0034599	FBXW7
GO:0034599	RPS3
GO:0034599	NET1
GO:0034599	CPEB2
GO:0034599	PPARGC1A
GO:0034599	HDAC6
GO:0034599	HSF1
GO:0034599	LONP1
GO:0034599	SETX
GO:0034599	NR4A3
GO:0034599	TSC1
GO:0034599	CBX8
GO:0034599	EIF2S1
GO:0034599	MPO
GO:0034599	NOX4
GO:0034599	PRR5L
GO:0034599	STK26
GO:0034599	ARG1
GO:0034599	BNIP3
GO:0034599	TMEM161A
GO:0034599	ANKRD2
GO:0034599	CYBA
GO:0034599	PDCD10
GO:0034599	IMPACT
GO:0034599	GUCY1B1
GO:0034599	SMPD3
GO:0034599	MDM2
GO:0034599	ABCD1
GO:0034599	MAPK9
GO:0034599	MAPK8
GO:0034599	KEAP1
GO:0034599	GPR37L1
GO:0034599	HNRNPD
GO:0034599	FZD1
GO:0034599	AKT1
GO:0034599	MGST1
GO:0034599	DAPK1
GO:0034599	ATP2A2
GO:0034599	NCF2
GO:0034599	GATA4
GO:0034599	INS
GO:0034599	PNPT1
GO:0034599	FBXO7
GO:0034599	GPX2
GO:0034599	LRRK2
GO:0034599	MAPK1
GO:0034599	VKORC1L1
GO:0034599	PENK
GO:0034599	NR4A2
GO:0034599	ALDH3B1
GO:0034599	RAD52
GO:0034599	HDAC2
GO:0034599	PARK7
GO:0034599	OXR1
GO:0034599	SFPQ
GO:0034599	FANCC
GO:0034599	NME8
GO:0034599	FOS
GO:0034599	EPAS1
GO:0034599	FER
GO:0034599	SIGMAR1
GO:0034599	PPARGC1B
GO:0034599	PTPRK
GO:0034599	GPX8
GO:0034599	NONO
GO:0034599	CHD6
GO:0034599	NCF4
GO:0034599	ETS1
GO:0034599	PAX2
GO:0034599	MMP9
GO:0034599	MET
GO:0034599	SESN2
GO:0034599	PRKN
GO:0034599	CDK2
GO:0034599	SLC25A24
GO:0034599	SRXN1
GO:0034599	RGN
GO:0034599	FYN
GO:0034599	PPP5C
GO:0034599	STK25
GO:0034599	DPEP1
GO:0034599	RACK1
GO:0034599	TP53
GO:0034599	WNT1
GO:0034599	ETV5
GO:0034599	BRF2
GO:0034599	RBM11
GO:0034599	PPIF
GO:0034599	CFLAR
GO:0034599	ANXA1
GO:0034599	ARNTL
GO:0034599	PDGFRA
GO:0034599	CYBB
GO:0034599	LCN2
GO:0034599	SIRT2
GO:0034599	MMP2
GO:0034599	MMP3
GO:0034599	VRK2
GO:0034599	SOD3
GO:0034599	MTR
GO:0034599	PRDX1
GO:0034599	NOX1
GO:0034599	ATF4
GO:0034599	TLR4
GO:0034599	GSKIP
GO:0034599	NME5
GO:0034599	SOD2
GO:0034599	HGF
GO:0034599	CAMKK2
GO:0034599	MAPK13
GO:0034599	PDGFD
GO:0034599	MAPK7
GO:0034599	OSER1
GO:0034599	PRKAA1
GO:0034599	REST
GO:0034599	AQP1
GO:0034599	TPM1
GO:0034599	JAK2
GO:0034599	PDE8A
GO:0034599	AGAP3
GO:0034599	ANKZF1
GO:0034599	GSTP1
GO:0034599	ECT2
GO:0034599	PAGE4
GO:0034599	CHUK
GO:0034599	SRC
GO:0034599	PLA2R1
GO:0034599	SIN3A
GO:0034599	HMOX1
GO:0034599	GPR37
GO:0034599	GPX7
GO:0034599	DHRS2
GO:0034599	CAT
GO:0034599	CCS
GO:0034599	FUT8
GO:0034599	PKD2
GO:0034599	RIPK1
GO:0034599	FANCD2
GO:0034599	SIRPA
GO:0034599	NCF1
GO:0034599	PINK1
GO:0034599	PARP1
GO:0034599	ERCC6L2
GO:0034599	PCGF2
GO:0034599	CTNNB1
GO:0034599	MCL1
GO:0034599	NUDT2
GO:0034599	DNM2
GO:0034599	TRAF2
GO:0034599	TRAP1
GO:0034599	PRDX3
GO:0034599	PRDX5
GO:0034599	PRDX6
GO:0034599	ADNP2
GO:0034599	TRPC6
GO:0034599	AXL
GO:0034599	ATG7
GO:0034599	BAG5
GO:0034599	CCNA2
GO:0034599	NQO1
GO:0034599	RELA
GO:0034599	PRDX2
GO:0034599	NFE2L2
GO:0034599	STAU1
GO:0034599	AKR1C3
GO:0034599	BCL2
GO:0034599	SIRT1
GO:0034599	GCH1
GO:0034599	MYB
GO:0034599	HSPA1B
GO:0034599	MSRA
GO:0034599	DHFR
GO:0034599	MEAK7
GO:0034599	ARNT
GO:0034599	TXN
GO:0034599	AIFM1
GO:0034599	STK24
GO:0034599	CRYGD
GO:0034599	MAPK3
GO:0034599	RIPK3
GO:0034599	ATP7A
GO:0034599	ADPRHL2
GO:0034599	RHOB
GO:0034599	STAT6
GO:0034599	VNN1
GO:0034599	CYCS
GO:0034599	MELK
GO:0034599	ZC3H12A
GO:0034599	PSAP
GO:0034599	JUN
GO:0034599	ERO1A
GO:0034599	ZNF580
GO:0034599	FBLN5
GO:0034599	WNT16
GO:0034599	IL18RAP
GO:0034599	NFE2L1
GO:0034599	MT3
GO:0034599	BECN1
GO:0034599	IL6
GO:0034599	NOS3
GO:0034599	PRKAA2
GO:0034599	AIF1
GO:0034599	PLEKHA1
GO:0034599	KCNC2
GO:0034599	KDM6B
GO:0034599	NOX5
GO:0034599	PYROXD1
GO:0034599	TNF
GO:0034599	MAP3K5
GO:0034599	G6PD
GO:0034599	APOA4
GO:0034599	EZH2
GO:0034599	SELENON
GO:0034599	RNF112
GO:0034599	CRK
GO:0034599	NOL3
GO:0034599	GPX3
GO:0034599	GJB2
GO:0034599	IL10
GO:0034599	GPX5
GO:0034599	SLC7A11
GO:0034599	SZT2
GO:0034599	KLF2
GO:0034599	CD36
GO:0034599	GLRX2
GO:0034599	ZNF277
GO:0034599	ENDOG
GO:0034599	DIABLO
GO:0034599	LANCL1
GO:0034599	FXN
GO:0034599	MPV17
GO:0034599	PCNA
GO:0034599	FOXO3
GO:0034599	TP53INP1
GO:0034599	TLR6
GO:0034599	SOD1
GO:0034599	GSR
GO:0034599	FABP1
GO:0034599	PYCR2
GO:0034599	SNCA
GO:0034599	MAPT
GO:0034599	NCOA7
GO:0034599	ARL6IP5
GO:0034599	MAP1LC3A
GO:0034599	RWDD1
GO:0034599	TBC1D24
GO:0034599	HSPA1A
GO:0034599	PAWR
GO:0034599	TXNRD2
GO:0034599	CYP1B1
GO:0034599	HIF1A
GO:0034599	HTRA2
GO:0034599	NME2
GO:0034599	KLF4
GO:0034599	SELENOS
GO:0034599	TREX1
GO:0034599	PML
GO:0034599	PXN
GO:0034599	EGFR
GO:0034599	ABL1
GO:0034599	P4HB
GO:0034599	GPX1
GO:0034599	UCP1
GO:0034599	UBQLN1
GO:0034599	TXNRD1
GO:0034599	ATP13A2
GO:0034599	PRODH
GO:0034599	PRKRA
GO:0034599	BTK
GO:0034599	APEX1
GO:0034599	PYCR1
GO:0034599	PRKD1
GO:0034599	PDK2
GO:0034599	PDK1
GO:0034599	TRPM2
GO:0034599	HSPB1
