id	type
GO:0006915	Process
GO:0006954	Process
GO:0006974	Process
GO:0034599	Process
GNRH1	Gene
NDUFS1	Gene
NGF	Gene
TGFB1	Gene
EYA1	Gene
CD27	Gene
STK17A	Gene
DNASE2B	Gene
RFFL	Gene
KRAS	Gene
HRAS	Gene
LOX	Gene
MYC	Gene
PRKCD	Gene
EEF1A2	Gene
CHCHD10	Gene
BCL2L2	Gene
KIFAP3	Gene
GHSR	Gene
P2RX7	Gene
TSC22D3	Gene
MSH2	Gene
DHCR24	Gene
MNT	Gene
TOP2A	Gene
CSRNP3	Gene
APBB2	Gene
TRAF6	Gene
FGFR1	Gene
ARHGEF1	Gene
ARF4	Gene
HYOU1	Gene
BMP7	Gene
ERCC2	Gene
ALOX12	Gene
ING5	Gene
PIM1	Gene
PTPN1	Gene
FLNA	Gene
ADIPOQ	Gene
NF1	Gene
UBE2V2	Gene
ITSN1	Gene
PPP2R2B	Gene
ARHGEF3	Gene
KITLG	Gene
TNFAIP3	Gene
CTNNBL1	Gene
GDF1	Gene
M0QZQ0	Gene
CNR1	Gene
UFL1	Gene
EMC4	Gene
MAGI3	Gene
PIK3CG	Gene
IL7R	Gene
CDK1	Gene
MYCNOS	Gene
MSX2	Gene
HYAL2	Gene
IKBKB	Gene
BRAF	Gene
GRIN2A	Gene
UBE2Z	Gene
ATG3	Gene
MERTK	Gene
WNT9A	Gene
MAP3K12	Gene
STX4	Gene
NEK6	Gene
POU4F2	Gene
BCL7B	Gene
SERPINB9	Gene
HMGB1	Gene
AKAP13	Gene
RELT	Gene
MAPK8IP1	Gene
PF4	Gene
LTF	Gene
TMBIM1	Gene
ZDHHC16	Gene
PSMG2	Gene
CEACAM6	Gene
TOX3	Gene
IL6ST	Gene
CAAP1	Gene
ZNF622	Gene
ID3	Gene
IFIT3	Gene
PIGT	Gene
AIM2	Gene
DRD3	Gene
CD44	Gene
NQO2	Gene
RNF34	Gene
KCNMA1	Gene
RASGRF2	Gene
FOXO1	Gene
ARHGEF5	Gene
MYDGF	Gene
FBXW7	Gene
RFK	Gene
LHX4	Gene
FATE1	Gene
TSLP	Gene
Mar/07	Gene
SOX8	Gene
FOXA1	Gene
RPS6KB1	Gene
IER3	Gene
FGD2	Gene
SH3RF1	Gene
RABGGTA	Gene
SRPX	Gene
DAP	Gene
DAP3	Gene
NAE1	Gene
IRF5	Gene
MTRNR2L10	Gene
SNW1	Gene
ADARB1	Gene
CARD11	Gene
SLC5A8	Gene
STK17B	Gene
CLEC7A	Gene
DRAM1	Gene
PLEKHN1	Gene
NGEF	Gene
ALDH1A2	Gene
BCAR1	Gene
INHBA	Gene
BCL6	Gene
BMP8A	Gene
TNFRSF8	Gene
CD38	Gene
CDKN2D	Gene
ANGPTL4	Gene
ADAR	Gene
RPS3	Gene
NET1	Gene
CASP6	Gene
CASP9	Gene
CASP7	Gene
PPARGC1A	Gene
INHBE	Gene
UBC	Gene
PRAMEF9	Gene
ZFP36L1	Gene
HSF1	Gene
USP17L22	Gene
PLEKHG5	Gene
ETV6	Gene
PIDD1	Gene
STPG1	Gene
TGM2	Gene
MAP3K9	Gene
PTTG1IP	Gene
PIAS4	Gene
SLC35F6	Gene
