pathway	entrezgene	hgnc_symbol
KEGG RNA DEGRADATION	10200	MPHOSPH6
KEGG RNA DEGRADATION	23517	MTREX
KEGG RNA DEGRADATION	219988	PATL1
KEGG RNA DEGRADATION	54512	EXOSC4
KEGG RNA DEGRADATION	87178	PNPT1
KEGG RNA DEGRADATION	23404	EXOSC2
KEGG RNA DEGRADATION	6499	SKIV2L
KEGG RNA DEGRADATION	22803	XRN2
KEGG RNA DEGRADATION	56915	EXOSC5
KEGG RNA DEGRADATION	9652	TTC37
KEGG RNA DEGRADATION	11157	LSM6
KEGG RNA DEGRADATION	51010	EXOSC3
KEGG RNA DEGRADATION	51013	EXOSC1
KEGG RNA DEGRADATION	23644	EDC4
KEGG RNA DEGRADATION	4849	CNOT3
KEGG RNA DEGRADATION	4848	CNOT2
KEGG RNA DEGRADATION	54464	XRN1
KEGG RNA DEGRADATION	5073	PARN
KEGG RNA DEGRADATION	10438	C1D
KEGG RNA DEGRADATION	10914	PAPOLA
KEGG RNA DEGRADATION	1656	DDX6
KEGG RNA DEGRADATION	55802	DCP1A
KEGG RNA DEGRADATION	84186	ZCCHC7
KEGG RNA DEGRADATION	2023	ENO1
KEGG RNA DEGRADATION	4850	CNOT4
KEGG RNA DEGRADATION	29883	CNOT7
KEGG RNA DEGRADATION	11044	TENT4A
KEGG RNA DEGRADATION	11340	EXOSC8
KEGG RNA DEGRADATION	3313	HSPA9
KEGG RNA DEGRADATION	27257	LSM1
KEGG RNA DEGRADATION	246175	CNOT6L
KEGG RNA DEGRADATION	118460	EXOSC6
KEGG RNA DEGRADATION	51690	LSM7
KEGG RNA DEGRADATION	51691	LSM8
KEGG RNA DEGRADATION	9125	CNOT9
KEGG RNA DEGRADATION	25804	
KEGG RNA DEGRADATION	23019	CNOT1
KEGG RNA DEGRADATION	25904	CNOT10
KEGG RNA DEGRADATION	23016	EXOSC7
KEGG RNA DEGRADATION	27258	LSM3
KEGG RNA DEGRADATION	22894	DIS3
KEGG RNA DEGRADATION	2027	ENO3
KEGG RNA DEGRADATION	2026	ENO2
KEGG RNA DEGRADATION	57472	CNOT6
KEGG RNA DEGRADATION	57819	LSM2
KEGG RNA DEGRADATION	167227	DCP2
KEGG RNA DEGRADATION	3329	HSPD1
KEGG RNA DEGRADATION	5393	EXOSC9
KEGG RNA DEGRADATION	5394	EXOSC10
KEGG RNA DEGRADATION	80153	EDC3
KEGG RNA DEGRADATION	28960	DCPS
KEGG RNA DEGRADATION	56903	PAPOLB
KEGG RNA DEGRADATION	196513	DCP1B
KEGG RNA DEGRADATION	80349	WDR61
KEGG RNA DEGRADATION	9337	CNOT8
KEGG RNA DEGRADATION	64895	PAPOLG
KEGG DNA REPLICATION	1763	DNA2
KEGG DNA REPLICATION	56655	POLE4
KEGG DNA REPLICATION	54107	POLE3
KEGG DNA REPLICATION	5557	PRIM1
KEGG DNA REPLICATION	5558	PRIM2
KEGG DNA REPLICATION	57804	POLD4
KEGG DNA REPLICATION	5984	RFC4
KEGG DNA REPLICATION	5985	RFC5
KEGG DNA REPLICATION	6117	RPA1
KEGG DNA REPLICATION	5422	POLA1
KEGG DNA REPLICATION	6119	RPA3
KEGG DNA REPLICATION	10714	POLD3
KEGG DNA REPLICATION	79621	RNASEH2B
KEGG DNA REPLICATION	6118	RPA2
KEGG DNA REPLICATION	5111	PCNA
KEGG DNA REPLICATION	29935	RPA4
KEGG DNA REPLICATION	246243	RNASEH1
KEGG DNA REPLICATION	84153	RNASEH2C
KEGG DNA REPLICATION	4173	MCM4
KEGG DNA REPLICATION	5427	POLE2
KEGG DNA REPLICATION	4172	MCM3
KEGG DNA REPLICATION	4175	MCM6
KEGG DNA REPLICATION	4174	MCM5
KEGG DNA REPLICATION	23649	POLA2
KEGG DNA REPLICATION	4176	MCM7
KEGG DNA REPLICATION	5424	POLD1
KEGG DNA REPLICATION	5425	POLD2
KEGG DNA REPLICATION	10535	RNASEH2A
KEGG DNA REPLICATION	5426	POLE
KEGG DNA REPLICATION	5981	RFC1
KEGG DNA REPLICATION	5983	RFC3
KEGG DNA REPLICATION	5982	RFC2
KEGG DNA REPLICATION	4171	MCM2
KEGG DNA REPLICATION	2237	FEN1
KEGG DNA REPLICATION	3978	LIG1
KEGG DNA REPLICATION	6742	SSBP1
KEGG MISMATCH REPAIR	27030	MLH3
KEGG MISMATCH REPAIR	5424	POLD1
KEGG MISMATCH REPAIR	4292	MLH1
KEGG MISMATCH REPAIR	5425	POLD2
KEGG MISMATCH REPAIR	5981	RFC1
KEGG MISMATCH REPAIR	4436	MSH2
KEGG MISMATCH REPAIR	5983	RFC3
KEGG MISMATCH REPAIR	5982	RFC2
KEGG MISMATCH REPAIR	4437	MSH3
KEGG MISMATCH REPAIR	57804	POLD4
KEGG MISMATCH REPAIR	5395	PMS2
KEGG MISMATCH REPAIR	5984	RFC4
KEGG MISMATCH REPAIR	3978	LIG1
KEGG MISMATCH REPAIR	5985	RFC5
KEGG MISMATCH REPAIR	6117	RPA1
KEGG MISMATCH REPAIR	2956	MSH6
KEGG MISMATCH REPAIR	6119	RPA3
KEGG MISMATCH REPAIR	10714	POLD3
KEGG MISMATCH REPAIR	6118	RPA2
KEGG MISMATCH REPAIR	5111	PCNA
KEGG MISMATCH REPAIR	6742	SSBP1
KEGG MISMATCH REPAIR	29935	RPA4
KEGG MISMATCH REPAIR	9156	EXO1
KEGG HOMOLOGOUS RECOMBINATION	8438	RAD54L
KEGG HOMOLOGOUS RECOMBINATION	7517	XRCC3
KEGG HOMOLOGOUS RECOMBINATION	5890	RAD51B
KEGG HOMOLOGOUS RECOMBINATION	4683	NBN
KEGG HOMOLOGOUS RECOMBINATION	5893	RAD52
KEGG HOMOLOGOUS RECOMBINATION	5892	RAD51D
KEGG HOMOLOGOUS RECOMBINATION	7516	XRCC2
KEGG HOMOLOGOUS RECOMBINATION	57804	POLD4
KEGG HOMOLOGOUS RECOMBINATION	641	BLM
KEGG HOMOLOGOUS RECOMBINATION	146956	EME1
KEGG HOMOLOGOUS RECOMBINATION	6117	RPA1
KEGG HOMOLOGOUS RECOMBINATION	5888	RAD51
KEGG HOMOLOGOUS RECOMBINATION	10714	POLD3
KEGG HOMOLOGOUS RECOMBINATION	10111	RAD50
KEGG HOMOLOGOUS RECOMBINATION	6119	RPA3
KEGG HOMOLOGOUS RECOMBINATION	6118	RPA2
KEGG HOMOLOGOUS RECOMBINATION	29935	RPA4
KEGG HOMOLOGOUS RECOMBINATION	5889	RAD51C
KEGG HOMOLOGOUS RECOMBINATION	4361	MRE11
KEGG HOMOLOGOUS RECOMBINATION	675	BRCA2
KEGG HOMOLOGOUS RECOMBINATION	5424	POLD1
KEGG HOMOLOGOUS RECOMBINATION	5425	POLD2
KEGG HOMOLOGOUS RECOMBINATION	80198	MUS81
KEGG HOMOLOGOUS RECOMBINATION	7156	TOP3A
KEGG HOMOLOGOUS RECOMBINATION	25788	FSBP
KEGG HOMOLOGOUS RECOMBINATION	7979	SEM1
KEGG HOMOLOGOUS RECOMBINATION	8940	TOP3B
KEGG HOMOLOGOUS RECOMBINATION	6742	SSBP1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10344	CCL26
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8741	TNFSF13
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3082	HGF
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6349	CCL3L1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8742	TNFSF12
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	943	TNFRSF8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8743	TNFSF10
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6347	CCL2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	944	TNFSF8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8744	TNFSF9
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6348	CCL3
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8740	TNFSF14
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50615	IL21R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6352	CCL5
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6351	CCL4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6357	CCL13
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55540	IL17RB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6356	CCL11
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6355	CCL8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6354	CCL7
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	608	TNFRSF17
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8600	TNFSF11
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	51561	IL23A
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1489	CTF1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2321	FLT1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6358	CCL14
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2322	FLT3
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6359	CCL15
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2323	FLT3LG
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2324	FLT4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50616	IL22
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	939	CD27
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6362	CCL18
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6361	CCL17
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6364	CCL20
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6363	CCL19
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6366	CCL21
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6368	CCL23
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6367	CCL22
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7173	TPO
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6360	CCL16
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1437	CSF2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1436	CSF1R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	115650	TNFRSF13C
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3597	IL13RA1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1435	CSF1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5618	PRLR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5617	PRL
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8764	TNFRSF14
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	338376	IFNE
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6369	CCL24
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1439	CSF2RB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1438	CSF2RA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7042	TGFB2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7040	TGFB1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6376	CX3CL1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	149233	IL23R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6375	XCL1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6374	CXCL5
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6373	CXCL11
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6372	CXCL6
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	729230	CCR2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6370	CCL25
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1440	CSF3
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7048	TGFBR2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7046	TGFBR1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4233	MET
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7043	TGFB3
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2833	CXCR3
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1441	CSF3R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23529	CLCF1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	27190	IL17B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6387	CXCL12
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2826	CCR10
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9180	OSMR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2829	XCR1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50604	IL20
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	83729	INHBE
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	80301	PLEKHO2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3627	CXCL10
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4352	MPL
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10850	CCL27
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3625	INHBB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3626	INHBC
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	163702	IFNLR1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3624	INHBA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4254	KITLG
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55504	TNFRSF19
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7852	CXCR4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7850	IL1R2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3815	KIT
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	970	CD70
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4982	TNFRSF11B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3953	LEPR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10663	CXCR6
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	84957	RELT
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3952	LEP
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	29949	IL19
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4049	LTA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3605	IL17A
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3606	IL18
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3604	TNFRSF9
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5008	OSM
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8200	GDF5
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3601	IL15RA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3600	IL15
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10563	CXCL13
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4050	LTB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8718	TNFRSF25
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4055	LTBR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	58985	IL22RA1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	959	CD40LG
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	958	CD40
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2690	GHR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8807	IL18RAP
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4283	CXCL9
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23765	IL17RA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2688	GH1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3976	LIF
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2689	GH2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3977	LIFR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8809	IL18R1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7292	TNFSF4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7293	TNFRSF4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1524	CX3CR1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	414062	CCL3L1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5159	PDGFRB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1896	EDA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9547	CXCL14
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3552	IL1A
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10913	EDAR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	11009	IL24
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1270	CNTF
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1271	CNTFR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10673	TNFSF13B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	56034	PDGFC
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7422	VEGFA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7424	VEGFC
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7423	VEGFB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10803	CCR9
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4804	NGFR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	116379	IL22RA2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5154	PDGFA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	94	ACVRL1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5155	PDGFB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9560	CCL4L2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	93	ACVR2B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5156	PDGFRA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	92	ACVR2A
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	91	ACVR1B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	90	ACVR1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2277	VEGFD
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23495	TNFRSF13B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	64806	IL25
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9966	TNFSF15
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2056	EPO
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3581	IL9R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2919	CXCL1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7124	TNF
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	643	CXCR5
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3442	IFNA5
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3441	IFNA4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3440	IFNA2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8771	TNFRSF6B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3439	IFNA1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3579	CXCR2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3577	CXCR1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3578	IL9
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	56477	CCL28
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3575	IL7R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3576	CXCL8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3594	IL12RB1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3593	IL12B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3596	IL13
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3595	IL12RB2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3590	IL11RA
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3592	IL12A
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3791	KDR
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7133	TNFRSF1B
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3451	IFNA17
