source	target
KEGG RNA DEGRADATION	MPHOSPH6
KEGG RNA DEGRADATION	MTREX
KEGG RNA DEGRADATION	PATL1
KEGG RNA DEGRADATION	EXOSC4
KEGG RNA DEGRADATION	PNPT1
KEGG RNA DEGRADATION	EXOSC2
KEGG RNA DEGRADATION	SKIV2L
KEGG RNA DEGRADATION	XRN2
KEGG RNA DEGRADATION	EXOSC5
KEGG RNA DEGRADATION	TTC37
KEGG RNA DEGRADATION	LSM6
KEGG RNA DEGRADATION	EXOSC3
KEGG RNA DEGRADATION	EXOSC1
KEGG RNA DEGRADATION	EDC4
KEGG RNA DEGRADATION	CNOT3
KEGG RNA DEGRADATION	CNOT2
KEGG RNA DEGRADATION	XRN1
KEGG RNA DEGRADATION	PARN
KEGG RNA DEGRADATION	C1D
KEGG RNA DEGRADATION	PAPOLA
KEGG RNA DEGRADATION	DDX6
KEGG RNA DEGRADATION	DCP1A
KEGG RNA DEGRADATION	ZCCHC7
KEGG RNA DEGRADATION	ENO1
KEGG RNA DEGRADATION	CNOT4
KEGG RNA DEGRADATION	CNOT7
KEGG RNA DEGRADATION	TENT4A
KEGG RNA DEGRADATION	EXOSC8
KEGG RNA DEGRADATION	HSPA9
KEGG RNA DEGRADATION	LSM1
KEGG RNA DEGRADATION	CNOT6L
KEGG RNA DEGRADATION	EXOSC6
KEGG RNA DEGRADATION	LSM7
KEGG RNA DEGRADATION	LSM8
KEGG RNA DEGRADATION	CNOT9
KEGG RNA DEGRADATION	
KEGG RNA DEGRADATION	CNOT1
KEGG RNA DEGRADATION	CNOT10
KEGG RNA DEGRADATION	EXOSC7
KEGG RNA DEGRADATION	LSM3
KEGG RNA DEGRADATION	DIS3
KEGG RNA DEGRADATION	ENO3
KEGG RNA DEGRADATION	ENO2
KEGG RNA DEGRADATION	CNOT6
KEGG RNA DEGRADATION	LSM2
KEGG RNA DEGRADATION	DCP2
KEGG RNA DEGRADATION	HSPD1
KEGG RNA DEGRADATION	EXOSC9
KEGG RNA DEGRADATION	EXOSC10
KEGG RNA DEGRADATION	EDC3
KEGG RNA DEGRADATION	DCPS
KEGG RNA DEGRADATION	PAPOLB
KEGG RNA DEGRADATION	DCP1B
KEGG RNA DEGRADATION	WDR61
KEGG RNA DEGRADATION	CNOT8
KEGG RNA DEGRADATION	PAPOLG
KEGG DNA REPLICATION	DNA2
KEGG DNA REPLICATION	POLE4
KEGG DNA REPLICATION	POLE3
KEGG DNA REPLICATION	PRIM1
KEGG DNA REPLICATION	PRIM2
KEGG DNA REPLICATION	POLD4
KEGG DNA REPLICATION	RFC4
KEGG DNA REPLICATION	RFC5
KEGG DNA REPLICATION	RPA1
KEGG DNA REPLICATION	POLA1
KEGG DNA REPLICATION	RPA3
KEGG DNA REPLICATION	POLD3
KEGG DNA REPLICATION	RNASEH2B
KEGG DNA REPLICATION	RPA2
KEGG DNA REPLICATION	PCNA
KEGG DNA REPLICATION	RPA4
KEGG DNA REPLICATION	RNASEH1
KEGG DNA REPLICATION	RNASEH2C
KEGG DNA REPLICATION	MCM4
KEGG DNA REPLICATION	POLE2
KEGG DNA REPLICATION	MCM3
KEGG DNA REPLICATION	MCM6
KEGG DNA REPLICATION	MCM5
KEGG DNA REPLICATION	POLA2
KEGG DNA REPLICATION	MCM7
KEGG DNA REPLICATION	POLD1
KEGG DNA REPLICATION	POLD2
KEGG DNA REPLICATION	RNASEH2A
KEGG DNA REPLICATION	POLE
KEGG DNA REPLICATION	RFC1
KEGG DNA REPLICATION	RFC3
KEGG DNA REPLICATION	RFC2
KEGG DNA REPLICATION	MCM2
KEGG DNA REPLICATION	FEN1
KEGG DNA REPLICATION	LIG1
KEGG DNA REPLICATION	SSBP1
KEGG MISMATCH REPAIR	MLH3
KEGG MISMATCH REPAIR	POLD1
KEGG MISMATCH REPAIR	MLH1
KEGG MISMATCH REPAIR	POLD2
KEGG MISMATCH REPAIR	RFC1
KEGG MISMATCH REPAIR	MSH2
KEGG MISMATCH REPAIR	RFC3
KEGG MISMATCH REPAIR	RFC2
KEGG MISMATCH REPAIR	MSH3
KEGG MISMATCH REPAIR	POLD4
KEGG MISMATCH REPAIR	PMS2
KEGG MISMATCH REPAIR	RFC4
KEGG MISMATCH REPAIR	LIG1
KEGG MISMATCH REPAIR	RFC5
KEGG MISMATCH REPAIR	RPA1
KEGG MISMATCH REPAIR	MSH6
KEGG MISMATCH REPAIR	RPA3
KEGG MISMATCH REPAIR	POLD3
KEGG MISMATCH REPAIR	RPA2
KEGG MISMATCH REPAIR	PCNA
KEGG MISMATCH REPAIR	SSBP1
KEGG MISMATCH REPAIR	RPA4
KEGG MISMATCH REPAIR	EXO1
KEGG HOMOLOGOUS RECOMBINATION	RAD54L
KEGG HOMOLOGOUS RECOMBINATION	XRCC3
KEGG HOMOLOGOUS RECOMBINATION	RAD51B
KEGG HOMOLOGOUS RECOMBINATION	NBN
KEGG HOMOLOGOUS RECOMBINATION	RAD52
KEGG HOMOLOGOUS RECOMBINATION	RAD51D
KEGG HOMOLOGOUS RECOMBINATION	XRCC2
KEGG HOMOLOGOUS RECOMBINATION	POLD4
KEGG HOMOLOGOUS RECOMBINATION	BLM
KEGG HOMOLOGOUS RECOMBINATION	EME1
KEGG HOMOLOGOUS RECOMBINATION	RPA1
KEGG HOMOLOGOUS RECOMBINATION	RAD51
KEGG HOMOLOGOUS RECOMBINATION	POLD3
KEGG HOMOLOGOUS RECOMBINATION	RAD50
KEGG HOMOLOGOUS RECOMBINATION	RPA3
KEGG HOMOLOGOUS RECOMBINATION	RPA2
KEGG HOMOLOGOUS RECOMBINATION	RPA4
KEGG HOMOLOGOUS RECOMBINATION	RAD51C
KEGG HOMOLOGOUS RECOMBINATION	MRE11
KEGG HOMOLOGOUS RECOMBINATION	BRCA2
KEGG HOMOLOGOUS RECOMBINATION	POLD1
KEGG HOMOLOGOUS RECOMBINATION	POLD2
KEGG HOMOLOGOUS RECOMBINATION	MUS81
KEGG HOMOLOGOUS RECOMBINATION	TOP3A
KEGG HOMOLOGOUS RECOMBINATION	FSBP
KEGG HOMOLOGOUS RECOMBINATION	SEM1
KEGG HOMOLOGOUS RECOMBINATION	TOP3B
KEGG HOMOLOGOUS RECOMBINATION	SSBP1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL26
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF13
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	HGF
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL3L1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF12
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFRSF8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF10
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL2
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF9
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL3
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF14
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	IL21R
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL5
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL4
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL13
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	IL17RB
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL11
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL8
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL7
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFRSF17
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	TNFSF11
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	IL23A
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CTF1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	FLT1
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	CCL14
