nodes	nodes2	type
KEGG RNA DEGRADATION	KEGG RNA DEGRADATION	Pathway
KEGG DNA REPLICATION	KEGG DNA REPLICATION	Pathway
KEGG MISMATCH REPAIR	KEGG MISMATCH REPAIR	Pathway
KEGG HOMOLOGOUS RECOMBINATION	KEGG HOMOLOGOUS RECOMBINATION	Pathway
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	Pathway
KEGG CELL CYCLE	KEGG CELL CYCLE	Pathway
KEGG P53 SIGNALING PATHWAY	KEGG P53 SIGNALING PATHWAY	Pathway
KEGG RIG I LIKE RECEPTOR SIGNALING PATHWAY	KEGG RIG I LIKE RECEPTOR SIGNALING PATHWAY	Pathway
KEGG JAK STAT SIGNALING PATHWAY	KEGG JAK STAT SIGNALING PATHWAY	Pathway
KEGG NEUROTROPHIN SIGNALING PATHWAY	KEGG NEUROTROPHIN SIGNALING PATHWAY	Pathway
KEGG ENDOMETRIAL CANCER	KEGG ENDOMETRIAL CANCER	Pathway
KEGG NON SMALL CELL LUNG CANCER	KEGG NON SMALL CELL LUNG CANCER	Pathway
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	Pathway
REACTOME SIGNALING BY NODAL	REACTOME SIGNALING BY NODAL	Pathway
REACTOME G0 AND EARLY G1	REACTOME G0 AND EARLY G1	Pathway
REACTOME RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY	REACTOME RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY	Pathway
REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA	REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA	Pathway
REACTOME PROCESSIVE SYNTHESIS ON THE LAGGING STRAND	REACTOME PROCESSIVE SYNTHESIS ON THE LAGGING STRAND	Pathway
REACTOME CELL CYCLE CHECKPOINTS	REACTOME CELL CYCLE CHECKPOINTS	Pathway
REACTOME NUCLEAR RECEPTOR TRANSCRIPTION PATHWAY	REACTOME NUCLEAR RECEPTOR TRANSCRIPTION PATHWAY	Pathway
REACTOME MITOTIC G1 G1 S PHASES	REACTOME MITOTIC G1 G1 S PHASES	Pathway
REACTOME GPCR LIGAND BINDING	REACTOME GPCR LIGAND BINDING	Pathway
REACTOME MITOTIC G2 G2 M PHASES	REACTOME MITOTIC G2 G2 M PHASES	Pathway
REACTOME LAGGING STRAND SYNTHESIS	REACTOME LAGGING STRAND SYNTHESIS	Pathway
REACTOME DNA REPLICATION	REACTOME DNA REPLICATION	Pathway
REACTOME E2F MEDIATED REGULATION OF DNA REPLICATION	REACTOME E2F MEDIATED REGULATION OF DNA REPLICATION	Pathway
REACTOME SIGNALING BY INSULIN RECEPTOR	REACTOME SIGNALING BY INSULIN RECEPTOR	Pathway
REACTOME VIRAL MESSENGER RNA SYNTHESIS	REACTOME VIRAL MESSENGER RNA SYNTHESIS	Pathway
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	Pathway
REACTOME UNWINDING OF DNA	REACTOME UNWINDING OF DNA	Pathway
REACTOME G1 S SPECIFIC TRANSCRIPTION	REACTOME G1 S SPECIFIC TRANSCRIPTION	Pathway
REACTOME DNA STRAND ELONGATION	REACTOME DNA STRAND ELONGATION	Pathway
REACTOME RECOGNITION OF DNA DAMAGE BY PCNA CONTAINING REPLICATION COMPLEX	REACTOME RECOGNITION OF DNA DAMAGE BY PCNA CONTAINING REPLICATION COMPLEX	Pathway
REACTOME CYTOCHROME C MEDIATED APOPTOTIC RESPONSE	REACTOME CYTOCHROME C MEDIATED APOPTOTIC RESPONSE	Pathway
REACTOME APOPTOTIC FACTOR MEDIATED RESPONSE	REACTOME APOPTOTIC FACTOR MEDIATED RESPONSE	Pathway
REACTOME IRS MEDIATED SIGNALLING	REACTOME IRS MEDIATED SIGNALLING	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY DREAM COMPLEX	Pathway
REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 RBL1 AND P130 RBL2 IN COMPLEX WITH HDAC1	REACTOME TRANSCRIPTION OF E2F TARGETS UNDER NEGATIVE CONTROL BY P107 RBL1 AND P130 RBL2 IN COMPLEX WITH HDAC1	Pathway
REACTOME PROCESSIVE SYNTHESIS ON THE C STRAND OF THE TELOMERE	REACTOME PROCESSIVE SYNTHESIS ON THE C STRAND OF THE TELOMERE	Pathway
REACTOME TELOMERE C STRAND LAGGING STRAND SYNTHESIS	REACTOME TELOMERE C STRAND LAGGING STRAND SYNTHESIS	Pathway
REACTOME AKT PHOSPHORYLATES TARGETS IN THE NUCLEUS	REACTOME AKT PHOSPHORYLATES TARGETS IN THE NUCLEUS	Pathway
REACTOME TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3 SMAD4 HETEROTRIMER	REACTOME TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3 SMAD4 HETEROTRIMER	Pathway
REACTOME SMAD2 SMAD3 SMAD4 HETEROTRIMER REGULATES TRANSCRIPTION	REACTOME SMAD2 SMAD3 SMAD4 HETEROTRIMER REGULATES TRANSCRIPTION	Pathway
REACTOME PI3K AKT SIGNALING IN CANCER	REACTOME PI3K AKT SIGNALING IN CANCER	Pathway
REACTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R	REACTOME SIGNALING BY TYPE 1 INSULIN LIKE GROWTH FACTOR 1 RECEPTOR IGF1R	Pathway
REACTOME ESTABLISHMENT OF SISTER CHROMATID COHESION	REACTOME ESTABLISHMENT OF SISTER CHROMATID COHESION	Pathway
REACTOME COHESIN LOADING ONTO CHROMATIN	REACTOME COHESIN LOADING ONTO CHROMATIN	Pathway
REACTOME SENESCENCE ASSOCIATED SECRETORY PHENOTYPE SASP	REACTOME SENESCENCE ASSOCIATED SECRETORY PHENOTYPE SASP	Pathway
REACTOME REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION	REACTOME REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION	Pathway
REACTOME SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS	REACTOME SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS	Pathway
REACTOME REGULATION OF HSF1 MEDIATED HEAT SHOCK RESPONSE	REACTOME REGULATION OF HSF1 MEDIATED HEAT SHOCK RESPONSE	Pathway
REACTOME HSF1 ACTIVATION	REACTOME HSF1 ACTIVATION	Pathway
REACTOME CELLULAR RESPONSE TO HEAT STRESS	REACTOME CELLULAR RESPONSE TO HEAT STRESS	Pathway
REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	Pathway
REACTOME MISMATCH REPAIR	REACTOME MISMATCH REPAIR	Pathway
REACTOME PCNA DEPENDENT LONG PATCH BASE EXCISION REPAIR	REACTOME PCNA DEPENDENT LONG PATCH BASE EXCISION REPAIR	Pathway
REACTOME SHC MEDIATED CASCADE FGFR1	REACTOME SHC MEDIATED CASCADE FGFR1	Pathway
REACTOME PI 3K CASCADE FGFR1	REACTOME PI 3K CASCADE FGFR1	Pathway
