nodes	type
KEGG RNA DEGRADATION	Pathway
KEGG DNA REPLICATION	Pathway
KEGG MISMATCH REPAIR	Pathway
KEGG HOMOLOGOUS RECOMBINATION	Pathway
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	Pathway
KEGG CELL CYCLE	Pathway
KEGG P53 SIGNALING PATHWAY	Pathway
KEGG RIG I LIKE RECEPTOR SIGNALING PATHWAY	Pathway
KEGG JAK STAT SIGNALING PATHWAY	Pathway
KEGG NEUROTROPHIN SIGNALING PATHWAY	Pathway
KEGG ENDOMETRIAL CANCER	Pathway
KEGG NON SMALL CELL LUNG CANCER	Pathway
REACTOME ACTIVATION OF THE PRE REPLICATIVE COMPLEX	Pathway
REACTOME SIGNALING BY NODAL	Pathway
REACTOME G0 AND EARLY G1	Pathway
REACTOME RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY	Pathway
REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA	Pathway
REACTOME PROCESSIVE SYNTHESIS ON THE LAGGING STRAND	Pathway
REACTOME CELL CYCLE CHECKPOINTS	Pathway
REACTOME NUCLEAR RECEPTOR TRANSCRIPTION PATHWAY	Pathway
REACTOME MITOTIC G1 G1 S PHASES	Pathway
REACTOME GPCR LIGAND BINDING	Pathway
REACTOME MITOTIC G2 G2 M PHASES	Pathway
REACTOME LAGGING STRAND SYNTHESIS	Pathway
REACTOME DNA REPLICATION	Pathway
REACTOME E2F MEDIATED REGULATION OF DNA REPLICATION	Pathway
REACTOME SIGNALING BY INSULIN RECEPTOR	Pathway
REACTOME VIRAL MESSENGER RNA SYNTHESIS	Pathway
REACTOME ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS	Pathway
REACTOME UNWINDING OF DNA	Pathway
REACTOME G1 S SPECIFIC TRANSCRIPTION	Pathway
REACTOME DNA STRAND ELONGATION	Pathway
REACTOME RECOGNITION OF DNA DAMAGE BY PCNA CONTAINING REPLICATION COMPLEX	Pathway
REACTOME CYTOCHROME C MEDIATED APOPTOTIC RESPONSE	Pathway
REACTOME APOPTOTIC FACTOR MEDIATED RESPONSE	Pathway
REACTOME IRS MEDIATED SIGNALLING	Pathway
