pathway	entrezgene
KEGG DNA REPLICATION	1763
KEGG DNA REPLICATION	56655
KEGG DNA REPLICATION	54107
KEGG DNA REPLICATION	5557
KEGG DNA REPLICATION	5558
KEGG DNA REPLICATION	57804
KEGG DNA REPLICATION	5984
KEGG DNA REPLICATION	5985
KEGG DNA REPLICATION	6117
KEGG DNA REPLICATION	5422
KEGG DNA REPLICATION	6119
KEGG DNA REPLICATION	10714
KEGG DNA REPLICATION	79621
KEGG DNA REPLICATION	6118
KEGG DNA REPLICATION	5111
KEGG DNA REPLICATION	29935
KEGG DNA REPLICATION	246243
KEGG DNA REPLICATION	84153
KEGG DNA REPLICATION	4173
KEGG DNA REPLICATION	5427
KEGG DNA REPLICATION	4172
KEGG DNA REPLICATION	4175
KEGG DNA REPLICATION	4174
KEGG DNA REPLICATION	23649
KEGG DNA REPLICATION	4176
KEGG DNA REPLICATION	5424
KEGG DNA REPLICATION	5425
KEGG DNA REPLICATION	10535
KEGG DNA REPLICATION	5426
KEGG DNA REPLICATION	5981
KEGG DNA REPLICATION	5983
KEGG DNA REPLICATION	5982
KEGG DNA REPLICATION	4171
KEGG DNA REPLICATION	2237
KEGG DNA REPLICATION	3978
KEGG DNA REPLICATION	6742
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10344
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8741
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3082
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6349
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8742
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	943
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8743
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6347
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	944
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8744
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6348
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8740
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50615
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6351
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6357
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55540
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6356
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6355
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6354
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	608
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8600
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	51561
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1489
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2321
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6358
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2322
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6359
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2323
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2324
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50616
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	939
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6362
