ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
REACTOME GPCR LIGAND BINDING	REACTOME GPCR LIGAND BINDING	334	0.561185597841255	1.78384042558524	0.00156494522691706	0.0770945888002744	0.0709517555143325	397	tags=5%, list=4%, signal=5%	2920/2919/2921/1236/6372/3576/4828/301/9034/6374/1902/976/718/5732/6387/6364
REACTOME G ALPHA I SIGNALLING EVENTS	REACTOME G ALPHA I SIGNALLING EVENTS	301	0.640343060711064	2.01207456002853	0.00159235668789809	0.0770945888002744	0.0709517555143325	692	tags=9%, list=6%, signal=9%	6351/2920/2919/2921/1236/6372/3576/6714/301/8601/3708/6374/1902/2239/6385/718/6387/6364/2770/5533/109/5996/4886/1268/6004/814/9170/3627
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	217	0.74164011686522	2.26876640471973	0.00164473684210526	0.0770945888002744	0.0709517555143325	397	tags=10%, list=4%, signal=10%	6351/2920/2919/2921/1236/8744/970/6347/6372/3576/7124/11009/958/6374/3976/7424/4233/8764/3604/3600/6387/6364
Nuclear Receptors Meta Pathway WikiPathways 20190910 WP2882 Homo sapiens	Nuclear Receptors Meta Pathway WikiPathways 20190910 WP2882 Homo sapiens	252	0.58452598921683	1.79691296108749	0.00165016501650165	0.0770945888002744	0.0709517555143325	639	tags=15%, list=6%, signal=15%	5743/330/4616/6347/7128/7124/8553/7296/6714/2730/23657/89795/10062/8878/2539/23764/3162/1831/3725/4780/10560/3726/9792/3303/8660/6364/11182/2258/9817/1581/1728/4199/5226/10728/2947/6533/5243/6535
REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	REACTOME CLASS A 1 RHODOPSIN LIKE RECEPTORS	242	0.608908936884938	1.87224396565292	0.00165837479270315	0.0770945888002744	0.0709517555143325	397	tags=6%, list=4%, signal=6%	2920/2919/2921/1236/6372/3576/4828/301/9034/6374/1902/718/5732/6387/6364
KEGG CHEMOKINE SIGNALING PATHWAY	KEGG CHEMOKINE SIGNALING PATHWAY	156	0.708226218404987	2.07230409938608	0.00172117039586919	0.0770945888002744	0.0709517555143325	411	tags=11%, list=4%, signal=11%	6351/2920/2919/2921/1236/6347/6372/3576/6374/3055/5970/4792/6387/4790/6364/1398/2770
REACTOME PEPTIDE LIGAND BINDING RECEPTORS	REACTOME PEPTIDE LIGAND BINDING RECEPTORS	144	0.745682506732545	2.16044858498638	0.00175438596491228	0.0770945888002744	0.0709517555143325	397	tags=9%, list=4%, signal=9%	2920/2919/2921/1236/6372/3576/4828/301/9034/6374/718/6387/6364
Regulation of toll like receptor signaling pathway WikiPathways 20190910 WP1449 Homo sapiens	Regulation of toll like receptor signaling pathway WikiPathways 20190910 WP1449 Homo sapiens	116	0.735011529433954	2.08288461229863	0.0017636684303351	0.0770945888002744	0.0709517555143325	1091	tags=25%, list=10%, signal=23%	6351/7128/3576/7124/958/57162/8878/5970/5606/3725/4792/11213/7187/5777/1540/4790/57161/3663/941/3627/3665/10000/4791/1154/148022/8737/1326/3442/10771
Chemokine signaling pathway WikiPathways 20190910 WP3929 Homo sapiens	Chemokine signaling pathway WikiPathways 20190910 WP3929 Homo sapiens	139	0.603414894705174	1.74146166831627	0.00176991150442478	0.0770945888002744	0.0709517555143325	842	tags=14%, list=7%, signal=13%	6351/2921/1236/6374/3055/5970/4792/6387/4790/6364/1398/2770/109/4893/2932/3627/10000/4793/7852
Spinal Cord Injury WikiPathways 20190910 WP2431 Homo sapiens	Spinal Cord Injury WikiPathways 20190910 WP2431 Homo sapiens	107	0.709896820670978	2.00047680012912	0.0017825311942959	0.0770945888002744	0.0709517555143325	421	tags=11%, list=4%, signal=11%	2920/2919/5743/6347/3576/7124/301/3383/1017/3958/388/1948
TNF related weak inducer of apoptosis  TWEAK  Signaling Pathway WikiPathways 20190910 WP2036 Homo sapiens	TNF related weak inducer of apoptosis  TWEAK  Signaling Pathway WikiPathways 20190910 WP2036 Homo sapiens	40	0.831888054191604	2.03232960864231	0.00181818181818182	0.0770945888002744	0.0709517555143325	1200	tags=50%, list=11%, signal=45%	330/7185/6347/7124/5970/3725/4792/5971/7187/4790/7186/2932/329/836/4793/4791/840/8737/5894/1147
KEGG CYTOSOLIC DNA SENSING PATHWAY	KEGG CYTOSOLIC DNA SENSING PATHWAY	42	0.803612052014578	1.96976762083796	0.00185185185185185	0.0770945888002744	0.0709517555143325	830	tags=26%, list=7%, signal=24%	6351/5970/4792/9533/4790/3627/3665/661/90865/4793/23586
REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	42	0.882474826149221	2.16307151491278	0.00185185185185185	0.0770945888002744	0.0709517555143325	107	tags=19%, list=1%, signal=19%	2920/2919/2921/1236/6372/3576/9034/6374
REACTOME INTERLEUKIN 10 SIGNALING	REACTOME INTERLEUKIN 10 SIGNALING	42	0.89334758812671	2.18972220343674	0.00185185185185185	0.0770945888002744	0.0709517555143325	136	tags=21%, list=1%, signal=21%	6351/2920/2919/5743/6347/3576/7124/3383/3976
KEGG NOD LIKE RECEPTOR SIGNALING PATHWAY	KEGG NOD LIKE RECEPTOR SIGNALING PATHWAY	54	0.822869752186895	2.08540171890959	0.00185528756957328	0.0770945888002744	0.0709517555143325	429	tags=22%, list=4%, signal=21%	2920/2919/330/6347/7128/3576/7124/8767/5970/4792/4790/64127
KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY	KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY	87	0.765055614719806	2.08241548791628	0.00188323917137476	0.0770945888002744	0.0709517555143325	694	tags=17%, list=6%, signal=16%	6351/3576/7124/1513/958/5970/5606/3725/4792/7187/4790/3663/941/3627/3665
Toll like Receptor Signaling Pathway WikiPathways 20190910 WP75 Homo sapiens	Toll like Receptor Signaling Pathway WikiPathways 20190910 WP75 Homo sapiens	87	0.758324753705953	2.06409466397541	0.00188323917137476	0.0770945888002744	0.0709517555143325	1073	tags=23%, list=9%, signal=21%	6351/3576/7124/958/5970/5606/3725/4792/7187/4790/3663/941/3627/3665/10000/4793/148022/8737/1326/3442
