ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	39	-0.578303525788413	-1.91079324868702	0.00191204588910134	0.173840445269017	0.160531198125183	1036	tags=23%, list=9%, signal=21%	2534/3265/2185/2885/6850/6776/6774/2309
Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	57	-0.502662606188171	-1.78250283421401	0.00191204588910134	0.173840445269017	0.160531198125183	1245	tags=21%, list=11%, signal=19%	6195/4067/5295/3635/2534/3265/2885/6776/4286/6774/2309
REACTOME MAPK6 MAPK4 SIGNALING	REACTOME MAPK6 MAPK4 SIGNALING	71	-0.501533375142498	-1.85451792596996	0.00191938579654511	0.173840445269017	0.160531198125183	2311	tags=38%, list=20%, signal=31%	5695/5696/7311/983/23112/10213/8555/5879/5692/5701/5704/5567/5694/192669/8550/5897/5702/3337/5709/5707/896/4319/5896/4313/8202/2309
miRNAs involvement in the immune response in sepsis WikiPathways 20190910 WP4329 Homo sapiens	miRNAs involvement in the immune response in sepsis WikiPathways 20190910 WP4329 Homo sapiens	34	0.684320954988022	2.23877129654023	0.00200400801603206	0.173840445269017	0.160531198125183	569	tags=24%, list=5%, signal=22%	6351/7412/7124/3576/5971/4792/1147/5966
Photodynamic therapy induced NF kB survival signaling WikiPathways 20190910 WP3617 Homo sapiens	Photodynamic therapy induced NF kB survival signaling WikiPathways 20190910 WP3617 Homo sapiens	33	0.668468370329593	2.17005205718076	0.00201612903225806	0.173840445269017	0.160531198125183	569	tags=27%, list=5%, signal=26%	2920/7412/330/7124/3576/5743/5971/1147/5966
Oligodendrocyte Specification and differentiation including remyelination   leading to Myelin Components for CNS WikiPathways 20190910 WP4304 Homo sapiens	Oligodendrocyte Specification and differentiation including remyelination   leading to Myelin Components for CNS WikiPathways 20190910 WP4304 Homo sapiens	25	0.678825329898315	2.06518791611205	0.00202429149797571	0.173840445269017	0.160531198125183	633	tags=24%, list=5%, signal=23%	2920/2919/7124/3976/10215/2247
EBV LMP1 signaling WikiPathways 20190910 WP262 Homo sapiens	EBV LMP1 signaling WikiPathways 20190910 WP262 Homo sapiens	22	0.676609611296299	1.99932711998662	0.00202839756592292	0.173840445269017	0.160531198125183	552	tags=27%, list=5%, signal=26%	7124/3576/6364/7185/4792/1147
KEGG NOD LIKE RECEPTOR SIGNALING PATHWAY	KEGG NOD LIKE RECEPTOR SIGNALING PATHWAY	54	0.590891295079701	2.11111809342789	0.00207900207900208	0.173840445269017	0.160531198125183	693	tags=22%, list=6%, signal=21%	2920/2919/330/7124/7128/3576/6347/4792/6355/1147/55914/8767
REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES	42	0.676961298629859	2.31471869949049	0.00210526315789474	0.173840445269017	0.160531198125183	865	tags=31%, list=7%, signal=29%	2920/2919/2921/3576/1236/3627/6364/6372/6387/6374/6360/1234/2826
REACTOME INTERLEUKIN 10 SIGNALING	REACTOME INTERLEUKIN 10 SIGNALING	42	0.717353262633397	2.45283004289723	0.00210526315789474	0.173840445269017	0.160531198125183	228	tags=24%, list=2%, signal=23%	6351/2920/2919/7124/3576/5743/3627/6364/3976/6347
REACTOME PEPTIDE LIGAND BINDING RECEPTORS	REACTOME PEPTIDE LIGAND BINDING RECEPTORS	144	0.371140819180471	1.56230422766835	0.00228310502283105	0.173840445269017	0.160531198125183	1527	tags=17%, list=13%, signal=15%	2920/2919/2921/3576/1236/3627/6364/6372/6387/6374/4828/6360/1234/301/1907/4161/2826/6865/4160/4852/6866/4889/4159/885
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	217	0.379691023316179	1.70319379452581	0.00230414746543779	0.173840445269017	0.160531198125183	681	tags=13%, list=6%, signal=12%	6351/2920/2919/2921/7124/3576/8744/1236/3627/6364/3976/6372/3449/6387/23495/8809/7292/6347/6374/5008/958/6355/90/7042/1439/3626/6360/1234
REACTOME GPCR LIGAND BINDING	REACTOME GPCR LIGAND BINDING	334	0.30547885280364	1.42911092600741	0.00248756218905473	0.173840445269017	0.160531198125183	2716	tags=28%, list=23%, signal=22%	2920/2919/2921/3576/1236/3627/6364/2792/6372/6387/1902/7480/6374/4828/8323/7432/6360/1234/1392/301/1907/4161/1814/1268/2826/3351/2696/4935/54886/1812/2785/6469/6865/7434/55970/4160/10266/7976/4852/6866/6010/10203/5729/4889/4159/885/5732/2859/79924/10692/1393/7433/1395/7252/9283/5032/6750/2015/1815/2359/116/3355/56413/9038/2791/2693/1908/11211/2840/6344/64748/3577/2925/9170/728/2357/3062/53637/4988/8484/2492/1132/9034/7474/10681/2833/51384/2532/551/351/3354/4987/5737/5734
GO:0006954	GO:0006954	550	0.306137978600689	1.50648221929562	0.0025974025974026	0.173840445269017	0.160531198125183	1552	tags=18%, list=13%, signal=16%	6351/2920/2919/2921/7412/330/7124/7128/3576/7130/5743/5806/7941/1236/26471/3627/6364/2294/259230/2152/10062/6372/11343/54/27342/814/8809/7292/6347/4780/6374/5008/960/215/958/9370/5971/4792/3848/56547/6355/90/3055/8877/1147/5966/79155/81792/6360/1234/8767/1392/301/8534/6403/1776/9734/90355/1268/80149/3516/1051/5771/10392/8723/10318/5359/347/9435/658/23780/27179/79931/4225/27250/10135/1215/51704/8605/9759/5354/4069/23135/26279/8639/10125/51561/90865/10203/57118/5729/4889/6542/329/10225/5732/8455
REACTOME SIGNALING BY NTRKS	REACTOME SIGNALING BY NTRKS	91	-0.447780082519256	-1.7142706714254	0.00373134328358209	0.2103726986978	0.194266537470754	2336	tags=36%, list=20%, signal=29%	9261/6016/5600/1845/5595/5879/9252/5518/6456/6464/26052/51231/6195/5900/5295/4208/5045/53358/1785/1175/2534/6196/3265/1173/2885/7867/1020/581/5800/6774/1759/1846
REACTOME MRNA SPLICING MINOR PATHWAY	REACTOME MRNA SPLICING MINOR PATHWAY	42	-0.565256499972716	-1.89019930921706	0.00379506641366224	0.2103726986978	0.194266537470754	2572	tags=60%, list=22%, signal=47%	6633/6628/5432/8233/5433/5436/6432/4809/5438/6634/5437/9416/6636/83443/5434/5439/6431/79622/5441/10992/57819/11066/2962/24148
TYROBP Causal Network WikiPathways 20190910 WP3945 Homo sapiens	TYROBP Causal Network WikiPathways 20190910 WP3945 Homo sapiens	49	-0.519207548064155	-1.79299632546008	0.00381679389312977	0.2103726986978	0.194266537470754	1585	tags=43%, list=13%, signal=37%	4688/920/3059/3142/64764/3587/10577/6195/951/4066/29108/6039/51411/9056/678/55803/6776/3071/864/54518
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WikiPathways 20190910 WP4337 Homo sapiens	ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WikiPathways 20190910 WP4337 Homo sapiens	13	-0.70576465176525	-1.77545994352727	0.00404858299595142	0.210751237067027	0.194616094893103	483	tags=23%, list=4%, signal=22%	6774/3570
KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY	KEGG TOLL LIKE RECEPTOR SIGNALING PATHWAY	88	0.447618866553382	1.74488421644727	0.00428265524625268	0.211202524512566	0.195032831713003	552	tags=11%, list=5%, signal=11%	6351/7124/3576/1513/3627/1326/3449/958/4792/1147
KEGG CHEMOKINE SIGNALING PATHWAY	KEGG CHEMOKINE SIGNALING PATHWAY	156	0.366692901044611	1.56221770978218	0.00458715596330275	0.21331006222492	0.196979016063455	681	tags=13%, list=6%, signal=12%	6351/2920/2919/2921/3576/1236/3627/6364/2792/6372/6387/6347/6374/2770/4792/6355/3055/1147/6360/1234
