SYMBOL	GO.TERM	entrezgene_id
ABCD1	GO:0034599	215
ABL1	GO:0034599	25
ADNP2	GO:0034599	22850
ADPRHL2	GO:0034599	54936
AGAP3	GO:0034599	116988
AIF1	GO:0034599	199
AIFM1	GO:0034599	9131
AKR1C3	GO:0034599	8644
AKT1	GO:0034599	207
ALDH3B1	GO:0034599	221
ANKRD2	GO:0034599	26287
ANKZF1	GO:0034599	55139
ANXA1	GO:0034599	301
APEX1	GO:0034599	328
APOA4	GO:0034599	337
AQP1	GO:0034599	358
ARG1	GO:0034599	383
ARL6IP5	GO:0034599	10550
ARNT	GO:0034599	405
ARNTL	GO:0034599	406
ATF4	GO:0034599	468
ATG7	GO:0034599	10533
ATP13A2	GO:0034599	23400
ATP2A2	GO:0034599	488
ATP7A	GO:0034599	538
AXL	GO:0034599	558
BAG5	GO:0034599	9529
BCL2	GO:0034599	596
BECN1	GO:0034599	8678
BMP7	GO:0034599	655
BNIP3	GO:0034599	664
BRF2	GO:0034599	55290
BTK	GO:0034599	695
CAMKK2	GO:0034599	10645
CAT	GO:0034599	847
CBX8	GO:0034599	57332
CCNA2	GO:0034599	890
CCS	GO:0034599	9973
CD36	GO:0034599	948
CDK1	GO:0034599	983
CDK2	GO:0034599	1017
CFLAR	GO:0034599	8837
CHD6	GO:0034599	84181
CHUK	GO:0034599	1147
CPEB2	GO:0034599	132864
CRK	GO:0034599	1398
CRYGD	GO:0034599	1421
CTNNB1	GO:0034599	1499
CYBA	GO:0034599	1535
CYBB	GO:0034599	1536
CYCS	GO:0034599	54205
CYP1B1	GO:0034599	1545
DAPK1	GO:0034599	1612
DHFR	GO:0034599	1719
DHRS2	GO:0034599	10202
DIABLO	GO:0034599	56616
DNM2	GO:0034599	1785
DPEP1	GO:0034599	1800
ECT2	GO:0034599	1894
EGFR	GO:0034599	1956
EIF2S1	GO:0034599	1965
ENDOG	GO:0034599	2021
EPAS1	GO:0034599	2034
ERCC6L2	GO:0034599	375748
ERO1A	GO:0034599	30001
ETS1	GO:0034599	2113
ETV5	GO:0034599	2119
EZH2	GO:0034599	2146
FABP1	GO:0034599	2168
FANCC	GO:0034599	2176
FANCD2	GO:0034599	2177
FBLN5	GO:0034599	10516
FBXO7	GO:0034599	25793
FBXW7	GO:0034599	55294
FER	GO:0034599	2241
FOS	GO:0034599	2353
FOXO1	GO:0034599	2308
FOXO3	GO:0034599	2309
FUT8	GO:0034599	2530
FXN	GO:0034599	2395
FYN	GO:0034599	2534
FZD1	GO:0034599	8321
G6PD	GO:0034599	2539
GATA4	GO:0034599	2626
GCH1	GO:0034599	2643
GJB2	GO:0034599	2706
GLRX2	GO:0034599	51022
GPR37	GO:0034599	2861
GPR37L1	GO:0034599	9283
GPX1	GO:0034599	2876
GPX2	GO:0034599	2877
GPX3	GO:0034599	2878
GPX5	GO:0034599	2880
GPX7	GO:0034599	2882
GPX8	GO:0034599	493869
GSKIP	GO:0034599	51527
GSR	GO:0034599	2936
GSTP1	GO:0034599	2950
GUCY1B1	GO:0034599	2983
HDAC2	GO:0034599	3066
HDAC6	GO:0034599	10013
HGF	GO:0034599	3082
HIF1A	GO:0034599	3091
HMOX1	GO:0034599	3162
HNRNPD	GO:0034599	3184
HSF1	GO:0034599	3297
HSPA1A	GO:0034599	3303
HSPA1B	GO:0034599	3304
HSPB1	GO:0034599	3315
HTRA2	GO:0034599	27429
IL10	GO:0034599	3586
IL18RAP	GO:0034599	8807
IL6	GO:0034599	3569
IMPACT	GO:0034599	55364
INS	GO:0034599	3630
JAK2	GO:0034599	3717
JUN	GO:0034599	3725
KCNC2	GO:0034599	3747
KDM6B	GO:0034599	23135
KEAP1	GO:0034599	9817
KLF2	GO:0034599	10365
KLF4	GO:0034599	9314
LANCL1	GO:0034599	10314
LCN2	GO:0034599	3934
LONP1	GO:0034599	9361
LRRK2	GO:0034599	120892
MAP1LC3A	GO:0034599	84557
MAP3K5	GO:0034599	4217
MAPK1	GO:0034599	5594
MAPK13	GO:0034599	5603
MAPK3	GO:0034599	5595
MAPK7	GO:0034599	5598
MAPK8	GO:0034599	5599
MAPK9	GO:0034599	5601
MAPKAP1	GO:0034599	79109
MAPT	GO:0034599	4137
MCL1	GO:0034599	4170
MDM2	GO:0034599	4193
MEAK7	GO:0034599	57707
MELK	GO:0034599	9833
MET	GO:0034599	4233
MGAT3	GO:0034599	4248
MGST1	GO:0034599	4257
MMP2	GO:0034599	4313
MMP3	GO:0034599	4314
MMP9	GO:0034599	4318
MPO	GO:0034599	4353
MPV17	GO:0034599	4358
MSRA	GO:0034599	4482
MT3	GO:0034599	4504
MTR	GO:0034599	4548
MYB	GO:0034599	4602
NCF1	GO:0034599	653361
NCF2	GO:0034599	4688
NCF4	GO:0034599	4689
NCOA7	GO:0034599	135112
NET1	GO:0034599	10276
NFE2L1	GO:0034599	4779
NFE2L2	GO:0034599	4780
NME2	GO:0034599	4831
NME5	GO:0034599	8382
NME8	GO:0034599	51314
NOL3	GO:0034599	8996
NONO	GO:0034599	4841
NOS3	GO:0034599	4846
NOX1	GO:0034599	27035
NOX4	GO:0034599	50507
