source	target
KEGG PURINE METABOLISM	22978
KEGG PURINE METABOLISM	5437
KEGG PURINE METABOLISM	5169
KEGG PURINE METABOLISM	5434
KEGG PURINE METABOLISM	5435
KEGG PURINE METABOLISM	5167
KEGG PURINE METABOLISM	7498
KEGG PURINE METABOLISM	5438
KEGG PURINE METABOLISM	5439
KEGG PURINE METABOLISM	54107
KEGG PURINE METABOLISM	159
KEGG PURINE METABOLISM	5634
KEGG PURINE METABOLISM	158
KEGG PURINE METABOLISM	10201
KEGG PURINE METABOLISM	51082
KEGG PURINE METABOLISM	87178
KEGG PURINE METABOLISM	5440
KEGG PURINE METABOLISM	50940
KEGG PURINE METABOLISM	10714
KEGG PURINE METABOLISM	5441
KEGG PURINE METABOLISM	203
KEGG PURINE METABOLISM	654364
KEGG PURINE METABOLISM	204
KEGG PURINE METABOLISM	205
KEGG PURINE METABOLISM	23649
KEGG PURINE METABOLISM	124583
KEGG PURINE METABOLISM	270
KEGG PURINE METABOLISM	272
KEGG PURINE METABOLISM	271
KEGG PURINE METABOLISM	4833
KEGG PURINE METABOLISM	3000
KEGG PURINE METABOLISM	4830
KEGG PURINE METABOLISM	471
KEGG PURINE METABOLISM	4831
KEGG PURINE METABOLISM	1716
KEGG PURINE METABOLISM	10623
KEGG PURINE METABOLISM	4832
KEGG PURINE METABOLISM	10622
KEGG PURINE METABOLISM	10621
KEGG PURINE METABOLISM	58497
KEGG PURINE METABOLISM	56985
KEGG PURINE METABOLISM	5142
KEGG PURINE METABOLISM	5143
KEGG PURINE METABOLISM	5140
KEGG PURINE METABOLISM	5141
KEGG PURINE METABOLISM	318
KEGG PURINE METABOLISM	51292
KEGG PURINE METABOLISM	5146
KEGG PURINE METABOLISM	5147
KEGG PURINE METABOLISM	5144
KEGG PURINE METABOLISM	5145
KEGG PURINE METABOLISM	5557
KEGG PURINE METABOLISM	5558
KEGG PURINE METABOLISM	26289
KEGG PURINE METABOLISM	2766
KEGG PURINE METABOLISM	8382
KEGG PURINE METABOLISM	27115
KEGG PURINE METABOLISM	8654
KEGG PURINE METABOLISM	57804
KEGG PURINE METABOLISM	2977
KEGG PURINE METABOLISM	2272
KEGG PURINE METABOLISM	109
KEGG PURINE METABOLISM	108
KEGG PURINE METABOLISM	107
KEGG PURINE METABOLISM	5422
KEGG PURINE METABOLISM	5139
KEGG PURINE METABOLISM	5138
KEGG PURINE METABOLISM	5137
KEGG PURINE METABOLISM	122622
KEGG PURINE METABOLISM	100
KEGG PURINE METABOLISM	377841
KEGG PURINE METABOLISM	5427
KEGG PURINE METABOLISM	5151
KEGG PURINE METABOLISM	5152
KEGG PURINE METABOLISM	5153
KEGG PURINE METABOLISM	53343
KEGG PURINE METABOLISM	5424
KEGG PURINE METABOLISM	9615
KEGG PURINE METABOLISM	5425
KEGG PURINE METABOLISM	5426
KEGG PURINE METABOLISM	5158
KEGG PURINE METABOLISM	5150
KEGG PURINE METABOLISM	5631
KEGG PURINE METABOLISM	64425
KEGG PURINE METABOLISM	10606
KEGG PURINE METABOLISM	84618
KEGG PURINE METABOLISM	5431
KEGG PURINE METABOLISM	11128
KEGG PURINE METABOLISM	5149
KEGG PURINE METABOLISM	5430
KEGG PURINE METABOLISM	5148
KEGG PURINE METABOLISM	5433
KEGG PURINE METABOLISM	1633
KEGG PURINE METABOLISM	5432
KEGG PURINE METABOLISM	114
KEGG PURINE METABOLISM	115
KEGG PURINE METABOLISM	112
KEGG PURINE METABOLISM	122481
KEGG PURINE METABOLISM	113
KEGG PURINE METABOLISM	111
KEGG PURINE METABOLISM	8833
KEGG PURINE METABOLISM	55811
KEGG PURINE METABOLISM	51728
KEGG PURINE METABOLISM	84172
KEGG PURINE METABOLISM	4860
KEGG PURINE METABOLISM	50484
KEGG PURINE METABOLISM	5136
KEGG PURINE METABOLISM	246721
KEGG PURINE METABOLISM	3251
KEGG PURINE METABOLISM	2618
KEGG PURINE METABOLISM	9061
KEGG PURINE METABOLISM	9060
KEGG PURINE METABOLISM	56953
KEGG PURINE METABOLISM	196883
KEGG PURINE METABOLISM	3614
KEGG PURINE METABOLISM	3615
KEGG PURINE METABOLISM	171568
KEGG PURINE METABOLISM	548644
KEGG PURINE METABOLISM	25885
KEGG PURINE METABOLISM	55703
KEGG PURINE METABOLISM	2983
KEGG PURINE METABOLISM	5313
KEGG PURINE METABOLISM	2984
KEGG PURINE METABOLISM	9583
KEGG PURINE METABOLISM	5315
KEGG PURINE METABOLISM	2982
KEGG PURINE METABOLISM	2987
KEGG PURINE METABOLISM	2986
KEGG PURINE METABOLISM	132
KEGG PURINE METABOLISM	3704
KEGG PURINE METABOLISM	9533
KEGG PURINE METABOLISM	646625
KEGG PURINE METABOLISM	56655
KEGG PURINE METABOLISM	6240
KEGG PURINE METABOLISM	661
KEGG PURINE METABOLISM	6241
KEGG PURINE METABOLISM	51251
KEGG PURINE METABOLISM	8622
KEGG PURINE METABOLISM	84265
KEGG PURINE METABOLISM	4907
KEGG PURINE METABOLISM	4882
KEGG PURINE METABOLISM	4881
KEGG PURINE METABOLISM	10846
KEGG PURINE METABOLISM	955
KEGG PURINE METABOLISM	954
KEGG PURINE METABOLISM	957
KEGG PURINE METABOLISM	956
KEGG PURINE METABOLISM	11164
KEGG PURINE METABOLISM	953
KEGG PURINE METABOLISM	5198
KEGG PURINE METABOLISM	93034
KEGG PURINE METABOLISM	353
KEGG PURINE METABOLISM	221823
KEGG PURINE METABOLISM	5471
KEGG PURINE METABOLISM	29922
KEGG PURINE METABOLISM	30833
KEGG PURINE METABOLISM	55821
KEGG PURINE METABOLISM	30834
KEGG PYRIMIDINE METABOLISM	22978
KEGG PYRIMIDINE METABOLISM	5436
KEGG PYRIMIDINE METABOLISM	5437
KEGG PYRIMIDINE METABOLISM	5434
KEGG PYRIMIDINE METABOLISM	5435
KEGG PYRIMIDINE METABOLISM	5438
KEGG PYRIMIDINE METABOLISM	5439
KEGG PYRIMIDINE METABOLISM	54107
KEGG PYRIMIDINE METABOLISM	7298
KEGG PYRIMIDINE METABOLISM	7296
KEGG PYRIMIDINE METABOLISM	10201
KEGG PYRIMIDINE METABOLISM	51082
KEGG PYRIMIDINE METABOLISM	87178
KEGG PYRIMIDINE METABOLISM	5440
KEGG PYRIMIDINE METABOLISM	1723
KEGG PYRIMIDINE METABOLISM	10714
KEGG PYRIMIDINE METABOLISM	5441
KEGG PYRIMIDINE METABOLISM	654364
KEGG PYRIMIDINE METABOLISM	23649
KEGG PYRIMIDINE METABOLISM	139596
KEGG PYRIMIDINE METABOLISM	124583
KEGG PYRIMIDINE METABOLISM	4833
KEGG PYRIMIDINE METABOLISM	4830
KEGG PYRIMIDINE METABOLISM	4831
KEGG PYRIMIDINE METABOLISM	4832
KEGG PYRIMIDINE METABOLISM	10623
KEGG PYRIMIDINE METABOLISM	10622
KEGG PYRIMIDINE METABOLISM	10621
KEGG PYRIMIDINE METABOLISM	318
KEGG PYRIMIDINE METABOLISM	5557
KEGG PYRIMIDINE METABOLISM	5558
KEGG PYRIMIDINE METABOLISM	8382
KEGG PYRIMIDINE METABOLISM	57804
KEGG PYRIMIDINE METABOLISM	1841
KEGG PYRIMIDINE METABOLISM	1503
KEGG PYRIMIDINE METABOLISM	5422
KEGG PYRIMIDINE METABOLISM	377841
KEGG PYRIMIDINE METABOLISM	5427
KEGG PYRIMIDINE METABOLISM	5424
KEGG PYRIMIDINE METABOLISM	5425
KEGG PYRIMIDINE METABOLISM	5426
KEGG PYRIMIDINE METABOLISM	790
KEGG PYRIMIDINE METABOLISM	129607
KEGG PYRIMIDINE METABOLISM	64425
KEGG PYRIMIDINE METABOLISM	84618
KEGG PYRIMIDINE METABOLISM	11128
KEGG PYRIMIDINE METABOLISM	1635
KEGG PYRIMIDINE METABOLISM	5431
KEGG PYRIMIDINE METABOLISM	5430
KEGG PYRIMIDINE METABOLISM	1633
KEGG PYRIMIDINE METABOLISM	5433
KEGG PYRIMIDINE METABOLISM	5432
KEGG PYRIMIDINE METABOLISM	83549
KEGG PYRIMIDINE METABOLISM	51733
KEGG PYRIMIDINE METABOLISM	10587
KEGG PYRIMIDINE METABOLISM	51727
KEGG PYRIMIDINE METABOLISM	51728
KEGG PYRIMIDINE METABOLISM	50484
KEGG PYRIMIDINE METABOLISM	4860
KEGG PYRIMIDINE METABOLISM	84172
KEGG PYRIMIDINE METABOLISM	151531
KEGG PYRIMIDINE METABOLISM	56474
KEGG PYRIMIDINE METABOLISM	246721
KEGG PYRIMIDINE METABOLISM	978
KEGG PYRIMIDINE METABOLISM	56953
KEGG PYRIMIDINE METABOLISM	1854
KEGG PYRIMIDINE METABOLISM	171568
KEGG PYRIMIDINE METABOLISM	54963
KEGG PYRIMIDINE METABOLISM	548644
KEGG PYRIMIDINE METABOLISM	25885
KEGG PYRIMIDINE METABOLISM	55703
KEGG PYRIMIDINE METABOLISM	9583
KEGG PYRIMIDINE METABOLISM	3704
KEGG PYRIMIDINE METABOLISM	9533
KEGG PYRIMIDINE METABOLISM	56655
KEGG PYRIMIDINE METABOLISM	6240
KEGG PYRIMIDINE METABOLISM	6241
KEGG PYRIMIDINE METABOLISM	661
KEGG PYRIMIDINE METABOLISM	51251
KEGG PYRIMIDINE METABOLISM	1807
KEGG PYRIMIDINE METABOLISM	1806
KEGG PYRIMIDINE METABOLISM	1890
KEGG PYRIMIDINE METABOLISM	7372
KEGG PYRIMIDINE METABOLISM	7371
KEGG PYRIMIDINE METABOLISM	84265
KEGG PYRIMIDINE METABOLISM	7083
KEGG PYRIMIDINE METABOLISM	4907
KEGG PYRIMIDINE METABOLISM	7084
KEGG PYRIMIDINE METABOLISM	7378
KEGG PYRIMIDINE METABOLISM	955
KEGG PYRIMIDINE METABOLISM	957
KEGG PYRIMIDINE METABOLISM	956
KEGG PYRIMIDINE METABOLISM	953
KEGG PYRIMIDINE METABOLISM	93034
KEGG PYRIMIDINE METABOLISM	30833
KEGG PYRIMIDINE METABOLISM	29922
KEGG PYRIMIDINE METABOLISM	50808
KEGG PYRIMIDINE METABOLISM	30834
KEGG GLUTATHIONE METABOLISM	6723
KEGG GLUTATHIONE METABOLISM	2678
KEGG GLUTATHIONE METABOLISM	2950
KEGG GLUTATHIONE METABOLISM	2953
KEGG GLUTATHIONE METABOLISM	2952
KEGG GLUTATHIONE METABOLISM	2954
KEGG GLUTATHIONE METABOLISM	50484
KEGG GLUTATHIONE METABOLISM	6611
KEGG GLUTATHIONE METABOLISM	5226
KEGG GLUTATHIONE METABOLISM	9446
KEGG GLUTATHIONE METABOLISM	221357
KEGG GLUTATHIONE METABOLISM	4258
