source	target
KEGG PURINE METABOLISM	NT5C2
KEGG PURINE METABOLISM	POLR2H
KEGG PURINE METABOLISM	ENPP3
KEGG PURINE METABOLISM	POLR2E
KEGG PURINE METABOLISM	POLR2F
KEGG PURINE METABOLISM	ENPP1
KEGG PURINE METABOLISM	XDH
KEGG PURINE METABOLISM	POLR2I
KEGG PURINE METABOLISM	POLR2J
KEGG PURINE METABOLISM	POLE3
KEGG PURINE METABOLISM	ADSS2
KEGG PURINE METABOLISM	PRPS2
KEGG PURINE METABOLISM	ADSL
KEGG PURINE METABOLISM	NME6
KEGG PURINE METABOLISM	POLR1D
KEGG PURINE METABOLISM	PNPT1
KEGG PURINE METABOLISM	POLR2K
KEGG PURINE METABOLISM	
KEGG PURINE METABOLISM	POLD3
KEGG PURINE METABOLISM	POLR2L
KEGG PURINE METABOLISM	AK1
KEGG PURINE METABOLISM	NME1-NME2
KEGG PURINE METABOLISM	AK2
KEGG PURINE METABOLISM	AK4
KEGG PURINE METABOLISM	POLA2
KEGG PURINE METABOLISM	CANT1
KEGG PURINE METABOLISM	AMPD1
KEGG PURINE METABOLISM	AMPD3
KEGG PURINE METABOLISM	AMPD2
KEGG PURINE METABOLISM	NME4
KEGG PURINE METABOLISM	GUCY2D
KEGG PURINE METABOLISM	NME1
KEGG PURINE METABOLISM	ATIC
KEGG PURINE METABOLISM	NME2
KEGG PURINE METABOLISM	DGUOK
KEGG PURINE METABOLISM	POLR3C
KEGG PURINE METABOLISM	NME3
KEGG PURINE METABOLISM	POLR3G
KEGG PURINE METABOLISM	POLR3F
KEGG PURINE METABOLISM	PRUNE1
KEGG PURINE METABOLISM	ADPRM
KEGG PURINE METABOLISM	PDE4B
KEGG PURINE METABOLISM	PDE4C
KEGG PURINE METABOLISM	PDE3B
KEGG PURINE METABOLISM	PDE4A
KEGG PURINE METABOLISM	NUDT2
KEGG PURINE METABOLISM	GMPR2
KEGG PURINE METABOLISM	PDE6C
KEGG PURINE METABOLISM	PDE6D
KEGG PURINE METABOLISM	PDE4D
KEGG PURINE METABOLISM	PDE6A
KEGG PURINE METABOLISM	PRIM1
KEGG PURINE METABOLISM	PRIM2
KEGG PURINE METABOLISM	AK5
KEGG PURINE METABOLISM	GMPR
KEGG PURINE METABOLISM	NME5
KEGG PURINE METABOLISM	PDE7B
KEGG PURINE METABOLISM	PDE5A
KEGG PURINE METABOLISM	POLD4
KEGG PURINE METABOLISM	GUCY1A2
KEGG PURINE METABOLISM	FHIT
KEGG PURINE METABOLISM	ADCY3
KEGG PURINE METABOLISM	ADCY2
KEGG PURINE METABOLISM	ADCY1
KEGG PURINE METABOLISM	POLA1
KEGG PURINE METABOLISM	PDE3A
KEGG PURINE METABOLISM	PDE2A
KEGG PURINE METABOLISM	PDE1C
KEGG PURINE METABOLISM	ADSS1
KEGG PURINE METABOLISM	ADA
KEGG PURINE METABOLISM	ENTPD8
KEGG PURINE METABOLISM	POLE2
KEGG PURINE METABOLISM	PDE8A
KEGG PURINE METABOLISM	PDE9A
KEGG PURINE METABOLISM	PDE1B
KEGG PURINE METABOLISM	NUDT9
KEGG PURINE METABOLISM	POLD1
KEGG PURINE METABOLISM	GDA
KEGG PURINE METABOLISM	POLD2
KEGG PURINE METABOLISM	POLE
KEGG PURINE METABOLISM	PDE6B
KEGG PURINE METABOLISM	PDE7A
KEGG PURINE METABOLISM	PRPS1
KEGG PURINE METABOLISM	POLR1E
KEGG PURINE METABOLISM	PAICS
KEGG PURINE METABOLISM	NT5C1A
KEGG PURINE METABOLISM	POLR2B
KEGG PURINE METABOLISM	POLR3A
KEGG PURINE METABOLISM	PDE6H
KEGG PURINE METABOLISM	POLR2A
KEGG PURINE METABOLISM	PDE6G
KEGG PURINE METABOLISM	POLR2D
KEGG PURINE METABOLISM	DCK
KEGG PURINE METABOLISM	POLR2C
KEGG PURINE METABOLISM	ADCY8
KEGG PURINE METABOLISM	ADCY9
KEGG PURINE METABOLISM	ADCY6
KEGG PURINE METABOLISM	AK7
KEGG PURINE METABOLISM	ADCY7
KEGG PURINE METABOLISM	ADCY5
KEGG PURINE METABOLISM	GMPS
KEGG PURINE METABOLISM	ADCY10
KEGG PURINE METABOLISM	POLR3K
KEGG PURINE METABOLISM	POLR1B
KEGG PURINE METABOLISM	PNP
KEGG PURINE METABOLISM	RRM2B
KEGG PURINE METABOLISM	PDE1A
KEGG PURINE METABOLISM	POLR2J2
KEGG PURINE METABOLISM	HPRT1
KEGG PURINE METABOLISM	GART
KEGG PURINE METABOLISM	PAPSS1
KEGG PURINE METABOLISM	PAPSS2
KEGG PURINE METABOLISM	NT5M
KEGG PURINE METABOLISM	ADCY4
KEGG PURINE METABOLISM	IMPDH1
KEGG PURINE METABOLISM	IMPDH2
KEGG PURINE METABOLISM	POLR3H
KEGG PURINE METABOLISM	POLR2J3
KEGG PURINE METABOLISM	POLR1A
KEGG PURINE METABOLISM	POLR3B
KEGG PURINE METABOLISM	GUCY1B1
KEGG PURINE METABOLISM	PKLR
KEGG PURINE METABOLISM	GUCY2C
KEGG PURINE METABOLISM	ENTPD4
KEGG PURINE METABOLISM	PKM
KEGG PURINE METABOLISM	GUCY1A1
KEGG PURINE METABOLISM	GUK1
KEGG PURINE METABOLISM	GUCY2F
KEGG PURINE METABOLISM	ADK
KEGG PURINE METABOLISM	ITPA
KEGG PURINE METABOLISM	POLR1C
KEGG PURINE METABOLISM	URAD
KEGG PURINE METABOLISM	POLE4
KEGG PURINE METABOLISM	RRM1
KEGG PURINE METABOLISM	POLR3D
KEGG PURINE METABOLISM	RRM2
KEGG PURINE METABOLISM	NT5C3A
KEGG PURINE METABOLISM	PDE8B
KEGG PURINE METABOLISM	POLR3GL
KEGG PURINE METABOLISM	NT5E
KEGG PURINE METABOLISM	NPR2
KEGG PURINE METABOLISM	NPR1
KEGG PURINE METABOLISM	PDE10A
KEGG PURINE METABOLISM	ENTPD6
KEGG PURINE METABOLISM	ENTPD2
KEGG PURINE METABOLISM	ENTPD5
KEGG PURINE METABOLISM	ENTPD3
KEGG PURINE METABOLISM	NUDT5
KEGG PURINE METABOLISM	ENTPD1
KEGG PURINE METABOLISM	PFAS
KEGG PURINE METABOLISM	NT5C1B
KEGG PURINE METABOLISM	APRT
KEGG PURINE METABOLISM	PRPS1L1
KEGG PURINE METABOLISM	PPAT
KEGG PURINE METABOLISM	NME7
KEGG PURINE METABOLISM	NT5C
KEGG PURINE METABOLISM	ALLC
KEGG PURINE METABOLISM	ZNRD1
KEGG PYRIMIDINE METABOLISM	NT5C2
KEGG PYRIMIDINE METABOLISM	POLR2G
KEGG PYRIMIDINE METABOLISM	POLR2H
KEGG PYRIMIDINE METABOLISM	POLR2E
KEGG PYRIMIDINE METABOLISM	POLR2F
KEGG PYRIMIDINE METABOLISM	POLR2I
KEGG PYRIMIDINE METABOLISM	POLR2J
KEGG PYRIMIDINE METABOLISM	POLE3
KEGG PYRIMIDINE METABOLISM	TYMS
KEGG PYRIMIDINE METABOLISM	TXNRD1
KEGG PYRIMIDINE METABOLISM	NME6
KEGG PYRIMIDINE METABOLISM	POLR1D
KEGG PYRIMIDINE METABOLISM	PNPT1
KEGG PYRIMIDINE METABOLISM	POLR2K
KEGG PYRIMIDINE METABOLISM	DHODH
KEGG PYRIMIDINE METABOLISM	POLD3
KEGG PYRIMIDINE METABOLISM	POLR2L
KEGG PYRIMIDINE METABOLISM	NME1-NME2
KEGG PYRIMIDINE METABOLISM	POLA2
KEGG PYRIMIDINE METABOLISM	UPRT
KEGG PYRIMIDINE METABOLISM	CANT1
KEGG PYRIMIDINE METABOLISM	NME4
KEGG PYRIMIDINE METABOLISM	NME1
KEGG PYRIMIDINE METABOLISM	NME2
KEGG PYRIMIDINE METABOLISM	NME3
KEGG PYRIMIDINE METABOLISM	POLR3C
KEGG PYRIMIDINE METABOLISM	POLR3G
KEGG PYRIMIDINE METABOLISM	POLR3F
KEGG PYRIMIDINE METABOLISM	NUDT2
KEGG PYRIMIDINE METABOLISM	PRIM1
KEGG PYRIMIDINE METABOLISM	PRIM2
KEGG PYRIMIDINE METABOLISM	NME5
KEGG PYRIMIDINE METABOLISM	POLD4
KEGG PYRIMIDINE METABOLISM	DTYMK
KEGG PYRIMIDINE METABOLISM	CTPS1
KEGG PYRIMIDINE METABOLISM	POLA1
KEGG PYRIMIDINE METABOLISM	ENTPD8
KEGG PYRIMIDINE METABOLISM	POLE2
KEGG PYRIMIDINE METABOLISM	POLD1
KEGG PYRIMIDINE METABOLISM	POLD2
KEGG PYRIMIDINE METABOLISM	POLE
KEGG PYRIMIDINE METABOLISM	CAD
KEGG PYRIMIDINE METABOLISM	CMPK2
KEGG PYRIMIDINE METABOLISM	POLR1E
KEGG PYRIMIDINE METABOLISM	NT5C1A
KEGG PYRIMIDINE METABOLISM	POLR3A
KEGG PYRIMIDINE METABOLISM	DCTD
KEGG PYRIMIDINE METABOLISM	POLR2B
KEGG PYRIMIDINE METABOLISM	POLR2A
KEGG PYRIMIDINE METABOLISM	DCK
KEGG PYRIMIDINE METABOLISM	POLR2D
KEGG PYRIMIDINE METABOLISM	POLR2C
KEGG PYRIMIDINE METABOLISM	UCK1
KEGG PYRIMIDINE METABOLISM	UPB1
KEGG PYRIMIDINE METABOLISM	TXNRD2
KEGG PYRIMIDINE METABOLISM	CMPK1
KEGG PYRIMIDINE METABOLISM	POLR3K
KEGG PYRIMIDINE METABOLISM	RRM2B
KEGG PYRIMIDINE METABOLISM	PNP
KEGG PYRIMIDINE METABOLISM	POLR1B
KEGG PYRIMIDINE METABOLISM	UPP2
KEGG PYRIMIDINE METABOLISM	CTPS2
KEGG PYRIMIDINE METABOLISM	POLR2J2
KEGG PYRIMIDINE METABOLISM	CDA
KEGG PYRIMIDINE METABOLISM	NT5M
KEGG PYRIMIDINE METABOLISM	DUT
KEGG PYRIMIDINE METABOLISM	POLR3H
KEGG PYRIMIDINE METABOLISM	UCKL1
KEGG PYRIMIDINE METABOLISM	POLR2J3
KEGG PYRIMIDINE METABOLISM	POLR1A
KEGG PYRIMIDINE METABOLISM	POLR3B
KEGG PYRIMIDINE METABOLISM	ENTPD4
KEGG PYRIMIDINE METABOLISM	ITPA
KEGG PYRIMIDINE METABOLISM	POLR1C
KEGG PYRIMIDINE METABOLISM	POLE4
KEGG PYRIMIDINE METABOLISM	RRM1
KEGG PYRIMIDINE METABOLISM	RRM2
KEGG PYRIMIDINE METABOLISM	POLR3D
KEGG PYRIMIDINE METABOLISM	NT5C3A
KEGG PYRIMIDINE METABOLISM	DPYS
KEGG PYRIMIDINE METABOLISM	DPYD
KEGG PYRIMIDINE METABOLISM	TYMP
KEGG PYRIMIDINE METABOLISM	UMPS
KEGG PYRIMIDINE METABOLISM	UCK2
KEGG PYRIMIDINE METABOLISM	POLR3GL
KEGG PYRIMIDINE METABOLISM	TK1
KEGG PYRIMIDINE METABOLISM	NT5E
KEGG PYRIMIDINE METABOLISM	TK2
KEGG PYRIMIDINE METABOLISM	UPP1
KEGG PYRIMIDINE METABOLISM	ENTPD6
KEGG PYRIMIDINE METABOLISM	ENTPD5
KEGG PYRIMIDINE METABOLISM	ENTPD3
KEGG PYRIMIDINE METABOLISM	ENTPD1
KEGG PYRIMIDINE METABOLISM	NT5C1B
KEGG PYRIMIDINE METABOLISM	NT5C
KEGG PYRIMIDINE METABOLISM	NME7
KEGG PYRIMIDINE METABOLISM	AK3
KEGG PYRIMIDINE METABOLISM	ZNRD1
KEGG GLUTATHIONE METABOLISM	SRM
KEGG GLUTATHIONE METABOLISM	GGT1
KEGG GLUTATHIONE METABOLISM	GSTP1
KEGG GLUTATHIONE METABOLISM	GSTT2
KEGG GLUTATHIONE METABOLISM	GSTT1
KEGG GLUTATHIONE METABOLISM	GSTZ1
KEGG GLUTATHIONE METABOLISM	RRM2B
KEGG GLUTATHIONE METABOLISM	SMS
KEGG GLUTATHIONE METABOLISM	PGD
KEGG GLUTATHIONE METABOLISM	GSTO1
KEGG GLUTATHIONE METABOLISM	GSTA5
KEGG GLUTATHIONE METABOLISM	MGST2
KEGG GLUTATHIONE METABOLISM	LAP3
KEGG GLUTATHIONE METABOLISM	MGST1
KEGG GLUTATHIONE METABOLISM	MGST3
KEGG GLUTATHIONE METABOLISM	GSTA3
KEGG GLUTATHIONE METABOLISM	GSTM1
KEGG GLUTATHIONE METABOLISM	GPX7
KEGG GLUTATHIONE METABOLISM	GSTA4
KEGG GLUTATHIONE METABOLISM	GPX6
KEGG GLUTATHIONE METABOLISM	GSTM4
KEGG GLUTATHIONE METABOLISM	GGCT
KEGG GLUTATHIONE METABOLISM	GSTM3
KEGG GLUTATHIONE METABOLISM	GSTM2
KEGG GLUTATHIONE METABOLISM	GSTM5
KEGG GLUTATHIONE METABOLISM	GSTA1
KEGG GLUTATHIONE METABOLISM	GSTA2
KEGG GLUTATHIONE METABOLISM	GSR
KEGG GLUTATHIONE METABOLISM	GSS
KEGG GLUTATHIONE METABOLISM	RRM1
KEGG GLUTATHIONE METABOLISM	RRM2
KEGG GLUTATHIONE METABOLISM	GCLC
KEGG GLUTATHIONE METABOLISM	GSTK1
KEGG GLUTATHIONE METABOLISM	GPX5
KEGG GLUTATHIONE METABOLISM	TXNDC12
KEGG GLUTATHIONE METABOLISM	GPX1
KEGG GLUTATHIONE METABOLISM	GPX2
KEGG GLUTATHIONE METABOLISM	GPX3
KEGG GLUTATHIONE METABOLISM	IDH2
KEGG GLUTATHIONE METABOLISM	GPX4
