id	type
GO:0006915	Process
GO:0006954	Process
GO:0006974	Process
GO:0034599	Process
26574	Gene
25	Gene
29	Gene
10449	Gene
340485	Gene
22985	Gene
57007	Gene
70	Gene
87	Gene
88	Gene
89	Gene
81	Gene
90	Gene
91	Gene
130399	Gene
100	Gene
102	Gene
6868	Gene
101	Gene
80070	Gene
54507	Gene
103	Gene
104	Gene
55811	Gene
116	Gene
9370	Gene
133	Gene
23394	Gene
134	Gene
135	Gene
148	Gene
64782	Gene
116986	Gene
192670	Gene
183	Gene
186	Gene
54806	Gene
196	Gene
199	Gene
9131	Gene
84883	Gene
150209	Gene
9447	Gene
9255	Gene
7965	Gene
23746	Gene
9590	Gene
11214	Gene
231	Gene
8644	Gene
207	Gene
84335	Gene
208	Gene
64400	Gene
213	Gene
8854	Gene
220	Gene
238	Gene
8846	Gene
239	Gene
247	Gene
115701	Gene
257	Gene
60529	Gene
55626	Gene
347902	Gene
284	Gene
51378	Gene
51129	Gene
23141	Gene
27063	Gene
81573	Gene
26287	Gene
196527	Gene
10541	Gene
301	Gene
307	Gene
308	Gene
309	Gene
317	Gene
322	Gene
323	Gene
324	Gene
328	Gene
51107	Gene
83464	Gene
8539	Gene
51074	Gene
333	Gene
348	Gene
350	Gene
351	Gene
26060	Gene
358	Gene
367	Gene
369	Gene
9870	Gene
378	Gene
382	Gene
384	Gene
79658	Gene
396	Gene
9138	Gene
9826	Gene
23365	Gene
27237	Gene
9828	Gene
23370	Gene
128272	Gene
9181	Gene
26084	Gene
50650	Gene
50649	Gene
7984	Gene
9459	Gene
8874	Gene
23229	Gene
23204	Gene
10550	Gene
9915	Gene
408	Gene
409	Gene
56624	Gene
429	Gene
40	Gene
440	Gene
55210	Gene
79915	Gene
85300	Gene
1386	Gene
467	Gene
468	Gene
22809	Gene
22926	Gene
64422	Gene
84971	Gene
9474	Gene
10533	Gene
472	Gene
1822	Gene
474	Gene
475	Gene
487	Gene
93974	Gene
6790	Gene
9212	Gene
57099	Gene
551	Gene
8312	Gene
558	Gene
566	Gene
2683	Gene
9577	Gene
23621	Gene
572	Gene
573	Gene
9531	Gene
9530	Gene
9529	Gene
7917	Gene
578	Gene
580	Gene
56751	Gene
581	Gene
27113	Gene
55973	Gene
10134	Gene
9564	Gene
8915	Gene
64919	Gene
596	Gene
597	Gene
598	Gene
10017	Gene
10018	Gene
83596	Gene
23786	Gene
79370	Gene
440603	Gene
599	Gene
602	Gene
604	Gene
9275	Gene
9274	Gene
9774	Gene
624	Gene
627	Gene
8678	Gene
84707	Gene
27018	Gene
51283	Gene
80823	Gene
637	Gene
638	Gene
274	Gene
329	Gene
330	Gene
332	Gene
57448	Gene
79444	Gene
112401	Gene
10904	Gene
414899	Gene
282991	Gene
90427	Gene
27302	Gene
9210	Gene
650	Gene
651	Gene
652	Gene
653	Gene
654	Gene
655	Gene
353500	Gene
656	Gene
658	Gene
659	Gene
660	Gene
662	Gene
663	Gene
664	Gene
665	Gene
149428	Gene
666	Gene
673	Gene
221927	Gene
672	Gene
675	Gene
25855	Gene
9024	Gene
685	Gene
694	Gene
7832	Gene
695	Gene
699	Gene
701	Gene
83636	Gene
10438	Gene
708	Gene
285237	Gene
