source	target
KEGG RNA DEGRADATION	10200
KEGG RNA DEGRADATION	23517
KEGG RNA DEGRADATION	219988
KEGG RNA DEGRADATION	54512
KEGG RNA DEGRADATION	87178
KEGG RNA DEGRADATION	23404
KEGG RNA DEGRADATION	6499
KEGG RNA DEGRADATION	22803
KEGG RNA DEGRADATION	56915
KEGG RNA DEGRADATION	9652
KEGG RNA DEGRADATION	11157
KEGG RNA DEGRADATION	51010
KEGG RNA DEGRADATION	51013
KEGG RNA DEGRADATION	23644
KEGG RNA DEGRADATION	4849
KEGG RNA DEGRADATION	4848
KEGG RNA DEGRADATION	54464
KEGG RNA DEGRADATION	5073
KEGG RNA DEGRADATION	10438
KEGG RNA DEGRADATION	10914
KEGG RNA DEGRADATION	1656
KEGG RNA DEGRADATION	55802
KEGG RNA DEGRADATION	84186
KEGG RNA DEGRADATION	2023
KEGG RNA DEGRADATION	4850
KEGG RNA DEGRADATION	29883
KEGG RNA DEGRADATION	11044
KEGG RNA DEGRADATION	11340
KEGG RNA DEGRADATION	3313
KEGG RNA DEGRADATION	27257
KEGG RNA DEGRADATION	246175
KEGG RNA DEGRADATION	118460
KEGG RNA DEGRADATION	51690
KEGG RNA DEGRADATION	51691
KEGG RNA DEGRADATION	9125
KEGG RNA DEGRADATION	25804
KEGG RNA DEGRADATION	23019
KEGG RNA DEGRADATION	25904
KEGG RNA DEGRADATION	23016
KEGG RNA DEGRADATION	27258
KEGG RNA DEGRADATION	22894
KEGG RNA DEGRADATION	2027
KEGG RNA DEGRADATION	2026
KEGG RNA DEGRADATION	57472
KEGG RNA DEGRADATION	57819
KEGG RNA DEGRADATION	167227
KEGG RNA DEGRADATION	3329
KEGG RNA DEGRADATION	5393
KEGG RNA DEGRADATION	5394
KEGG RNA DEGRADATION	80153
KEGG RNA DEGRADATION	28960
KEGG RNA DEGRADATION	56903
KEGG RNA DEGRADATION	196513
KEGG RNA DEGRADATION	80349
KEGG RNA DEGRADATION	9337
KEGG RNA DEGRADATION	64895
KEGG DNA REPLICATION	1763
KEGG DNA REPLICATION	56655
KEGG DNA REPLICATION	54107
KEGG DNA REPLICATION	5557
KEGG DNA REPLICATION	5558
KEGG DNA REPLICATION	57804
KEGG DNA REPLICATION	5984
KEGG DNA REPLICATION	5985
KEGG DNA REPLICATION	6117
KEGG DNA REPLICATION	5422
KEGG DNA REPLICATION	6119
KEGG DNA REPLICATION	10714
KEGG DNA REPLICATION	79621
KEGG DNA REPLICATION	6118
KEGG DNA REPLICATION	5111
KEGG DNA REPLICATION	29935
KEGG DNA REPLICATION	246243
KEGG DNA REPLICATION	84153
KEGG DNA REPLICATION	4173
KEGG DNA REPLICATION	5427
KEGG DNA REPLICATION	4172
KEGG DNA REPLICATION	4175
KEGG DNA REPLICATION	4174
KEGG DNA REPLICATION	23649
KEGG DNA REPLICATION	4176
KEGG DNA REPLICATION	5424
KEGG DNA REPLICATION	5425
KEGG DNA REPLICATION	10535
KEGG DNA REPLICATION	5426
KEGG DNA REPLICATION	5981
KEGG DNA REPLICATION	5983
KEGG DNA REPLICATION	5982
KEGG DNA REPLICATION	4171
KEGG DNA REPLICATION	2237
KEGG DNA REPLICATION	3978
KEGG DNA REPLICATION	6742
KEGG MISMATCH REPAIR	27030
KEGG MISMATCH REPAIR	5424
KEGG MISMATCH REPAIR	4292
KEGG MISMATCH REPAIR	5425
KEGG MISMATCH REPAIR	5981
KEGG MISMATCH REPAIR	4436
KEGG MISMATCH REPAIR	5983
KEGG MISMATCH REPAIR	5982
KEGG MISMATCH REPAIR	4437
KEGG MISMATCH REPAIR	57804
KEGG MISMATCH REPAIR	5395
KEGG MISMATCH REPAIR	5984
KEGG MISMATCH REPAIR	3978
KEGG MISMATCH REPAIR	5985
KEGG MISMATCH REPAIR	6117
KEGG MISMATCH REPAIR	2956
KEGG MISMATCH REPAIR	6119
KEGG MISMATCH REPAIR	10714
KEGG MISMATCH REPAIR	6118
KEGG MISMATCH REPAIR	5111
KEGG MISMATCH REPAIR	6742
KEGG MISMATCH REPAIR	29935
KEGG MISMATCH REPAIR	9156
KEGG HOMOLOGOUS RECOMBINATION	8438
KEGG HOMOLOGOUS RECOMBINATION	7517
KEGG HOMOLOGOUS RECOMBINATION	5890
KEGG HOMOLOGOUS RECOMBINATION	4683
KEGG HOMOLOGOUS RECOMBINATION	5893
KEGG HOMOLOGOUS RECOMBINATION	5892
KEGG HOMOLOGOUS RECOMBINATION	7516
KEGG HOMOLOGOUS RECOMBINATION	57804
KEGG HOMOLOGOUS RECOMBINATION	641
KEGG HOMOLOGOUS RECOMBINATION	146956
KEGG HOMOLOGOUS RECOMBINATION	6117
KEGG HOMOLOGOUS RECOMBINATION	5888
KEGG HOMOLOGOUS RECOMBINATION	10714
KEGG HOMOLOGOUS RECOMBINATION	10111
KEGG HOMOLOGOUS RECOMBINATION	6119
KEGG HOMOLOGOUS RECOMBINATION	6118
KEGG HOMOLOGOUS RECOMBINATION	29935
KEGG HOMOLOGOUS RECOMBINATION	5889
KEGG HOMOLOGOUS RECOMBINATION	4361
KEGG HOMOLOGOUS RECOMBINATION	675
KEGG HOMOLOGOUS RECOMBINATION	5424
KEGG HOMOLOGOUS RECOMBINATION	5425
KEGG HOMOLOGOUS RECOMBINATION	80198
KEGG HOMOLOGOUS RECOMBINATION	7156
KEGG HOMOLOGOUS RECOMBINATION	25788
KEGG HOMOLOGOUS RECOMBINATION	7979
KEGG HOMOLOGOUS RECOMBINATION	8940
KEGG HOMOLOGOUS RECOMBINATION	6742
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10344
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8741
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3082
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6349
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8742
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	943
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8743
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6347
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	944
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8744
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6348
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8740
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50615
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6351
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6357
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55540
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6356
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6355
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6354
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	608
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8600
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	51561
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1489
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2321
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6358
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2322
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6359
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2323
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2324
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50616
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	939
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6362
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6361
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6364
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6363
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6366
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6368
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6367
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7173
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6360
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1437
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1436
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	115650
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3597
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1435
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5618
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5617
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8764
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	338376
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6369
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1439
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1438
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7042
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7040
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6376
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	149233
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6375
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6374
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6373
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6372
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	729230
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6370
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1440
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7048
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7046
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4233
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7043
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2833
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1441
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23529
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	27190
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	6387
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2826
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9180
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2829
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	50604
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	83729
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	80301
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3627
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4352
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10850
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3625
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3626
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	163702
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3624
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4254
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	55504
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7852
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7850
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3815
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	970
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4982
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3953
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10663
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	84957
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3952
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	29949
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4049
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3605
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3606
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3604
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5008
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8200
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3601
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3600
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10563
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4050
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8718
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4055
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	58985
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	959
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	958
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2690
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8807
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	4283
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	23765
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2688
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3976
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	2689
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3977
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	8809
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7292
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7293
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1524
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	414062
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	5159
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1896
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	9547
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	3552
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10913
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	11009
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1270
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	1271
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10673
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	56034
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7422
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7424
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	7423
KEGG CYTOKINE CYTOKINE RECEPTOR INTERACTION	10803
