ensembl_gene_id	hgnc_symbol	entrezgene_id
7	ENSG00000081237	PTPRC	5788
8	ENSG00000143185	XCL2	6846
10	ENSG00000163435	ELF3	1999
11	ENSG00000143184	XCL1	6375
13	ENSG00000163485	ADORA1	134
16	ENSG00000133048	CHI3L1	1116
18	ENSG00000187554	TLR5	7100
20	ENSG00000171608	PIK3CD	5293
23	ENSG00000072694	FCGR2B	2213
24	ENSG00000188784	PLA2G2E	30814
25	ENSG00000188257	PLA2G2A	5320
26	ENSG00000117215	PLA2G2D	26279
27	ENSG00000142798	HSPG2	3339
30	ENSG00000178585	CTNNBIP1	56998
32	ENSG00000135744	AGT	183
42	ENSG00000213088	ACKR1	2532
46	ENSG00000162711	NLRP3	114548
48	ENSG00000160712	IL6R	3570
50	ENSG00000134216	CHIA	27159
52	ENSG00000162889	MAPKAPK2	9261
55	ENSG00000163220	S100A9	6280
58	ENSG00000163221	S100A12	6283
60	ENSG00000143546	S100A8	6279
62	ENSG00000136634	IL10	3586
65	ENSG00000162891	IL20	50604
66	ENSG00000117586	TNFSF4	7292
69	ENSG00000177628	GBA	2629
74	ENSG00000184599	TAFA3	284467
75	ENSG00000158769	F11R	50848
76	ENSG00000282608	ADORA3	140
77	ENSG00000121933	TMIGD3	57413
84	ENSG00000132703	APCS	325
87	ENSG00000132693	CRP	1401
93	ENSG00000117525	F3	2152
101	ENSG00000122420	PTGFR	5737
102	ENSG00000050628	PTGER3	5733
110	ENSG00000169403	PTAFR	5724
113	ENSG00000186827	TNFRSF4	7293
114	ENSG00000163154	TNFAIP8L2	79626
117	ENSG00000007908	SELE	6401
123	ENSG00000151651	ADAM8	101
128	ENSG00000169129	AFAP1L2	84632
131	ENSG00000165471	MBL2	4153
132	ENSG00000107485	GATA3	2625
134	ENSG00000077150	NFKB2	4791
136	ENSG00000107874	CUEDC2	79004
142	ENSG00000095585	BLNK	29760
143	ENSG00000012779	ALOX5	240
147	ENSG00000213341	CHUK	1147
149	ENSG00000134460	IL2RA	3559
152	ENSG00000134954	ETS1	2113
154	ENSG00000137757	CASP5	838
159	ENSG00000137752	CASP1	834
167	ENSG00000150782	IL18	3606
171	ENSG00000126432	PRDX5	25824
173	ENSG00000026508	CD44	960
178	ENSG00000173039	RELA	5970
182	ENSG00000148926	ADM	133
184	ENSG00000242689	CNTF	1270
186	ENSG00000254647	INS	3630
187	ENSG00000086991	NOX4	50507
188	ENSG00000110492	MDK	4192
192	ENSG00000196954	CASP4	837
195	ENSG00000180210	F2	2147
197	ENSG00000204403	CASP12	100506742
202	ENSG00000025434	NR1H3	10062
204	ENSG00000118137	APOA1	335
205	ENSG00000023445	BIRC3	330
208	ENSG00000170322	NFRKB	4798
209	ENSG00000110330	BIRC2	329
212	ENSG00000118113	MMP8	4317
216	ENSG00000177830	CHID1	66005
218	ENSG00000149968	MMP3	4314
223	ENSG00000167346	MMP26	56547
226	ENSG00000013725	CD6	923
230	ENSG00000172243	CLEC7A	64581
232	ENSG00000017427	IGF1	3479
235	ENSG00000012504	NR1H4	9971
238	ENSG00000139187	KLRG1	10219
239	ENSG00000090382	LYZ	4069
240	ENSG00000110921	MVK	4598
244	ENSG00000111537	IFNG	3458
248	ENSG00000183735	TBK1	29110
249	ENSG00000174600	CMKLR1	1240
250	ENSG00000110944	IL23A	51561
253	ENSG00000067182	TNFRSF1A	7132
258	ENSG00000171860	C3AR1	719
261	ENSG00000177119	ANO6	196527
276	ENSG00000172458	IL17D	53342
282	ENSG00000189403	HMGB1	3146
286	ENSG00000102699	PARP4	143
291	ENSG00000170345	FOS	2353
295	ENSG00000100902	PSMA6	5687
297	ENSG00000119714	GPR68	8111
300	ENSG00000100906	NFKBIA	4792
303	ENSG00000214943	GPR33	2856
310	ENSG00000100968	NFATC4	4776
311	ENSG00000080815	PSEN1	5663
312	ENSG00000213903	LTB4R	1241
315	ENSG00000213906	LTB4R2	56413
316	ENSG00000165379	LRFN5	145581
317	ENSG00000092009	CMA1	1215
318	ENSG00000168398	BDKRB2	624
320	ENSG00000168229	PTGDR	5729
322	ENSG00000125384	PTGER2	5732
324	ENSG00000198535	C2CD4A	145741
325	ENSG00000205502	C2CD4B	388125
326	ENSG00000092531	SNAP23	8773
330	ENSG00000131871	SELENOS	55829
332	ENSG00000069667	RORA	6095
335	ENSG00000172349	IL16	3603
341	ENSG00000138623	SEMA7A	8482
345	ENSG00000137801	THBS1	7057
