SYMBOL	GO.TERM	entrezgene_id
AATF	GO:0006974	26574
ABL1	GO:0006974	25
ABRAXAS1	GO:0006974	84142
ACD	GO:0006974	65057
ACER2	GO:0006974	340485
ACKR3	GO:0006974	57007
ACTL6A	GO:0006974	86
ACTR2	GO:0006974	10097
ACTR5	GO:0006974	79913
ACTR8	GO:0006974	93973
ADPRHL2	GO:0006974	54936
AEN	GO:0006974	64782
AKT1	GO:0006974	207
AKTIP	GO:0006974	64400
ALKBH1	GO:0006974	8846
ALKBH2	GO:0006974	121642
ALKBH3	GO:0006974	221120
ALKBH5	GO:0006974	54890
ALKBH7	GO:0006974	84266
ALKBH8	GO:0006974	91801
ANKLE1	GO:0006974	126549
ANKRD1	GO:0006974	27063
AP5S1	GO:0006974	55317
AP5Z1	GO:0006974	9907
APBB1	GO:0006974	322
APC	GO:0006974	324
APEX1	GO:0006974	328
APEX2	GO:0006974	27301
APLF	GO:0006974	200558
APTX	GO:0006974	54840
AQR	GO:0006974	9716
ARID3A	GO:0006974	1820
ARMT1	GO:0006974	79624
ASCC1	GO:0006974	51008
ASCC2	GO:0006974	84164
ASCC3	GO:0006974	10973
ASF1A	GO:0006974	25842
ASH2L	GO:0006974	9070
ASTE1	GO:0006974	28990
ATAD5	GO:0006974	79915
ATF2	GO:0006974	1386
ATM	GO:0006974	472
ATMIN	GO:0006974	23300
ATP23	GO:0006974	91419
ATR	GO:0006974	545
ATRIP	GO:0006974	84126
ATRX	GO:0006974	546
ATXN3	GO:0006974	4287
AUNIP	GO:0006974	79000
AURKA	GO:0006974	6790
AXIN2	GO:0006974	8313
BABAM1	GO:0006974	29086
BABAM2	GO:0006974	9577
BACH1	GO:0006974	571
BAD	GO:0006974	572
BAG6	GO:0006974	7917
BAK1	GO:0006974	578
BARD1	GO:0006974	580
BATF	GO:0006974	10538
BAX	GO:0006974	581
BAZ1B	GO:0006974	9031
BCCIP	GO:0006974	56647
BCL2	GO:0006974	596
BCL2A1	GO:0006974	597
BCL2L1	GO:0006974	598
BCL2L10	GO:0006974	10017
BCL2L11	GO:0006974	10018
BCL2L12	GO:0006974	83596
BCL2L2	GO:0006974	599
BCL3	GO:0006974	602
BCL6	GO:0006974	604
BCLAF1	GO:0006974	9774
BID	GO:0006974	637
BIVM	GO:0006974	54841
BIVM-ERCC5	GO:0006974	NA
BLM	GO:0006974	641
BOD1L1	GO:0006974	259282
BOK	GO:0006974	666
BRAT1	GO:0006974	221927
BRCA1	GO:0006974	672
BRCA2	GO:0006974	675
BRCC3	GO:0006974	79184
BRD4	GO:0006974	23476
BRIP1	GO:0006974	83990
BRSK1	GO:0006974	84446
BTG2	GO:0006974	7832
C9orf116	GO:0006974	138162
CARM1	GO:0006974	10498
CASP2	GO:0006974	835
CASP3	GO:0006974	836
CASP9	GO:0006974	842
CBL	GO:0006974	867
CBX1	GO:0006974	10951
CBX3	GO:0006974	11335
CBX5	GO:0006974	23468
CBX8	GO:0006974	57332
CCAR2	GO:0006974	57805
CCDC13	GO:0006974	152206
CCDC155	GO:0006974	147872
CCNB1	GO:0006974	891
CCND1	GO:0006974	595
CCNH	GO:0006974	902
CCNK	GO:0006974	8812
CD44	GO:0006974	960
CD74	GO:0006974	972
CDC14B	GO:0006974	8555
CDC25C	GO:0006974	995
CDC45	GO:0006974	8318
CDC5L	GO:0006974	988
CDC7	GO:0006974	8317
CDCA5	GO:0006974	113130
CDIP1	GO:0006974	29965
CDK1	GO:0006974	983
CDK2	GO:0006974	1017
CDK3	GO:0006974	1018
CDK5RAP3	GO:0006974	80279
CDK7	GO:0006974	1022
CDK9	GO:0006974	1025
CDKN1A	GO:0006974	1026
CDKN1B	GO:0006974	1027
CDKN2AIP	GO:0006974	55602
CDKN2D	GO:0006974	1032
CEBPG	GO:0006974	1054
CENPS	GO:0006974	378708
CENPX	GO:0006974	201254
CEP164	GO:0006974	22897
CEP63	GO:0006974	80254
CETN1	GO:0006974	1068
CETN2	GO:0006974	1069
CFAP410	GO:0006974	755
CGAS	GO:0006974	115004
CHAF1A	GO:0006974	10036
CHAF1B	GO:0006974	8208
CHCHD6	GO:0006974	84303
CHD1L	GO:0006974	9557
CHEK1	GO:0006974	1111
CHEK2	GO:0006974	11200
CHRNA4	GO:0006974	1137
CIB1	GO:0006974	10519
CIDEB	GO:0006974	27141
CINP	GO:0006974	51550
CLOCK	GO:0006974	9575
CLSPN	GO:0006974	63967
CLU	GO:0006974	1191
CNOT1	GO:0006974	23019
CNOT10	GO:0006974	25904
CNOT11	GO:0006974	55571
CNOT2	GO:0006974	4848
CNOT3	GO:0006974	4849
CNOT4	GO:0006974	4850
CNOT6	GO:0006974	57472
CNOT6L	GO:0006974	246175
CNOT7	GO:0006974	29883
CNOT8	GO:0006974	9337
CNOT9	GO:0006974	9125
COPS2	GO:0006974	9318
COPS3	GO:0006974	8533
COPS4	GO:0006974	51138
COPS5	GO:0006974	10987
COPS6	GO:0006974	10980
COPS7A	GO:0006974	50813
COPS7B	GO:0006974	64708
COPS8	GO:0006974	10920
CRADD	GO:0006974	8738
CRIP1	GO:0006974	1396
CRY1	GO:0006974	1407
CSNK1E	GO:0006974	1454
CTC1	GO:0006974	80169
CTLA4	GO:0006974	1493
CUL4A	GO:0006974	8451
CUL4B	GO:0006974	8450
CXCL12	GO:0006974	6387
CYREN	GO:0006974	78996
DCLRE1A	GO:0006974	9937
DCLRE1B	GO:0006974	64858
DCLRE1C	GO:0006974	64421
DDB1	GO:0006974	1642
DDB2	GO:0006974	1643
DDIAS	GO:0006974	220042
DDIT3	GO:0006974	1649
DDIT4	GO:0006974	54541
DDX1	GO:0006974	1653
DDX11	GO:0006974	1663
DDX39B	GO:0006974	7919
DDX5	GO:0006974	1655
DEK	GO:0006974	7913
DHX9	GO:0006974	1660
DMAP1	GO:0006974	55929
DMC1	GO:0006974	11144
DNA2	GO:0006974	1763
DNAJA1	GO:0006974	3301
DNTT	GO:0006974	1791
DONSON	GO:0006974	29980
DOT1L	GO:0006974	84444
DTL	GO:0006974	51514
DTX3L	GO:0006974	151636
DYRK1A	GO:0006974	1859
DYRK2	GO:0006974	8445
DYRK3	GO:0006974	8444
E2F1	GO:0006974	1869
E2F4	GO:0006974	1874
E2F7	GO:0006974	144455
E2F8	GO:0006974	79733
EEF1E1	GO:0006974	9521
EEPD1	GO:0006974	80820
EGFR	GO:0006974	1956
EGLN3	GO:0006974	112399
EID3	GO:0006974	493861
EIF2AK4	GO:0006974	440275
ELL3	GO:0006974	80237
EME1	GO:0006974	146956
EME2	GO:0006974	197342
EMSY	GO:0006974	56946
ENDOV	GO:0006974	284131
EP300	GO:0006974	2033
EPC2	GO:0006974	26122
EPHA2	GO:0006974	1969
ERCC1	GO:0006974	2067
ERCC2	GO:0006974	2068
ERCC3	GO:0006974	2071
ERCC4	GO:0006974	2072
ERCC5	GO:0006974	100533467
ERCC5	GO:0006974	2073
ERCC6	GO:0006974	267004
ERCC6	GO:0006974	2074
ERCC6L2	GO:0006974	375748
ERCC8	GO:0006974	1161
ESCO2	GO:0006974	157570
ETAA1	GO:0006974	54465
EXD2	GO:0006974	55218
EXO1	GO:0006974	9156
EXO5	GO:0006974	64789
EYA1	GO:0006974	2138
EYA2	GO:0006974	2139
EYA3	GO:0006974	2140
EYA4	GO:0006974	2070
FAAP100	GO:0006974	80233
FAAP20	GO:0006974	199990
FAAP24	GO:0006974	91442
FAM168A	GO:0006974	23201
FAN1	GO:0006974	22909
FANCA	GO:0006974	2175
FANCB	GO:0006974	2187
FANCC	GO:0006974	2176
FANCD2	GO:0006974	2177
FANCE	GO:0006974	2178
FANCF	GO:0006974	2188
FANCG	GO:0006974	2189
FANCI	GO:0006974	55215
FANCL	GO:0006974	55120
FANCM	GO:0006974	57697
FBH1	GO:0006974	84893
FBXO31	GO:0006974	79791
FBXO4	GO:0006974	26272
FBXO45	GO:0006974	200933
FBXO5	GO:0006974	26271
FBXO6	GO:0006974	26270
FEM1B	GO:0006974	10116
FEN1	GO:0006974	2237
FGF10	GO:0006974	2255
FH	GO:0006974	2271
FIGN	GO:0006974	55137
FIGNL1	GO:0006974	63979
FIGNL2	GO:0006974	401720
FMN2	GO:0006974	56776
FMR1	GO:0006974	2332
FNIP2	GO:0006974	57600
FOXM1	GO:0006974	2305
FOXN3	GO:0006974	1112
FOXO1	GO:0006974	2308
FOXO4	GO:0006974	4303
FOXP1	GO:0006974	27086
FTO	GO:0006974	79068
FUS	GO:0006974	2521
FXR1	GO:0006974	8087
FXR2	GO:0006974	9513
FZR1	GO:0006974	51343
GADD45A	GO:0006974	1647
GEN1	GO:0006974	348654
GGN	GO:0006974	199720
GIGYF2	GO:0006974	26058
GINS2	GO:0006974	51659
GINS4	GO:0006974	84296
GML	GO:0006974	2765
GNL1	GO:0006974	2794
GPS1	GO:0006974	2873
GRB2	GO:0006974	2885
GTF2H1	GO:0006974	2965
GTF2H2	GO:0006974	2966
GTF2H2	GO:0006974	728340
GTF2H2C	GO:0006974	728340
GTF2H3	GO:0006974	2967
GTF2H4	GO:0006974	2968
GTF2H5	GO:0006974	404672
GTSE1	GO:0006974	51512
HDAC10	GO:0006974	83933
HELB	GO:0006974	92797
HELQ	GO:0006974	113510
HERC2	GO:0006974	8924
HIC1	GO:0006974	3090
HINFP	GO:0006974	25988
HIPK1	GO:0006974	204851
HIPK2	GO:0006974	28996
HMCES	GO:0006974	56941
HMGA1	GO:0006974	3159
HMGA2	GO:0006974	8091
HMGB1	GO:0006974	3146
HMGB2	GO:0006974	3148
HMGN1	GO:0006974	3150
HMOX1	GO:0006974	3162
HNRNPK	GO:0006974	3190
HPF1	GO:0006974	54969
HSF1	GO:0006974	3297
HTRA2	GO:0006974	27429
HUS1	GO:0006974	3364
HUS1B	GO:0006974	135458
HUWE1	GO:0006974	10075
IER3	GO:0006974	8870
IFI16	GO:0006974	3428
IGHMBP2	GO:0006974	3508
IKBKE	GO:0006974	9641
IKBKG	GO:0006974	8517
IMMP2L	GO:0006974	83943
ING2	GO:0006974	3622
ING4	GO:0006974	51147
INIP	GO:0006974	58493
INO80	GO:0006974	54617
INO80B	GO:0006974	83444
INO80C	GO:0006974	125476
INO80D	GO:0006974	54891
INO80E	GO:0006974	283899
INTS3	GO:0006974	65123
INTS7	GO:0006974	25896
IRF3	GO:0006974	3661
IRF7	GO:0006974	3665
ISG15	GO:0006974	9636
ISY1	GO:0006974	57461
JMY	GO:0006974	133746
KAT5	GO:0006974	10524
KDM1A	GO:0006974	23028
KDM2A	GO:0006974	22992
KDM4D	GO:0006974	55693
KIF22	GO:0006974	3835
KIN	GO:0006974	22944
KLHL15	GO:0006974	80311
KMT5A	GO:0006974	387893
LIG1	GO:0006974	3978
LIG3	GO:0006974	3980
LIG4	GO:0006974	3981
LYN	GO:0006974	4067
MACROD1	GO:0006974	28992
MACROD2	GO:0006974	140733
MAD2L2	GO:0006974	10459
MAEL	GO:0006974	84944
MAGEF1	GO:0006974	64110
MAP2K6	GO:0006974	5608
MAP3K20	GO:0006974	51776
MAPK1	GO:0006974	5594
MAPK12	GO:0006974	6300
MAPK14	GO:0006974	1432
MAPK15	GO:0006974	225689
MAPK3	GO:0006974	5595
MAPKAPK2	GO:0006974	9261
MAPT	GO:0006974	4137
MARF1	GO:0006974	9665
MASTL	GO:0006974	84930
MBD4	GO:0006974	8930
MC1R	GO:0006974	4157
MCL1	GO:0006974	4170
MCM10	GO:0006974	55388
MCM2	GO:0006974	4171
MCM3	GO:0006974	4172
MCM4	GO:0006974	4173
MCM5	GO:0006974	4174
MCM6	GO:0006974	4175
MCM7	GO:0006974	4176
MCM8	GO:0006974	84515
MCM9	GO:0006974	254394
MCMDC2	GO:0006974	157777
MCRS1	GO:0006974	10445
MCTS1	GO:0006974	28985
MDC1	GO:0006974	9656
MDM2	GO:0006974	4193
MDM4	GO:0006974	4194
MEIOB	GO:0006974	254528
MEIOC	GO:0006974	284071
MEN1	GO:0006974	4221
METTL3	GO:0006974	56339
MGME1	GO:0006974	92667
MGMT	GO:0006974	4255
MICA	GO:0006974	100507436
MIF	GO:0006974	4282
MLH1	GO:0006974	4292
MLH3	GO:0006974	27030
MMS19	GO:0006974	64210
MMS22L	GO:0006974	253714
MNAT1	GO:0006974	4331
MNDA	GO:0006974	4332
MOAP1	GO:0006974	64112
MORC2	GO:0006974	22880
MORF4L1	GO:0006974	10933
MORF4L2	GO:0006974	9643
MPG	GO:0006974	4350
MRE11	GO:0006974	4361
MRNIP	GO:0006974	51149
MRPS11	GO:0006974	64963
MRPS26	GO:0006974	64949
MRPS35	GO:0006974	60488
MRPS9	GO:0006974	64965
MSH2	GO:0006974	4436
MSH3	GO:0006974	4437
MSH4	GO:0006974	4438
MSH5	GO:0006974	4439
MSH6	GO:0006974	2956
MSX1	GO:0006974	4487
MTA1	GO:0006974	9112
MUC1	GO:0006974	4582
MUS81	GO:0006974	80198
MUTYH	GO:0006974	4595
MYC	GO:0006974	4609
MYO6	GO:0006974	4646
NABP1	GO:0006974	64859
NABP2	GO:0006974	79035
NACC2	GO:0006974	138151
NBN	GO:0006974	4683
NCOA6	GO:0006974	23054
NDRG1	GO:0006974	10397
NEDD4	GO:0006974	4734
NEIL1	GO:0006974	79661
NEIL2	GO:0006974	252969
NEIL3	GO:0006974	55247
NEK1	GO:0006974	4750
NEK11	GO:0006974	79858
NEK4	GO:0006974	6787
NFATC2	GO:0006974	4773
NFATC4	GO:0006974	4776
NFRKB	GO:0006974	4798
NHEJ1	GO:0006974	79840
NIPBL	GO:0006974	25836
NKX3-1	GO:0006974	4824
NONO	GO:0006974	4841
NOP53	GO:0006974	29997
NPAS2	GO:0006974	4862
NPLOC4	GO:0006974	55666
NPM1	GO:0006974	4869
NSD2	GO:0006974	7468
NSMCE1	GO:0006974	197370
NSMCE2	GO:0006974	286053
NSMCE3	GO:0006974	56160
NSMCE4A	GO:0006974	54780
NTHL1	GO:0006974	4913
NUAK1	GO:0006974	9891
NUCKS1	GO:0006974	64710
NUDT1	GO:0006974	4521
NUDT16	GO:0006974	131870
NUDT16L1	GO:0006974	84309
NUPR1	GO:0006974	26471
NUPR2	GO:0006974	389493
OARD1	GO:0006974	221443
OGG1	GO:0006974	4968
OTUB1	GO:0006974	55611
PAGR1	GO:0006974	79447
PAK1	GO:0006974	5058
PALB2	GO:0006974	79728
PARG	GO:0006974	8505
PARK7	GO:0006974	11315
PARP1	GO:0006974	142
PARP10	GO:0006974	84875
PARP2	GO:0006974	10038
PARP3	GO:0006974	10039
PARP4	GO:0006974	143
PARP9	GO:0006974	83666
PARPBP	GO:0006974	55010
PAXIP1	GO:0006974	22976
PAXX	GO:0006974	286257
PCBP4	GO:0006974	57060
PCLAF	GO:0006974	9768
PCNA	GO:0006974	5111
PDS5A	GO:0006974	23244
PDS5B	GO:0006974	23047
PEA15	GO:0006974	8682
PHF1	GO:0006974	5252
PHLDA3	GO:0006974	23612
