SYMBOL	GO TERM	GO NAME	TAXON ID
POLD1	GO:0006974	cellular response to DNA damage stimulus	9606
EYA1	GO:0006974	cellular response to DNA damage stimulus	9606
MYC	GO:0006974	cellular response to DNA damage stimulus	9606
PRKCD	GO:0006974	cellular response to DNA damage stimulus	9606
BCL2L2	GO:0006974	cellular response to DNA damage stimulus	9606
MSH2	GO:0006974	cellular response to DNA damage stimulus	9606
TOP2A	GO:0006974	cellular response to DNA damage stimulus	9606
RAD50	GO:0006974	cellular response to DNA damage stimulus	9606
TRAF6	GO:0006974	cellular response to DNA damage stimulus	9606
ERCC4	GO:0006974	cellular response to DNA damage stimulus	9606
ERCC2	GO:0006974	cellular response to DNA damage stimulus	9606
FAAP100	GO:0006974	cellular response to DNA damage stimulus	9606
ABRAXAS1	GO:0006974	cellular response to DNA damage stimulus	9606
UBE2V2	GO:0006974	cellular response to DNA damage stimulus	9606
MCM10	GO:0006974	cellular response to DNA damage stimulus	9606
CDK1	GO:0006974	cellular response to DNA damage stimulus	9606
UBE2L6	GO:0006974	cellular response to DNA damage stimulus	9606
TP53BP1	GO:0006974	cellular response to DNA damage stimulus	9606
FIGNL2	GO:0006974	cellular response to DNA damage stimulus	9606
MRPS26	GO:0006974	cellular response to DNA damage stimulus	9606
HMGB1	GO:0006974	cellular response to DNA damage stimulus	9606
SLF1	GO:0006974	cellular response to DNA damage stimulus	9606
MUS81	GO:0006974	cellular response to DNA damage stimulus	9606
ZDHHC16	GO:0006974	cellular response to DNA damage stimulus	9606
ZRANB3	GO:0006974	cellular response to DNA damage stimulus	9606
MCM3	GO:0006974	cellular response to DNA damage stimulus	9606
POLE2	GO:0006974	cellular response to DNA damage stimulus	9606
HDAC10	GO:0006974	cellular response to DNA damage stimulus	9606
NEIL2	GO:0006974	cellular response to DNA damage stimulus	9606
BACH1	GO:0006974	cellular response to DNA damage stimulus	9606
CD44	GO:0006974	cellular response to DNA damage stimulus	9606
CETN1	GO:0006974	cellular response to DNA damage stimulus	9606
FOXO1	GO:0006974	cellular response to DNA damage stimulus	9606
WDR4	GO:0006974	cellular response to DNA damage stimulus	9606
Mar/07	GO:0006974	cellular response to DNA damage stimulus	9606
IER3	GO:0006974	cellular response to DNA damage stimulus	9606
ATR	GO:0006974	cellular response to DNA damage stimulus	9606
RBBP6	GO:0006974	cellular response to DNA damage stimulus	9606
SNW1	GO:0006974	cellular response to DNA damage stimulus	9606
NUPR2	GO:0006974	cellular response to DNA damage stimulus	9606
RECQL5	GO:0006974	cellular response to DNA damage stimulus	9606
BCL6	GO:0006974	cellular response to DNA damage stimulus	9606
CDC7	GO:0006974	cellular response to DNA damage stimulus	9606
MEIOB	GO:0006974	cellular response to DNA damage stimulus	9606
SPRED1	GO:0006974	cellular response to DNA damage stimulus	9606
SPRED2	GO:0006974	cellular response to DNA damage stimulus	9606
CDKN2D	GO:0006974	cellular response to DNA damage stimulus	9606
RPS3	GO:0006974	cellular response to DNA damage stimulus	9606
BRCC3	GO:0006974	cellular response to DNA damage stimulus	9606
POLN	GO:0006974	cellular response to DNA damage stimulus	9606
CASP9	GO:0006974	cellular response to DNA damage stimulus	9606
UBC	GO:0006974	cellular response to DNA damage stimulus	9606
HSF1	GO:0006974	cellular response to DNA damage stimulus	9606
PIDD1	GO:0006974	cellular response to DNA damage stimulus	9606
EEPD1	GO:0006974	cellular response to DNA damage stimulus	9606
GTF2H3	GO:0006974	cellular response to DNA damage stimulus	9606
CENPS	GO:0006974	cellular response to DNA damage stimulus	9606
POLR2K	GO:0006974	cellular response to DNA damage stimulus	9606
PTTG1IP	GO:0006974	cellular response to DNA damage stimulus	9606
MARF1	GO:0006974	cellular response to DNA damage stimulus	9606
PIAS4	GO:0006974	cellular response to DNA damage stimulus	9606
TICRR	GO:0006974	cellular response to DNA damage stimulus	9606
MOAP1	GO:0006974	cellular response to DNA damage stimulus	9606
POLD3	GO:0006974	cellular response to DNA damage stimulus	9606
SUSD6	GO:0006974	cellular response to DNA damage stimulus	9606
HNRNPK	GO:0006974	cellular response to DNA damage stimulus	9606
SETX	GO:0006974	cellular response to DNA damage stimulus	9606
FAM168A	GO:0006974	cellular response to DNA damage stimulus	9606
TANK	GO:0006974	cellular response to DNA damage stimulus	9606
PMS2P1	GO:0006974	cellular response to DNA damage stimulus	9606
XPA	GO:0006974	cellular response to DNA damage stimulus	9606
ZBTB18	GO:0006974	cellular response to DNA damage stimulus	9606
CBX8	GO:0006974	cellular response to DNA damage stimulus	9606
ACD	GO:0006974	cellular response to DNA damage stimulus	9606
SPDYA	GO:0006974	cellular response to DNA damage stimulus	9606
MAPK12	GO:0006974	cellular response to DNA damage stimulus	9606
SUMO1	GO:0006974	cellular response to DNA damage stimulus	9606
APTX	GO:0006974	cellular response to DNA damage stimulus	9606
CHD1L	GO:0006974	cellular response to DNA damage stimulus	9606
TAOK1	GO:0006974	cellular response to DNA damage stimulus	9606
CDC25C	GO:0006974	cellular response to DNA damage stimulus	9606
UBE2T	GO:0006974	cellular response to DNA damage stimulus	9606
ISG15	GO:0006974	cellular response to DNA damage stimulus	9606
DTL	GO:0006974	cellular response to DNA damage stimulus	9606
RRM2B	GO:0006974	cellular response to DNA damage stimulus	9606
REV3L	GO:0006974	cellular response to DNA damage stimulus	9606
PRKCG	GO:0006974	cellular response to DNA damage stimulus	9606
HMGN1	GO:0006974	cellular response to DNA damage stimulus	9606
USP7	GO:0006974	cellular response to DNA damage stimulus	9606
MRPS35	GO:0006974	cellular response to DNA damage stimulus	9606
POLR2C	GO:0006974	cellular response to DNA damage stimulus	9606
ATF2	GO:0006974	cellular response to DNA damage stimulus	9606
CDK9	GO:0006974	cellular response to DNA damage stimulus	9606
POLI	GO:0006974	cellular response to DNA damage stimulus	9606
REC8	GO:0006974	cellular response to DNA damage stimulus	9606
UBR5	GO:0006974	cellular response to DNA damage stimulus	9606
TRIM25	GO:0006974	cellular response to DNA damage stimulus	9606
ING4	GO:0006974	cellular response to DNA damage stimulus	9606
FANCE	GO:0006974	cellular response to DNA damage stimulus	9606
ASCC1	GO:0006974	cellular response to DNA damage stimulus	9606
RTEL1-TNFRSF6B	GO:0006974	cellular response to DNA damage stimulus	9606
PARPBP	GO:0006974	cellular response to DNA damage stimulus	9606
TMEM161A	GO:0006974	cellular response to DNA damage stimulus	9606
BABAM1	GO:0006974	cellular response to DNA damage stimulus	9606
UBA6	GO:0006974	cellular response to DNA damage stimulus	9606
JMY	GO:0006974	cellular response to DNA damage stimulus	9606
HPF1	GO:0006974	cellular response to DNA damage stimulus	9606
MCM5	GO:0006974	cellular response to DNA damage stimulus	9606
MCM4	GO:0006974	cellular response to DNA damage stimulus	9606
WRNIP1	GO:0006974	cellular response to DNA damage stimulus	9606
NEDD4	GO:0006974	cellular response to DNA damage stimulus	9606
E2F8	GO:0006974	cellular response to DNA damage stimulus	9606
SMCHD1	GO:0006974	cellular response to DNA damage stimulus	9606
ENDOV	GO:0006974	cellular response to DNA damage stimulus	9606
