SYMBOL	GO.TERM	entrezgene_id
AATF	GO:0006915	26574
ABL1	GO:0006915	25
ABR	GO:0006915	29
ACAA2	GO:0006915	10449
ACER2	GO:0006915	340485
ACIN1	GO:0006915	22985
ACKR3	GO:0006915	57007
ACTC1	GO:0006915	70
ACTN1	GO:0006915	87
ACTN2	GO:0006915	88
ACTN3	GO:0006915	89
ACTN4	GO:0006915	81
ACVR1	GO:0006915	90
ACVR1B	GO:0006915	91
ACVR1C	GO:0006915	130399
ADA	GO:0006915	100
ADAM10	GO:0006915	102
ADAM17	GO:0006915	6868
ADAM8	GO:0006915	101
ADAMTS20	GO:0006915	80070
ADAMTSL4	GO:0006915	54507
ADAR	GO:0006915	103
ADARB1	GO:0006915	104
ADCY10	GO:0006915	55811
ADCYAP1	GO:0006915	116
ADIPOQ	GO:0006915	9370
ADM	GO:0006915	133
ADNP	GO:0006915	23394
ADORA1	GO:0006915	134
ADORA2A	GO:0006915	135
ADRA1A	GO:0006915	148
AEN	GO:0006915	64782
AGAP2	GO:0006915	116986
AGO4	GO:0006915	192670
AGT	GO:0006915	183
AGTR2	GO:0006915	186
AHI1	GO:0006915	54806
AHR	GO:0006915	196
AIF1	GO:0006915	199
AIFM1	GO:0006915	9131
AIFM2	GO:0006915	84883
AIFM3	GO:0006915	150209
AIM2	GO:0006915	9447
AIMP1	GO:0006915	9255
AIMP2	GO:0006915	7965
AIPL1	GO:0006915	23746
AKAP12	GO:0006915	9590
AKAP13	GO:0006915	11214
AKR1B1	GO:0006915	231
AKR1C3	GO:0006915	8644
AKT1	GO:0006915	207
AKT1S1	GO:0006915	84335
AKT2	GO:0006915	208
AKTIP	GO:0006915	64400
ALB	GO:0006915	213
ALDH1A2	GO:0006915	8854
ALDH1A3	GO:0006915	220
ALK	GO:0006915	238
ALKBH1	GO:0006915	8846
ALOX12	GO:0006915	239
ALOX15B	GO:0006915	247
ALPK2	GO:0006915	115701
ALX3	GO:0006915	257
ALX4	GO:0006915	60529
AMBRA1	GO:0006915	55626
AMIGO2	GO:0006915	347902
ANGPT1	GO:0006915	284
ANGPT4	GO:0006915	51378
ANGPTL4	GO:0006915	51129
ANKLE2	GO:0006915	23141
ANKRD1	GO:0006915	27063
ANKRD13C	GO:0006915	81573
ANKRD2	GO:0006915	26287
ANO6	GO:0006915	196527
ANP32B	GO:0006915	10541
ANXA1	GO:0006915	301
ANXA4	GO:0006915	307
ANXA5	GO:0006915	308
ANXA6	GO:0006915	309
APAF1	GO:0006915	317
APBB1	GO:0006915	322
APBB2	GO:0006915	323
APC	GO:0006915	324
APEX1	GO:0006915	328
APH1A	GO:0006915	51107
APH1B	GO:0006915	83464
API5	GO:0006915	8539
APIP	GO:0006915	51074
APLP1	GO:0006915	333
APOE	GO:0006915	348
APOH	GO:0006915	350
APP	GO:0006915	351
APPL1	GO:0006915	26060
AQP1	GO:0006915	358
AR	GO:0006915	367
ARAF	GO:0006915	369
AREL1	GO:0006915	9870
ARF4	GO:0006915	378
ARF6	GO:0006915	382
ARG2	GO:0006915	384
ARHGAP10	GO:0006915	79658
ARHGDIA	GO:0006915	396
ARHGEF1	GO:0006915	9138
ARHGEF11	GO:0006915	9826
ARHGEF12	GO:0006915	23365
ARHGEF16	GO:0006915	27237
ARHGEF17	GO:0006915	9828
ARHGEF18	GO:0006915	23370
ARHGEF19	GO:0006915	128272
ARHGEF2	GO:0006915	9181
ARHGEF26	GO:0006915	26084
ARHGEF3	GO:0006915	50650
ARHGEF4	GO:0006915	50649
ARHGEF5	GO:0006915	7984
ARHGEF6	GO:0006915	9459
ARHGEF7	GO:0006915	8874
ARHGEF9	GO:0006915	23229
ARL6IP1	GO:0006915	23204
ARL6IP5	GO:0006915	10550
ARNT2	GO:0006915	9915
ARRB1	GO:0006915	408
ARRB2	GO:0006915	409
ASAH2	GO:0006915	56624
ASCL1	GO:0006915	429
ASIC2	GO:0006915	40
ASNS	GO:0006915	440
ATAD3A	GO:0006915	55210
ATAD5	GO:0006915	79915
ATCAY	GO:0006915	85300
ATF2	GO:0006915	1386
ATF3	GO:0006915	467
ATF4	GO:0006915	468
ATF5	GO:0006915	22809
ATF6	GO:0006915	22926
ATG3	GO:0006915	64422
ATG4D	GO:0006915	84971
ATG5	GO:0006915	9474
ATG7	GO:0006915	10533
ATM	GO:0006915	472
ATN1	GO:0006915	1822
ATOH1	GO:0006915	474
ATOX1	GO:0006915	475
ATP2A1	GO:0006915	487
ATP5IF1	GO:0006915	93974
AURKA	GO:0006915	6790
AURKB	GO:0006915	9212
AVEN	GO:0006915	57099
AVP	GO:0006915	551
AXIN1	GO:0006915	8312
AXL	GO:0006915	558
AZU1	GO:0006915	566
B4GALT1	GO:0006915	2683
BABAM2	GO:0006915	9577
BACE1	GO:0006915	23621
BAD	GO:0006915	572
BAG1	GO:0006915	573
BAG3	GO:0006915	9531
BAG4	GO:0006915	9530
BAG5	GO:0006915	9529
BAG6	GO:0006915	7917
BAK1	GO:0006915	578
BARD1	GO:0006915	580
BARHL1	GO:0006915	56751
BAX	GO:0006915	581
BBC3	GO:0006915	27113
BCAP29	GO:0006915	55973
BCAP31	GO:0006915	10134
BCAR1	GO:0006915	9564
BCL10	GO:0006915	8915
BCL11B	GO:0006915	64919
BCL2	GO:0006915	596
BCL2A1	GO:0006915	597
BCL2L1	GO:0006915	598
BCL2L10	GO:0006915	10017
BCL2L11	GO:0006915	10018
BCL2L12	GO:0006915	83596
BCL2L13	GO:0006915	23786
BCL2L14	GO:0006915	79370
BCL2L15	GO:0006915	440603
BCL2L2	GO:0006915	599
BCL3	GO:0006915	602
BCL6	GO:0006915	604
BCL7B	GO:0006915	9275
BCL7C	GO:0006915	9274
BCLAF1	GO:0006915	9774
BDKRB2	GO:0006915	624
BDNF	GO:0006915	627
BECN1	GO:0006915	8678
BEX2	GO:0006915	84707
BEX3	GO:0006915	27018
BFAR	GO:0006915	51283
BHLHB9	GO:0006915	80823
BID	GO:0006915	637
BIK	GO:0006915	638
BIN1	GO:0006915	274
BIRC2	GO:0006915	329
BIRC3	GO:0006915	330
BIRC5	GO:0006915	332
BIRC6	GO:0006915	57448
BIRC7	GO:0006915	79444
BIRC8	GO:0006915	112401
BLCAP	GO:0006915	10904
BLID	GO:0006915	414899
BLOC1S2	GO:0006915	282991
BMF	GO:0006915	90427
BMP10	GO:0006915	27302
BMP15	GO:0006915	9210
BMP2	GO:0006915	650
BMP3	GO:0006915	651
BMP4	GO:0006915	652
BMP5	GO:0006915	653
BMP6	GO:0006915	654
BMP7	GO:0006915	655
BMP8A	GO:0006915	353500
BMP8B	GO:0006915	656
BMPR1B	GO:0006915	658
BMPR2	GO:0006915	659
BMX	GO:0006915	660
BNIP1	GO:0006915	662
BNIP2	GO:0006915	663
BNIP3	GO:0006915	664
BNIP3L	GO:0006915	665
BNIPL	GO:0006915	149428
BOK	GO:0006915	666
BRAF	GO:0006915	673
BRAT1	GO:0006915	221927
BRCA1	GO:0006915	672
BRCA2	GO:0006915	675
BRMS1	GO:0006915	25855
BRSK2	GO:0006915	9024
BTC	GO:0006915	685
BTG1	GO:0006915	694
BTG2	GO:0006915	7832
BTK	GO:0006915	695
BUB1	GO:0006915	699
BUB1B	GO:0006915	701
C19orf12	GO:0006915	83636
C1D	GO:0006915	10438
C1QBP	GO:0006915	708
C3orf38	GO:0006915	285237
C5AR1	GO:0006915	728
C6orf120	GO:0006915	387263
C8orf17	GO:0006915	NA
CAAP1	GO:0006915	79886
CADM1	GO:0006915	23705
CALHM2	GO:0006915	51063
CALR	GO:0006915	811
CAMK1D	GO:0006915	57118
CAMK2A	GO:0006915	815
CAMK2D	GO:0006915	817
CAPN10	GO:0006915	11132
CAPN2	GO:0006915	824
CAPN3	GO:0006915	825
CARD10	GO:0006915	29775
CARD11	GO:0006915	84433
CARD14	GO:0006915	79092
CARD16	GO:0006915	114769
CARD17	GO:0006915	440068
CARD18	GO:0006915	59082
CARD6	GO:0006915	84674
CARD8	GO:0006915	22900
CARD9	GO:0006915	64170
CASC2	GO:0006915	NA
CASP1	GO:0006915	834
CASP10	GO:0006915	843
CASP12	GO:0006915	100506742
CASP14	GO:0006915	23581
CASP2	GO:0006915	835
CASP3	GO:0006915	836
CASP4	GO:0006915	837
CASP5	GO:0006915	838
CASP6	GO:0006915	839
CASP7	GO:0006915	840
CASP8	GO:0006915	841
CASP8AP2	GO:0006915	9994
CASP9	GO:0006915	842
CASR	GO:0006915	846
CAST	GO:0006915	831
CAT	GO:0006915	847
CAV1	GO:0006915	857
CBL	GO:0006915	867
CBX4	GO:0006915	8535
CCAR1	GO:0006915	55749
CCAR2	GO:0006915	57805
CCK	GO:0006915	885
CCL19	GO:0006915	6363
CCL2	GO:0006915	6347
CCL21	GO:0006915	6366
CCL3	GO:0006915	6348
CCL5	GO:0006915	6352
CCN1	GO:0006915	3491
CCN2	GO:0006915	1490
