ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
DNA IR-damage and cellular response via ATR%WikiPathways_20190910%WP4016%Homo sapiens	DNA IR-damage and cellular response via ATR%WikiPathways_20190910%WP4016%Homo sapiens	69	-0.519941403016281	-1.82443201955814	0.00172413793103448	0.195862676056338	0.191808747220163	1608	tags=30%, list=14%, signal=26%	5893/7486/79648/2305/80010/50485/9656/55215/7979/8493/142/8924/79728/9937/545/63967/4436/51720/7507/4292/7158
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	68	-0.46939203478354	-1.64811201199004	0.00173010380622837	0.195862676056338	0.191808747220163	1710	tags=28%, list=15%, signal=24%	5437/9533/7378/5427/955/10623/1723/4832/978/8382/790/318/1841/56953/1503/5431/10714/55703/29922
REACTOME_MAPK6_MAPK4_SIGNALING	REACTOME_MAPK6_MAPK4_SIGNALING	71	-0.497761976948268	-1.7511370604994	0.00174216027874564	0.195862676056338	0.191808747220163	2385	tags=37%, list=21%, signal=29%	5691/5717/10602/5713/192669/5058/5708/5711/5705/7514/5696/10213/7979/5695/192670/989/5707/10197/5062/5698/26523/5896/8550/5567/27161/5597
REACTOME_PROGRAMMED_CELL_DEATH	REACTOME_PROGRAMMED_CELL_DEATH	145	-0.443146355270928	-1.73390410254477	0.00176056338028169	0.195862676056338	0.191808747220163	2414	tags=33%, list=21%, signal=26%	330/5691/5717/10059/842/4836/637/329/841/5713/23604/5708/999/5711/10000/6093/5705/79658/2339/1832/8795/5588/5696/10213/7979/5695/57099/3006/2934/5707/10197/9500/572/8772/1677/5062/5698/8737/1612/5594/3836/22900/4976/63967/331/7159/148022/7534
Differentiation Pathway%WikiPathways_20190910%WP2848%Homo sapiens	Differentiation Pathway%WikiPathways_20190910%WP2848%Homo sapiens	40	0.532485896750122	1.75009150936873	0.00231481481481481	0.203754578754579	0.199537304800463	2082	tags=30%, list=18%, signal=25%	3577/3589/3570/2249/1436/10468/7040/1435/8200/2253/7043/4851
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	386	0.294618811994925	1.35558515193342	0.00294985250737463	0.203754578754579	0.199537304800463	1760	tags=19%, list=16%, signal=17%	671/8778/11031/290/963/5036/5284/84061/4318/4069/6037/8836/3577/1794/79980/57126/1511/6556/11025/3303/6036/3304/5799/7879/79930/55313/3071/945/2352/7276/54918/11333/1084/23200/2950/23317/4057/3312/5724/3482/2268/221/1729/64386/80184/823/3043/2512/7226/3683/8560/6518/8993/1118/2896/4860/5329/83716/3101/967/4033/1535/10383/27180/51143/1508/4353/6709/3320/7414/23601/2548/3920/3903
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	254	-0.343978890370763	-1.44979408475816	0.00320512820512821	0.203754578754579	0.199537304800463	2694	tags=33%, list=24%, signal=25%	64167/5714/4008/9666/3309/10425/23198/79754/1520/6047/10075/10324/5691/5717/51191/8925/140459/3693/5713/6810/54778/8916/54850/5708/8881/140462/23304/899/25847/150726/5711/55236/55176/8139/8453/25898/5705/6890/7334/26249/23295/8452/7096/65264/5696/10802/10213/7979/6921/53339/5695/868/10422/10293/5707/997/10197/55585/9354/26091/8924/9730/5698/23194/114088/79176/7097/64320/64219/7174/10193/8454/55008/29927/6396/9870/22954/55521/642/89910/4591/9690/80196
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	283	-0.331743320069985	-1.41596955487077	0.00465116279069767	0.258720930232558	0.253365973072215	1945	tags=23%, list=17%, signal=19%	28956/5983/10524/898/10000/1457/7874/6794/6874/5437/5600/4194/6879/7486/332/8795/28984/6790/1020/8396/55835/51241/80010/51499/1432/9656/55215/2475/6921/902/8900/8738/192670/6877/5457/10325/5984/26523/2965/545/8550/2071/9891/51755/79837/6908/54971/1459/1327/5431/9125/4436/51422/4869/3486/7159/5571/56950/55367/80196/7534/4292/7936/27161
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES	54	-0.488302943152217	-1.6501904357173	0.00693240901213172	0.328817733990148	0.322011926367643	1064	tags=22%, list=9%, signal=20%	9656/55215/6921/902/2965/545/2071/51755/5431/4436/4292/7936
Spinal Cord Injury%WikiPathways_20190910%WP2431%Homo sapiens	Spinal Cord Injury%WikiPathways_20190910%WP2431%Homo sapiens	107	0.386252451471721	1.52659028066014	0.00738916256157635	0.328817733990148	0.322011926367643	2686	tags=35%, list=24%, signal=27%	199/6585/4318/11025/102725035/3553/6347/5173/5786/358/4155/57556/7832/50515/7040/8398/5925/4842/9423/2902/301/3164/2309/1027/5542/2043/6403/176/4321/1956/5320/4609/595/713/5322/57142/4843
REACTOME_PTEN_REGULATION	REACTOME_PTEN_REGULATION	110	-0.393851301469115	-1.500040768923	0.00846023688663283	0.34225503768651	0.335171107279042	2385	tags=33%, list=21%, signal=26%	5691/5717/1107/5713/192669/11060/5708/23252/28956/5711/10000/1457/7874/5705/5696/8658/10213/1912/2475/7979/5695/2146/192670/5707/10197/5698/10325/26523/8726/5987/5594/10014/1459/2444/331/27161
Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	24	-0.608797702127264	-1.71609258559705	0.00924214417744917	0.342729513247073	0.33563576223368	2059	tags=46%, list=18%, signal=38%	3654/5971/29110/7096/3665/7098/4790/7097/5594/7187/148022
Folate Metabolism%WikiPathways_20190910%WP176%Homo sapiens	Folate Metabolism%WikiPathways_20190910%WP176%Homo sapiens	55	0.427774018102225	1.5263921457401	0.0141509433962264	0.462684842883549	0.453108279015468	1608	tags=24%, list=14%, signal=20%	3553/5327/2243/2877/2352/6347/4524/335/3043/213/1435/4842/4353
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1	REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1	14	-0.674443947962762	-1.67208045753748	0.0153256704980843	0.462684842883549	0.453108279015468	674	tags=29%, list=6%, signal=27%	7098/4790/8737/148022
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	42	-0.471832965878624	-1.52618561756838	0.0157068062827225	0.462684842883549	0.453108279015468	2314	tags=29%, list=20%, signal=23%	842/4836/637/841/10000/57099/572/5594/22900/331/7159/7534
