pathway	entrezgene	hgnc_symbol
KEGG_PURINE_METABOLISM	5436	POLR2G
KEGG_PURINE_METABOLISM	22978	NT5C2
KEGG_PURINE_METABOLISM	5437	POLR2H
KEGG_PURINE_METABOLISM	5169	ENPP3
KEGG_PURINE_METABOLISM	5434	POLR2E
KEGG_PURINE_METABOLISM	5435	POLR2F
KEGG_PURINE_METABOLISM	5167	ENPP1
KEGG_PURINE_METABOLISM	7498	XDH
KEGG_PURINE_METABOLISM	5438	POLR2I
KEGG_PURINE_METABOLISM	5439	POLR2J
KEGG_PURINE_METABOLISM	54107	POLE3
KEGG_PURINE_METABOLISM	159	ADSS2
KEGG_PURINE_METABOLISM	5634	PRPS2
KEGG_PURINE_METABOLISM	158	ADSL
KEGG_PURINE_METABOLISM	10201	NME6
KEGG_PURINE_METABOLISM	51082	POLR1D
KEGG_PURINE_METABOLISM	87178	PNPT1
KEGG_PURINE_METABOLISM	5440	POLR2K
KEGG_PURINE_METABOLISM	10714	POLD3
KEGG_PURINE_METABOLISM	5441	POLR2L
KEGG_PURINE_METABOLISM	203	AK1
KEGG_PURINE_METABOLISM	654364	NME1-NME2
KEGG_PURINE_METABOLISM	204	AK2
KEGG_PURINE_METABOLISM	205	AK4
KEGG_PURINE_METABOLISM	23649	POLA2
KEGG_PURINE_METABOLISM	124583	CANT1
KEGG_PURINE_METABOLISM	270	AMPD1
KEGG_PURINE_METABOLISM	272	AMPD3
KEGG_PURINE_METABOLISM	271	AMPD2
KEGG_PURINE_METABOLISM	4833	NME4
KEGG_PURINE_METABOLISM	3000	GUCY2D
KEGG_PURINE_METABOLISM	4830	NME1
KEGG_PURINE_METABOLISM	471	ATIC
KEGG_PURINE_METABOLISM	4831	NME2
KEGG_PURINE_METABOLISM	1716	DGUOK
KEGG_PURINE_METABOLISM	10623	POLR3C
KEGG_PURINE_METABOLISM	4832	NME3
KEGG_PURINE_METABOLISM	10622	POLR3G
KEGG_PURINE_METABOLISM	10621	POLR3F
KEGG_PURINE_METABOLISM	58497	PRUNE1
KEGG_PURINE_METABOLISM	56985	ADPRM
KEGG_PURINE_METABOLISM	5142	PDE4B
KEGG_PURINE_METABOLISM	5143	PDE4C
KEGG_PURINE_METABOLISM	5140	PDE3B
KEGG_PURINE_METABOLISM	5141	PDE4A
KEGG_PURINE_METABOLISM	318	NUDT2
KEGG_PURINE_METABOLISM	51292	GMPR2
KEGG_PURINE_METABOLISM	5146	PDE6C
KEGG_PURINE_METABOLISM	5147	PDE6D
KEGG_PURINE_METABOLISM	5144	PDE4D
KEGG_PURINE_METABOLISM	5145	PDE6A
KEGG_PURINE_METABOLISM	5557	PRIM1
KEGG_PURINE_METABOLISM	5558	PRIM2
KEGG_PURINE_METABOLISM	26289	AK5
KEGG_PURINE_METABOLISM	2766	GMPR
KEGG_PURINE_METABOLISM	8382	NME5
KEGG_PURINE_METABOLISM	27115	PDE7B
KEGG_PURINE_METABOLISM	8654	PDE5A
KEGG_PURINE_METABOLISM	57804	POLD4
KEGG_PURINE_METABOLISM	2977	GUCY1A2
KEGG_PURINE_METABOLISM	2272	FHIT
KEGG_PURINE_METABOLISM	109	ADCY3
KEGG_PURINE_METABOLISM	108	ADCY2
KEGG_PURINE_METABOLISM	107	ADCY1
KEGG_PURINE_METABOLISM	5422	POLA1
KEGG_PURINE_METABOLISM	5139	PDE3A
KEGG_PURINE_METABOLISM	5138	PDE2A
KEGG_PURINE_METABOLISM	5137	PDE1C
KEGG_PURINE_METABOLISM	122622	ADSS1
KEGG_PURINE_METABOLISM	100	ADA
KEGG_PURINE_METABOLISM	377841	ENTPD8
KEGG_PURINE_METABOLISM	5427	POLE2
KEGG_PURINE_METABOLISM	5151	PDE8A
KEGG_PURINE_METABOLISM	5152	PDE9A
KEGG_PURINE_METABOLISM	5153	PDE1B
KEGG_PURINE_METABOLISM	53343	NUDT9
KEGG_PURINE_METABOLISM	5424	POLD1
KEGG_PURINE_METABOLISM	9615	GDA
KEGG_PURINE_METABOLISM	5425	POLD2
KEGG_PURINE_METABOLISM	5426	POLE
KEGG_PURINE_METABOLISM	5158	PDE6B
KEGG_PURINE_METABOLISM	5150	PDE7A
KEGG_PURINE_METABOLISM	5631	PRPS1
KEGG_PURINE_METABOLISM	64425	POLR1E
KEGG_PURINE_METABOLISM	10606	PAICS
KEGG_PURINE_METABOLISM	84618	NT5C1A
KEGG_PURINE_METABOLISM	5431	POLR2B
KEGG_PURINE_METABOLISM	11128	POLR3A
KEGG_PURINE_METABOLISM	5149	PDE6H
KEGG_PURINE_METABOLISM	5430	POLR2A
KEGG_PURINE_METABOLISM	5148	PDE6G
KEGG_PURINE_METABOLISM	5433	POLR2D
KEGG_PURINE_METABOLISM	1633	DCK
KEGG_PURINE_METABOLISM	5432	POLR2C
KEGG_PURINE_METABOLISM	114	ADCY8
KEGG_PURINE_METABOLISM	115	ADCY9
