SUID	shared name	id	type	entrezgene_id	ENSG_ID	hgnc_symbol	TiO2_24hrs_10_Caco2.logFC	TiO2_24hrs_10_Caco2.P.Value	TiO2_24hrs_100_Caco2.logFC	TiO2_24hrs_100_Caco2.P.Value	TiO2_24hrs_10_SAE.logFC	TiO2_24hrs_10_SAE.P.Value	TiO2_24hrs_100_SAE.logFC	TiO2_24hrs_100_SAE.P.Value	TiO2_24hrs_10_THP1.logFC	TiO2_24hrs_10_THP1.P.Value	TiO2_24hrs_100_THP1.logFC	TiO2_24hrs_100_THP1.P.Value	name	selected
2048	54956	54956	Gene	54956	ENSG00000138617	PARP16	0.006177775	0.9650574	-0.1355849	0.348739	-0.2784713	0.04756407	-0.471865	0.003566492	-0.09798318	0.2714141	-0.186389	0.05294209	54956	FALSE
2052	10840	10840	Gene	10840	ENSG00000144908	ALDH1L1	-0.1269468	0.1081882	-0.05738754	0.4408441	0.1620378	0.01831029	0.09009544	0.1459165	0.01755093	0.7973377	0.06013419	0.3884732	10840	FALSE
2054	29967	29967	Gene	29967	ENSG00000147650	LRP12	0.01960705	0.6654597	0.07303673	0.1303182	-0.07476777	0.4427885	0.06474291	0.5045891	0.3552673	0.1826416	0.6011786	0.03726679	29967	FALSE
2059	5805	5805	Gene	5805	ENSG00000150787	PTS	0.08217678	0.100919	0.1109227	0.03578761	-0.1201079	0.1203287	-0.07769762	0.2965167	0.04912907	0.6210172	-0.1907174	0.07833433	5805	FALSE
2061	79668	79668	Gene	79668	ENSG00000151883	PARP8	0.03849394	0.4880379	-0.09809222	0.09857486	0.1076795	0.4052952	0.1223828	0.3468603	0.2200647	0.09203466	0.2998409	0.03032671	79668	FALSE
2066	7804	7804	Gene	7804	ENSG00000157193	LRP8	0.01573543	0.7668502	-0.0479675	0.375866	0.1190516	0.207693	0.1722628	0.08063199	-0.2539704	0.3279415	-0.6564035	0.02561026	7804	FALSE
2067	55229	55229	Gene	55229	ENSG00000157881	PANK4	0.0499195	0.6863158	0.2346428	0.08156428	0.1630865	0.03533529	-0.04801159	0.4870039	0.001120297	0.9897047	0.3614914	0.002086313	55229	FALSE
2070	8566	8566	Gene	8566	ENSG00000160209	PDXK	-0.01321485	0.7392331	0.02403033	0.5479176	-0.04208747	0.5127042	0.1012237	0.1348744	0.05862793	0.5099829	0.3214113	0.004539956	8566	FALSE
2072	11330	11330	Gene	11330	ENSG00000162438	CTRC	0.08044211	0.3082956	0.01585467	0.8361907	0.3002842	0.01427411	0.2264892	0.0487222	-0.04530565	0.5659481	0.06983321	0.382391	11330	FALSE
2078	4338	4338	Gene	4338	ENSG00000164172	MOCS2	0.08905053	0.229873	0.1720512	0.03453449	0.248275	0.0105015	0.1090314	0.1936418	0.1789308	0.4146284	-0.1599036	0.4642646	4338	FALSE
2081	2350	2350	Gene	2350	ENSG00000165457	FOLR2	-0.2170993	0.02682529	-0.1372659	0.1291056	0.1187244	0.2317259	0.06914132	0.4746709	0.1140142	0.2069627	-0.0008823635	0.9918292	2350	FALSE
2083	1528	1528	Gene	1528	ENSG00000166347	CYB5A	-0.001894936	0.9621109	-0.008045369	0.8403334	0.1619148	0.04602342	-0.006743226	0.925737	0.4164759	0.2661158	0.3138328	0.3948165	1528	FALSE
2084	4837	4837	Gene	4837	ENSG00000166741	NNMT	-0.007493829	0.8891486	0.04549484	0.4066855	-0.03024077	0.7240363	0.3154002	0.003962675	-0.009378113	0.8709007	0.04341733	0.4587689	4837	FALSE
2085	10229	10229	Gene	10229	ENSG00000167186	COQ7	-0.04542598	0.4511469	0.03518203	0.5569256	-0.1213138	0.1552753	-0.180712	0.04575249	-0.09368943	0.2750333	-0.08959263	0.2951867	10229	FALSE
2087	51293	51293	Gene	51293	ENSG00000167775	CD320	0.05758484	0.4530472	0.1347382	0.0997443	-0.3390593	0.007199652	-0.2314583	0.04334061	0.08517395	0.4058589	0.2076175	0.0626382	51293	FALSE
2088	55788	55788	Gene	55788	ENSG00000168216	LMBRD1	-0.0753703	0.1191414	-0.02575991	0.5705571	-0.2629446	0.008359037	-0.08433712	0.3124308	-0.1205883	0.200993	-0.3122889	0.006058169	55788	FALSE
2091	440387	440387	Gene	440387	ENSG00000168928	CTRB2	0.03901203	0.4286041	-0.001995669	0.967103	0.1718076	0.05139789	0.1669059	0.05710674	0.2849677	0.009778405	0.206281	0.04228535	440387	FALSE
2092	6383	6383	Gene	6383	ENSG00000169439	SDC2	-0.05229167	0.3824492	-0.04478035	0.4518756	-0.2062647	0.02203792	-0.2952093	0.003243191	-0.01925036	0.7919258	-0.1390783	0.08140164	6383	FALSE
2096	10243	10243	Gene	10243	ENSG00000171723	GPHN	0.1127297	0.2660874	0.05239208	0.5949713	-0.425043	0.0006828423	-0.4236694	0.0006984831	-0.02514572	0.7608307	0.02162828	0.7933244	10243	FALSE
2109	55328	55328	Gene	55328	ENSG00000184719	RNLS	0.05119838	0.5795666	-0.07762886	0.4061913	0.216843	0.06355358	0.3314429	0.01005177	0.1161737	0.189556	0.05697093	0.5038998	55328	FALSE
62	KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_OXIDATIVE_PHOSPHORYLATION	FALSE
2111	79581	79581	Gene	79581	ENSG00000185803	SLC52A2	0.137929	0.03937121	0.07281751	0.2354055	-0.05866997	0.4403685	-0.05085694	0.5018709	-0.0475384	0.5076634	0.02439034	0.7314997	79581	FALSE
63	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	FALSE
64	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	FALSE
2113	27010	27010	Gene	27010	ENSG00000196511	TPK1	0.1105612	0.1111939	0.1116203	0.1082654	-0.3752695	0.005722664	-0.4452953	0.002028679	-0.04227016	0.7965132	-0.55488	0.006947149	27010	FALSE
65	KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_ARGININE_AND_PROLINE_METABOLISM	FALSE
66	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	FALSE
2115	26020	26020	Gene	26020	ENSG00000197324	LRP10	0.02958405	0.5902796	0.1563763	0.01622548	0.02366238	0.7487227	0.09745049	0.206081	-0.1236716	0.1784452	-0.254214	0.01504814	26020	FALSE
67	KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_GLYCEROLIPID_METABOLISM	FALSE
68	KEGG_SPHINGOLIPID_METABOLISM	KEGG_SPHINGOLIPID_METABOLISM	Pathway	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	KEGG_SPHINGOLIPID_METABOLISM	FALSE
